Hospital,Hospital type,Control type,Cost To Charge Ratio,Fiscal Year Begin Date,Total Bad Debt expense,Urban (1) and Rural (2) Indicator,FTE Employees on Payroll,Total Salaries,Total Days Title XVIII,Total Costs,Medicaid charges,HVBP payment adjustment amount,HAC reduction adjustment amount,"ADJUSTED SALARIES, Subtotal Salaries",REIMBURSEMENT SETTLEMENT: Interim payments,NUMBER OF BEDS: ICU,Total discharges,BED DAYS: Total Hospital,Total Charges,REIMBURSEMENT SETTLEMENT: Subtotal,REIMBURSEMENT SETTLEMENT: Payment to cost ratio,"Donations, Land Improvements",Fiscal Year End Date,Cost of Uncompensated Care,State,IPPS Payment amount (unadjusted),NUMBER OF BEDS: Adults & Pediatrics,NUMBER OF BEDS: Total Hospital,Net Revenue from Medicaid,Total Liabilities,Number of Interns & Residents,Total Days,IPPS Interim payment,Total cost of charity care,FFY
CENTENNIAL HILLS HOSPITAL (290054),General Short Term (Acute Care Hospitals),Proprietary-Corporation,0.110832,2014-01-01 00:00:00,25114405.0,1.0,,51173708.0,9577.0,133509490.0,196066893.0,-105885.0,,54259365.0,4718655.0,31.0,10961.0,69350.0,1204613058.0,4741811.0,,,2014-12-31,7946323.0,NV,26965354.0,159.0,190.0,12531256.0,92278270.0,639.17,42041.0,21673307.0,4994794.0,2014
CENTENNIAL MEDICAL CENTER (450885),General Short Term (Acute Care Hospitals),Proprietary-Corporation,0.192382,2014-01-01 00:00:00,12734830.0,1.0,,25625598.0,4531.0,72371944.0,15576403.0,-9554.0,,26502935.0,2065350.0,12.0,3924.0,43070.0,376188377.0,2109157.0,,,2014-12-31,6545735.0,TX,10775307.0,92.0,118.0,1464420.0,13710870.0,303.9,17174.0,9199349.0,4043249.0,2014
CENTENNIAL PEAKS HOSPITAL (064007),Psychiatric,Proprietary-Corporation,,2014-01-01 00:00:00,,1.0,,7652354.0,3595.0,13472310.0,,,,,154866.0,,3378.0,26280.0,33465160.0,158027.0,,,2014-12-31,,CO,,72.0,72.0,,-1278238.0,142.32,21318.0,,,2014
CENTER FOR BEHAVIORAL MEDICINE (264008),Psychiatric,Governmental-State,0.882527,2014-07-01 00:00:00,,1.0,3.4,13864401.0,773.0,15380452.0,,,,9638084.0,,,51.0,23725.0,17427733.0,,,,2015-06-30,-354658.0,MO,,65.0,65.0,,,363.69,23207.0,,,2014
CENTER FOR FORENSIC PSYCHIATRY (234041),Psychiatric,Governmental-State,1.277125,2013-10-01 00:00:00,,1.0,5.0,29718281.0,4396.0,73902794.0,,,,29718281.0,102.0,,216.0,86140.0,57866525.0,104.0,,,2014-09-30,-435256.0,MI,,236.0,236.0,,193168.0,480.0,79921.0,,,2014
CENTERPOINT MEDICAL CENTER (260095),General Short Term (Acute Care Hospitals),Proprietary-Corporation,0.135155,2014-04-01 00:00:00,34185585.0,1.0,0.21,69889749.0,23004.0,210877771.0,92129649.0,-49921.0,237913.0,70502907.0,11333960.0,40.0,15619.0,79205.0,1560266818.0,11425220.0,,,2015-03-31,18438935.0,MO,46311669.0,141.0,217.0,36001042.0,207929886.0,1135.33,67787.0,41434348.0,13533356.0,2014
CENTERPOINTE HOSPITAL (264012),Psychiatric,Proprietary-Corporation,,2014-01-01 00:00:00,,1.0,,20824682.0,7922.0,31578585.0,,,,,5074997.0,46.0,4307.0,54750.0,59532332.0,5178732.0,,,2014-12-31,,MO,,104.0,150.0,,8507033.0,370.0,37052.0,,,2014
CENTINELA HOSPITAL MEDICAL CENTER (050739),General Short Term (Acute Care Hospitals),Proprietary-Corporation,0.142252,2014-01-01 00:00:00,27480661.0,1.0,,84110338.0,25874.0,188455051.0,186040097.0,340600.0,,86137398.0,5890042.0,31.0,16458.0,114245.0,1324798880.0,5835883.0,,,2014-12-31,8745581.0,CA,81631952.0,273.0,313.0,17358710.0,77611346.0,1168.93,68178.0,73835229.0,4214948.0,2014
CENTRA HEALTH (490021),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,0.379568,2014-01-01 00:00:00,25609593.0,1.0,15.28,164408624.0,52325.0,419105006.0,127354025.0,192756.0,18005.0,124581991.0,39788594.0,45.0,23538.0,158045.0,1104162776.0,39837010.0,,,2014-12-31,25629680.0,VA,117789659.0,363.0,433.0,43324152.0,383733139.0,1.0,107277.0,110762560.0,15965172.0,2014
CENTRA SPECIALTY HOSPITAL (492010),General Long Term,Voluntary Nonprofit-Other,,2014-01-01 00:00:00,,1.0,,3987846.0,6703.0,8869602.0,,,,3690808.0,1370.0,,297.0,13140.0,32712631.0,1398.0,,,2014-12-31,,VA,,36.0,36.0,,5756977.0,71.42,7924.0,,,2014
CENTRA STATE MEDICAL CENTER (310111),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,0.229178,2014-01-01 00:00:00,6174443.0,1.0,18.05,101065111.0,28081.0,223507824.0,68362965.0,123668.0,142001.0,96641644.0,17283056.0,26.0,12805.0,89425.0,975259872.0,17567474.0,,,2014-12-31,9580236.0,NJ,54909485.0,219.0,245.0,12195726.0,170765000.0,1614.5,56595.0,49305251.0,8066167.0,2014
CENTRAL CAROLINA HOSPITAL (340020),General Short Term (Acute Care Hospitals),Proprietary-Corporation,0.171583,2014-06-01 00:00:00,12369215.0,2.0,,25814437.0,8001.0,64392883.0,77543006.0,-7180.0,,25715692.0,5121194.0,8.0,5075.0,46355.0,375287775.0,5229581.0,,,2015-05-31,6431562.0,NC,16036929.0,118.0,127.0,7342990.0,86352254.0,386.3,18267.0,14340620.0,4063848.0,2014
CENTRAL COMMUNITY HOSPITAL (161319),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,0.639835,2014-07-01 00:00:00,,2.0,,2139243.0,613.0,5610742.0,544395.0,,,,1729356.0,,136.0,5840.0,8769042.0,1404666.0,,,2015-06-30,73403.0,IA,,16.0,16.0,319978.0,1566429.0,39.95,924.0,,73403.0,2014
CENTRAL DESERT BEHAVIORAL (324014),Psychiatric,Proprietary-Other,0.532344,2014-08-01 00:00:00,,1.0,,2134008.0,3931.0,4641982.0,,,,2002304.0,46.0,,443.0,9490.0,8719893.0,47.0,,,2015-07-31,-17186.0,NM,,26.0,26.0,,5062537.0,37.0,7455.0,,,2014
CENTRAL DUPAGE HOSPITAL (140242),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,0.206201,2014-07-01 00:00:00,13551601.0,1.0,,34169746.0,5357.0,111438543.0,81291365.0,20074.0,,33184043.0,5288978.0,38.0,3694.0,21638.0,540436132.0,5375946.0,,,2014-08-31,5654399.0,IL,13912209.0,288.0,349.0,8411735.0,145300000.0,2838.88,15923.0,12554189.0,2824192.0,2014
CENTRAL DUPAGE HOSPITAL (140242),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,0.195861,2014-09-01 00:00:00,28142237.0,1.0,,213429592.0,27381.0,651975394.0,459567565.0,2011.0,,203188436.0,34474777.0,38.0,20344.0,127385.0,3328770401.0,35053795.0,,,2015-08-31,43909602.0,IL,77004152.0,288.0,349.0,47222846.0,160083587.0,2997.48,92000.0,69319767.0,38117816.0,2014
CENTRAL FLORIDA BEHAVIORAL HEALTH (104072),Psychiatric,Proprietary-Corporation,,2014-01-01 00:00:00,,1.0,,10112990.0,9452.0,18209122.0,,,,,152186.0,,6087.0,45990.0,69380315.0,155288.0,,,2014-12-31,,FL,,126.0,126.0,,23497672.0,212.2,40926.0,,,2014
CENTRAL FLORIDA REGIONAL HOSPITAL (100161),General Short Term (Acute Care Hospitals),Proprietary-Corporation,0.107809,2014-06-01 00:00:00,26194135.0,1.0,,50136809.0,17805.0,127872991.0,194896054.0,-14253.0,240175.0,49437110.0,5570111.0,28.0,10744.0,75920.0,1186109580.0,5619991.0,,,2015-05-31,16807552.0,FL,33955458.0,180.0,208.0,13395844.0,19032615.0,779.93,47704.0,29968017.0,13888991.0,2014
CENTRAL GEORGIA REHAB HOSPITAL (113029),Rehabilitation,Governmental-Other,,2013-10-01 00:00:00,,1.0,,8326155.0,9913.0,13370000.0,,,,,2089.0,,1031.0,21170.0,32763780.0,2131.0,,,2014-09-30,,GA,,58.0,58.0,,471261.0,156.32,14386.0,,,2014
CENTRAL INDIANA-AMG SPECIALTY HOSPIT (152025),General Long Term,Proprietary-Corporation,0.40618,2014-09-01 00:00:00,,1.0,,5623195.0,8430.0,14066816.0,,,,5623195.0,,,414.0,11680.0,34632007.0,,,,2015-08-31,-73694.0,IN,,32.0,32.0,,4134679.0,89.98,9996.0,,,2014
CENTRAL LA. STATE HOSPITAL (194025),Psychiatric,Governmental-State,1.064059,2014-07-01 00:00:00,,1.0,,13460226.0,47.0,30158343.0,,,,13448873.0,215319.0,,53.0,71540.0,28342746.0,230750.0,,,2015-06-30,-28577.0,LA,,196.0,196.0,,,170.0,43159.0,,,2014
CENTRAL LOUISIANA SURGICAL HOSPITAL (190298),General Short Term (Acute Care Hospitals),Proprietary-Corporation,0.138828,2014-06-01 00:00:00,1257112.0,1.0,,11224742.0,1751.0,45670062.0,8471466.0,54543.0,,11632467.0,8080593.0,,1421.0,8760.0,328969474.0,8244734.0,,,2015-05-31,325583.0,LA,8201439.0,24.0,24.0,783304.0,34098500.0,336.91,3454.0,7381347.0,15017.0,2014
CENTRAL MAINE MEDICAL CENTER (200024),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,0.396318,2014-07-01 00:00:00,9744846.0,1.0,18.73,149596712.0,19118.0,252963372.0,75849630.0,19390.0,,84058585.0,23562828.0,31.0,10735.0,82412.0,638283640.0,23999656.0,,,2015-06-30,11932605.0,ME,46505152.0,177.0,228.0,21422081.0,206356976.0,1774.98,44058.0,42149991.0,8148694.0,2014
CENTRAL MICHIGAN COMMUNITY HOSPITAL (230080),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,0.281905,2013-10-01 00:00:00,8452396.0,2.0,,35576402.0,4329.0,66332351.0,30739043.0,-32088.0,,27149877.0,8651977.0,8.0,3986.0,28470.0,235300347.0,8554727.0,,,2014-09-30,2813947.0,MI,11105308.0,70.0,78.0,4900658.0,20517115.0,517.45,10941.0,9651874.0,375661.0,2014
CENTRAL MISSISSIPPI MEDICAL CENTER (250072),General Short Term (Acute Care Hospitals),Proprietary-Corporation,0.118616,2014-04-01 00:00:00,27148257.0,1.0,,23051949.0,5164.0,68165863.0,124396157.0,-29269.0,,22363973.0,3391259.0,28.0,3820.0,58194.0,574674569.0,3316333.0,,,2014-09-30,13653094.0,MS,13422429.0,272.0,318.0,4033401.0,-95231081.0,705.63,15743.0,11923204.0,10416733.0,2014
CENTRAL MONTANA MEDICAL CENTER (271345),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,0.553094,2014-07-01 00:00:00,1179794.0,2.0,,13514819.0,1603.0,19588090.0,3531308.0,,,,2498675.0,2.0,731.0,9125.0,35415471.0,2447839.0,,,2015-06-30,1309131.0,MT,,23.0,25.0,2034412.0,8921141.0,208.47,2944.0,,684843.0,2014
CENTRAL PENINSULA GENERAL HOSPITAL (020024),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,0.423664,2014-07-01 00:00:00,12811570.0,2.0,,56727459.0,4679.0,105723209.0,28584577.0,39293.0,,52119941.0,7300778.0,6.0,2478.0,16790.0,249545088.0,7440892.0,,,2015-06-30,8086690.0,AK,12424149.0,40.0,46.0,13939220.0,83697535.0,589.0,10373.0,16372886.0,2667538.0,2014
CENTRAL REGIONAL HOSPITAL (344004),Psychiatric,Governmental-State,0.790578,2014-07-01 00:00:00,,1.0,28.0,95011703.0,7508.0,139015399.0,,,,84851989.0,586894.0,,1250.0,154030.0,159460148.0,536672.0,,,2015-06-30,127.0,NC,,422.0,422.0,,2828630.0,1892.65,132997.0,,,2014
CENTRAL STATE HOSPITAL (184015),Psychiatric,Governmental-State,1.191819,2014-07-01 00:00:00,,1.0,2.08,1890414.0,2519.0,20147443.0,,,,1890414.0,,,748.0,40880.0,16904782.0,,,,2015-06-30,-38299.0,KY,,112.0,112.0,,,22.62,16888.0,,,2014
CENTRAL TEXAS MEDICAL CENTER (450272),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,0.197504,2014-01-01 00:00:00,9754784.0,1.0,,33060496.0,5252.0,74127441.0,38665001.0,32245.0,,29742138.0,5374509.0,10.0,4215.0,64970.0,375322045.0,5313393.0,,,2014-12-31,8435052.0,TX,12065204.0,168.0,178.0,5298172.0,60801369.0,508.48,16956.0,10664661.0,6419656.0,2014
CENTRAL TEXAS REHAB HOSPITAL (673027),Rehabilitation,Proprietary-Corporation,,2014-01-01 00:00:00,,1.0,,8670829.0,9287.0,18798849.0,,,,8541729.0,3497.0,,1097.0,18250.0,29273641.0,3568.0,,,2014-12-31,,TX,,50.0,50.0,,1993602.0,137.7,15332.0,,,2014
CENTRAL VALLEY GENERAL HOSPITAL (050196),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,0.74367,2014-01-01 00:00:00,1130026.0,1.0,10.86,33453964.0,8.0,67926386.0,75124799.0,,,9980772.0,131797.0,,2221.0,17885.0,91339416.0,128514.0,,,2014-12-31,5451935.0,CA,1221030.0,49.0,49.0,29696044.0,23156591.0,405.31,8087.0,45119.0,4623142.0,2014
CENTRAL VALLEY MEDICAL CENTER (461304),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,0.516545,2014-07-01 00:00:00,2383073.0,2.0,,9301232.0,2754.0,19497221.0,3379871.0,,,,1762780.0,,982.0,9125.0,37745411.0,1631683.0,,,2015-06-30,1399367.0,UT,,25.0,25.0,2490336.0,19216907.0,199.89,4235.0,,177913.0,2014
CENTRAL VALLEY SPECIALTY HOSPITAL (052055),General Long Term,Proprietary-Corporation,,2014-01-01 00:00:00,,1.0,,13936301.0,5379.0,27471674.0,,,,,19193.0,,793.0,29200.0,106737226.0,19585.0,,,2014-12-31,,CA,,80.0,80.0,,11964974.0,343.75,20400.0,,,2014
CENTRAL VERMONT HOSPITAL (470001),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,0.47488,2013-10-01 00:00:00,3116594.0,2.0,,81066156.0,8038.0,120734801.0,41546925.0,18247.0,,51943154.0,13157275.0,14.0,3092.0,22630.0,254242612.0,13425645.0,,,2014-09-30,5602152.0,VT,20748363.0,48.0,62.0,14604746.0,68317717.0,1109.22,13698.0,20030287.0,4164502.0,2014
CENTRAL WASHINGTON HOSPITAL (500016),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,0.416744,2014-01-01 00:00:00,8204319.0,1.0,,81743802.0,19655.0,235012227.0,93950513.0,173357.0,,74417929.0,21435284.0,20.0,10086.0,64240.0,563924143.0,21870486.0,,,2014-12-31,4866601.0,WA,60345868.0,150.0,176.0,28610790.0,137433497.0,1079.55,42001.0,55600784.0,1490723.0,2014
CENTRO SALUD CONDUCTUAL MENONITA (404009),Psychiatric,Voluntary Nonprofit-Other,,2014-04-01 00:00:00,,1.0,,2734148.0,588.0,5326243.0,,,,,,,2577.0,7300.0,9960269.0,,,,2015-03-31,,PR,,20.0,20.0,,7984132.0,98.0,7300.0,,,2014
CENTURA LONGMONT UNITED HOSPITAL (060003),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,0.277748,2014-01-01 00:00:00,18817389.0,1.0,,68580753.0,10441.0,146509081.0,93645899.0,1402.0,,60979611.0,7124093.0,16.0,6613.0,45625.0,527488323.0,7269219.0,,,2014-12-31,7871690.0,CO,22831461.0,109.0,125.0,20250271.0,114065324.0,988.01,28653.0,20321284.0,2606715.0,2014
CGH MEDICAL CENTER (140043),General Short Term (Acute Care Hospitals),Governmental-City,0.245552,2014-05-01 00:00:00,6463118.0,2.0,,86178000.0,8405.0,139554945.0,83605593.0,105729.0,,51338451.0,20756472.0,8.0,4518.0,34675.0,568331645.0,20802441.0,,,2015-04-30,4047614.0,IL,20553406.0,87.0,95.0,6075551.0,57246037.0,1218.07,15335.0,18731234.0,2309107.0,2014
CHADRON COMMUNITY HOSPITAL (281341),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,0.801026,2013-10-01 00:00:00,645219.0,2.0,,7008100.0,982.0,17166129.0,511426.0,,,,2150225.0,,506.0,9125.0,21430186.0,2455892.0,,,2014-09-30,594099.0,NE,,25.0,25.0,234475.0,19366265.0,134.85,2020.0,,121576.0,2014
CHAMBERS MEMORIAL HOSPITAL (040011),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,0.487017,2014-07-01 00:00:00,697659.0,2.0,,9083597.0,3951.0,16216467.0,2935491.0,39670.0,38121.0,6403149.0,1274040.0,,1638.0,14600.0,33297543.0,1300199.0,,,2015-06-30,552787.0,AR,4696362.0,40.0,40.0,782835.0,14447184.0,176.2,6077.0,4355402.0,237674.0,2014
CHAMPLAIN VALLEY PHYSICIANS HOSPITAL (330250),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,0.309595,2014-01-01 00:00:00,9443912.0,2.0,,141228100.0,29027.0,245342317.0,224261368.0,-13342.0,,110094075.0,23798610.0,21.0,9224.0,112256.0,792463335.0,24019751.0,,,2014-12-31,3761435.0,NY,52568940.0,279.0,300.0,24707777.0,162230528.0,1842.89,54561.0,49394718.0,763561.0,2014
CHANDLER REGIONAL MEDICAL CENTER (030036),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,0.158108,2014-07-01 00:00:00,85630729.0,1.0,,136548885.0,21958.0,388371553.0,450496128.0,-21201.0,,137376101.0,19006615.0,61.0,27259.0,123370.0,2456368580.0,19326296.0,,,2015-06-30,17627202.0,AZ,63834529.0,277.0,338.0,47421075.0,170748640.0,1790.62,97375.0,58693038.0,4052279.0,2014
CHANGEPOINT PSYCHIARIC HOSPITAL (034027),Psychiatric,Voluntary Nonprofit-Other,1.096932,2014-07-01 00:00:00,,2.0,,2460009.0,454.0,3886707.0,,,,2460009.0,,,450.0,5840.0,3543253.0,,,,2015-06-30,,AZ,,16.0,16.0,,3839042.0,70.0,2998.0,,,2014
CHAPMAN GLOBAL MEDICAL CENTER (050745),General Short Term (Acute Care Hospitals),Proprietary-Corporation,0.319325,2014-04-01 00:00:00,4004090.0,1.0,,19268588.0,1710.0,52143746.0,59986618.0,-7652.0,22229.0,15734992.0,941877.0,12.0,1546.0,27375.0,163293661.0,851595.0,,,2015-03-31,1439645.0,CA,4645168.0,63.0,75.0,6908355.0,10491430.0,306.81,6446.0,4198581.0,158196.0,2014
CHARLES A DEAN MEMORIAL HOSPITAL (201301),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,0.904339,2014-09-28 00:00:00,353616.0,2.0,,8005105.0,1237.0,14426242.0,3233568.0,,,,2333808.0,,165.0,9100.0,15952255.0,2460048.0,,,2015-09-26,341313.0,ME,,25.0,25.0,2235644.0,6094216.0,103.9,7015.0,,94462.0,2014
CHARLES A. CANNON MEMORIAL HOSPITAL (341323),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,0.408633,2013-10-01 00:00:00,4172510.0,2.0,,9510369.0,3305.0,21501321.0,6376320.0,,,,2601916.0,4.0,1320.0,9125.0,52617667.0,2160220.0,,,2014-09-30,1979303.0,NC,,21.0,25.0,1593866.0,14845642.0,159.58,5233.0,,354237.0,2014
CHARLES COLE MEMORIAL HOSPITAL (391313),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,0.5037,2014-07-01 00:00:00,3239927.0,2.0,,37219293.0,3385.0,69704425.0,26056294.0,,,,4742374.0,4.0,1657.0,9125.0,138384708.0,3932241.0,,,2015-06-30,1298659.0,PA,,21.0,25.0,11289281.0,48330669.0,421.93,6417.0,,149893.0,2014
CHARLESTON AREA MEDICAL CENTER  INC. (510022),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,0.328258,2014-01-01 00:00:00,40764000.0,1.0,141.36,304194972.0,76028.0,723905288.0,549146000.0,-230871.0,,280405258.0,50336761.0,89.0,35600.0,290262.0,2205293882.0,50166296.0,,,2014-12-31,23643280.0,WV,167576930.0,664.0,809.0,123167000.0,620024000.0,5391.23,189853.0,154391634.0,10148925.0,2014
CHARLEVOIX AREA HOSPITAL (231322),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,0.593792,2014-04-01 00:00:00,1377410.0,2.0,,19273378.0,1363.0,32761376.0,6470856.0,,,,4980651.0,,1029.0,9125.0,55173115.0,4629064.0,,,2015-03-31,1061615.0,MI,,25.0,25.0,1620548.0,8026554.0,294.52,3537.0,,252923.0,2014
CHARLOTTE HUNGERFORD HOSPITAL (070011),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,0.44679,2013-10-01 00:00:00,2699503.0,2.0,,56704238.0,11802.0,104351400.0,45290425.0,-30103.0,,49178183.0,12326299.0,10.0,5047.0,33215.0,233558201.0,12321262.0,,,2014-09-30,2315492.0,CT,26681127.0,81.0,91.0,11525844.0,52352818.0,739.24,22076.0,23604869.0,1159234.0,2014
CHARLTON MEMORIAL HOSPITAL (111315),Critical Access Hospitals,Proprietary-Corporation,,2014-07-01 00:00:00,,,,,,,,,,,,,,,,,,,2015-06-30,,GA,,,,,,,,,,2014
CHASE COUNTY COMMUNITY HOSPITAL (281351),General Short Term (Critical Access Hospitals),Governmental-County,0.89017,2014-07-01 00:00:00,488226.0,2.0,,4411108.0,435.0,9446060.0,409993.0,,,,2825960.0,,76.0,8030.0,10611525.0,2634769.0,,,2015-06-30,458235.0,NE,,22.0,22.0,409657.0,3242722.0,61.47,508.0,,23631.0,2014
CHATHAM HOSPITAL  INC (341311),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,0.443071,2014-07-01 00:00:00,5588203.0,2.0,,8136719.0,1987.0,23195537.0,7544185.0,,,,1894045.0,4.0,672.0,9125.0,52351690.0,1496736.0,,,2015-06-30,3639216.0,NC,,21.0,25.0,3871551.0,32698122.0,174.68,5027.0,,1210803.0,2014
CHATUGE REGIONAL HOSPITAL (111324),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,0.511433,2014-05-01 00:00:00,1441432.0,2.0,,9092374.0,1633.0,16562925.0,2413705.0,,,,1866670.0,,529.0,9125.0,32385320.0,1692204.0,,,2015-04-30,858719.0,GA,,25.0,25.0,460852.0,6555042.0,153.52,2142.0,,131312.0,2014
CHELSEA COMMUNITY HOSPITAL (230259),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,0.298113,2014-07-01 00:00:00,1853176.0,1.0,,54245335.0,3272.0,85164268.0,11392345.0,52238.0,,33450347.0,9672970.0,6.0,3042.0,35405.0,285677522.0,9784614.0,,,2015-06-30,1377951.0,MI,9939868.0,91.0,97.0,634676.0,114926795.0,616.14,10626.0,9092143.0,804993.0,2014
CHENANGO MEMORIAL HOSPITAL (330033),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,0.303192,2014-01-01 00:00:00,7910212.0,2.0,,19713019.0,2542.0,49762044.0,40192288.0,13463.0,,19515344.0,3311098.0,5.0,1500.0,21170.0,164127152.0,3354371.0,,,2014-12-31,2741794.0,NY,5128727.0,53.0,58.0,9485480.0,29285571.0,432.4,6427.0,5246917.0,340630.0,2014
CHEROKEE INDIAN HOSPITAL (340156),General Short Term (Acute Care Hospitals),Governmental- Federal,,2013-10-01 00:00:00,,2.0,,21302260.0,393.0,20455516.0,,,,12312214.0,3185404.0,,602.0,7300.0,401621.0,3431253.0,,,2014-09-30,,NC,963994.0,20.0,20.0,,,,1337.0,1042495.0,,2014
CHEROKEE MEDICAL CENTER (010022),General Short Term (Acute Care Hospitals),Proprietary-Corporation,0.156403,2014-04-01 00:00:00,3370780.0,2.0,,5149922.0,2802.0,10974687.0,11088376.0,11217.0,,5190181.0,1206035.0,5.0,768.0,16425.0,70169299.0,1160576.0,,,2015-03-31,664648.0,AL,2474267.0,40.0,45.0,942763.0,45620562.0,106.98,4851.0,2471114.0,115428.0,2014
CHEROKEE NATION WW HASTINGS HOSPITAL (370171),General Short Term (Acute Care Hospitals),Governmental- Federal,,2013-10-01 00:00:00,,2.0,,25093296.0,1361.0,66209645.0,,-7099.0,,14197859.0,14136067.0,,1970.0,18980.0,1337872.0,14481201.0,,,2014-09-30,,OK,4155520.0,52.0,52.0,,,,6127.0,3662462.0,,2014
CHEROKEE REGIONAL MEDICAL CENTER (161362),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,0.713111,2014-01-01 00:00:00,846059.0,2.0,,11113370.0,1948.0,20008233.0,2783191.0,,,,2268296.0,,592.0,9125.0,28057679.0,2405858.0,,,2014-12-31,733599.0,IA,,25.0,25.0,1241088.0,10323429.0,176.1,3436.0,,135506.0,2014
CHERRY COUNTY HOSPITAL (281344),General Short Term (Critical Access Hospitals),Governmental-County,0.595214,2014-04-01 00:00:00,767000.0,2.0,,6671182.0,1021.0,15192330.0,2762391.0,,,,2760933.0,,378.0,9125.0,25524131.0,2588075.0,,,2015-03-31,523941.0,NE,,25.0,25.0,1480972.0,900674.0,86.72,1608.0,,67954.0,2014
CHERRY HOSPITAL (344026),Psychiatric,Governmental-State,0.90138,2014-07-01 00:00:00,,1.0,1.4,48626769.0,4995.0,74942109.0,,,,48626769.0,374281.0,,681.0,71905.0,83115841.0,,,,2015-06-30,,NC,,197.0,197.0,,920398.0,1355.0,65091.0,,,2014
CHESAPEAKE GENERAL HOSPITAL (490120),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,0.31443,2014-07-01 00:00:00,54176112.0,1.0,,96708422.0,30813.0,250493147.0,114798718.0,50696.0,,94255098.0,17404526.0,28.0,15818.0,113150.0,796657797.0,17497585.0,,,2015-06-30,19280327.0,VA,57047072.0,282.0,310.0,30388834.0,199787344.0,1532.04,76459.0,50602515.0,2217572.0,2014
CHESHIRE MEDICAL CENTER (300019),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,0.35999,2014-07-01 00:00:00,9067724.0,2.0,,45172983.0,6891.0,138393682.0,38484396.0,19760.0,,41150905.0,23514853.0,20.0,2943.0,35770.0,384437385.0,24020546.0,,,2015-06-30,5111786.0,NH,16555889.0,78.0,98.0,7339236.0,66131198.0,744.91,13410.0,14716969.0,1851746.0,2014
CHESTATEE REGIONAL HOSPITAL (110187),General Short Term (Acute Care Hospitals),Proprietary-Corporation,0.293442,2014-07-01 00:00:00,4643045.0,2.0,,7749776.0,1308.0,16680517.0,5845912.0,-441.0,,6238152.0,1497440.0,4.0,564.0,13870.0,56844325.0,1529640.0,,,2015-06-30,1771447.0,GA,2843551.0,34.0,38.0,1399374.0,342133.0,109.5,2625.0,3061736.0,390369.0,2014
CHESTER REGIONAL MEDICAL CENTER (420019),General Short Term (Acute Care Hospitals),Proprietary-Corporation,0.214987,2013-10-01 00:00:00,6654387.0,2.0,,8341598.0,1619.0,23996197.0,30018227.0,,,7560671.0,1579299.0,6.0,1220.0,13140.0,111616977.0,1499589.0,,,2014-09-30,3148247.0,SC,3573806.0,30.0,36.0,8952863.0,19141997.0,119.92,4735.0,3704148.0,1696956.0,2014
CHESTER RIVER HOSPITAL CENTER (210030),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,0.621344,2014-07-01 00:00:00,4617524.0,2.0,,17461124.0,6119.0,39953290.0,13330247.0,,,17142553.0,10938770.0,6.0,1866.0,11315.0,64301387.0,5531053.0,,,2015-06-30,3530826.0,MD,18634056.0,25.0,31.0,12530433.0,28118000.0,274.17,7767.0,17006804.0,661755.0,2014
CHESTERFIELD GENERAL (420062),General Short Term (Acute Care Hospitals),Proprietary-Corporation,0.156777,2014-03-01 00:00:00,8227069.0,2.0,,10573992.0,3244.0,21924621.0,31057345.0,5854.0,,9101245.0,1613890.0,6.0,1722.0,21535.0,139846310.0,1573922.0,,,2015-02-28,1711628.0,SC,4902019.0,53.0,59.0,3586190.0,-9419397.0,170.12,6478.0,4563814.0,372810.0,2014
