Hospital,Hospital type,Control type,Total cost of charity care,HVBP payment adjustment amount,Total Days Title XVIII,Urban (1) and Rural (2) Indicator,Fiscal Year End Date,"ADJUSTED SALARIES, Subtotal Salaries",NUMBER OF BEDS: Adults & Pediatrics,"Donations, Land Improvements",Total Liabilities,STATEMENT OF REVENUES AND EXPENSES: Net Patient Revenue (G3_C1_3),REIMBURSEMENT SETTLEMENT: Payment to cost ratio,BALANCE SHEET: Total Current Liabilities (G_C1THRU4_45),Total Salaries,STATEMENT OF REVENUES AND EXPENSES: Net Income (G3_C1_29),IPPS Payment amount (unadjusted),REIMBURSEMENT SETTLEMENT: Interim payments,Net Revenue from Medicaid,Total Bad Debt expense,BALANCE SHEET: Total Assets (G_C1THRU4_36),BALANCE SHEET: Cash on Hand and in Banks (G_C1THRU4_1),BED DAYS: Total Hospital,Total Costs,NUMBER OF BEDS: ICU,Cost of Uncompensated Care,Cost To Charge Ratio,Number of Interns & Residents,Fiscal Year Begin Date,BALANCE SHEET: Inventory (G_C1THRU4_7),FTE Employees on Payroll,REIMBURSEMENT SETTLEMENT: Subtotal,Total Inpatient Days,BALANCE SHEET: Temporary Investments (G_C1THRU4_2),"RECONCILIATION OF CAPITAL COST CENTERS: Depreciation, Total (A7_3_C9_3)",TRIAL BALANCE OF EXPENSE ACCOUNTS: Interest Expense (A_C2_113),BALANCE SHEET: Prepaid expenses (G_C1THRU4_8),IPPS Interim payment,Medicaid charges,BALANCE SHEET: Total Current Assets (G_C1THRU4_11),Total Charges,BALANCE SHEET: Accounts Receivable (G_C1THRU4_4),HAC reduction adjustment amount,NUMBER OF BEDS: Total Hospital,State,Total discharges,Report_Period_Begin_Yr,Financial Indicators: Total Net Assets,S-10 DATA: Medicaid Costs,Financial Indicators: Cash Reserves,Financial Indicators: Net Profit Margin,Financial Indicators: Operating Profit,Financial Indicators: Operating Profit Margin,Financial Indicators: LIQUIDITY current ratio,Financial Indicators: LIQUIDITY acid-test ratio,Financial Indicators: LIQUIDITY acid-test ratio (variation),Financial Indicators: LIQUIDITY cash ratio,Financial Indicators: SOLVENCY Debt-to-Equity Ratio,Financial Indicators: SOLVENCY Debt Ratio,Financial Indicators: SOLVENCY Equity Ratio,Financial Indicators: SOLVENCY Interest Coverage Ratio,Financial Indicators: SOLVENCY total assets less total liabilities,Financial Indicators: EFFICIENCY asset turnover ratio,Financial Indicators: EFFICIENCY Accounts Receivable Turnover Ratio,: General Ownership Type
DAY KIMBALL HOSPITAL (070003),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,241573.0,,6680.0,2.0,2011-09-30,39533400.0,80.0,,62821555.0,106459785.0,,15052453.0,48676630.0,3291055.0,13924393.0,6523585.0,15751002.0,27715.0,87580089.0,3158322.0,32485.0,94837956.0,9.0,246072.0,0.541014,716.68,2010-10-01 00:00:00,1942935.0,,6482412.0,14346.0,3108756.0,4550361.0,995291.0,337630.0,11869546.0,34579570.0,22001059.0,175296636.0,15092082.0,,89.0,CT,4421.0,2010,24758534.0,18708031.48398,6267078.0,0.030913598031406885,-1977107.0,-0.01857139764090262,1.461626154886516,1.4189820091117376,1.3101182910187463,0.2098210836466322,2.537369740873995,0.7173040780993041,0.2826959219006959,2.5854287841445367,24758534.0,1.2155706418613026,7.054015807759327,non-profit
DAYSTAR INC (101993),Religious Non-Medical,Voluntary Nonprofit-Church,,,464.0,1.0,2011-09-30,415022.0,4.0,,173099.0,695294.0,,173099.0,647620.0,662344.0,,,,,3775963.0,287095.0,1460.0,1036503.0,,,,5.8,2010-10-01 00:00:00,11508.0,,,652.0,103428.0,85313.0,,7795.0,,,1230706.0,725933.0,360758.0,,4.0,FL,17.0,2010,3602864.0,,390523.0,0.9526099750609095,-446247.0,-0.6418105146887504,7.109838878329742,4.3401810524613085,6.998324658143606,1.658559552625954,0.048044833221570396,0.04584234538315127,0.9541576546168488,,3602864.0,0.18413686786655484,1.9273141551954496,non-profit
DCH REGIONAL MEDICAL CENTER (010092),General Short Term (Acute Care Hospitals),Governmental-City-County,4840041.0,,60360.0,1.0,2011-09-30,149916194.0,376.0,,,,,,164658067.0,-358355786.0,114258463.0,29950688.0,29895883.0,76066749.0,,,174105.0,315383111.0,85.0,21864472.0,0.227788,3267.0,2010-10-01 00:00:00,,35.0,28694738.0,130163.0,,24426789.0,3822620.0,,104730639.0,164510890.0,,1384543616.0,,,477.0,AL,28308.0,2010,,37473606.61132,0.0,,,,,,,,,,,,,,,govt
DCHSA-D.B.A.-SETON MEDICAL CTR (450056),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,17296048.0,,39766.0,1.0,2011-06-30,110852204.0,303.0,,44381878.0,433253602.0,,44381878.0,113751459.0,151752918.0,81492759.0,11989760.0,100108680.0,21899032.0,1079942007.0,14910.0,148555.0,289747987.0,,21180990.0,0.186423,1960.26,2010-07-01 00:00:00,6635617.0,,11917299.0,101974.0,,15571346.0,,227202.0,74624092.0,121631396.0,57814108.0,1554252228.0,77133887.0,,303.0,TX,23504.0,2010,1035560129.0,22674889.736508,14910.0,0.3502634884037271,147953823.0,0.34149473268545383,1.3026512307568419,1.7382950086068913,1.148020122086767,0.0003359479290173345,0.04285784741718267,0.04109653825142853,0.9589034617485714,,1035560129.0,0.40118228496690006,5.616903527758169,non-profit
DCHSA-D.B.A.-SETON NORTHWEST (450867),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,10611933.0,,6275.0,1.0,2011-06-30,29475244.0,80.0,,2426183.0,114959216.0,,2426183.0,29913070.0,28761792.0,11021923.0,2693985.0,32278822.0,23729983.0,227977934.0,3038.0,39055.0,65763899.0,15.0,14512594.0,0.166369,505.76,2010-07-01 00:00:00,1392284.0,,2654028.0,19840.0,,3076511.0,,58070.0,9668375.0,37664565.0,11558148.0,395290172.0,29358142.0,,107.0,TX,6093.0,2010,225551751.0,6266216.014485,3038.0,0.25019126783188916,28188649.0,0.24520564754025462,4.763922589516125,12.101799410844112,4.16613008993963,0.0012521726514446766,0.010756657792472646,0.010642183466756041,0.989357816533244,,225551751.0,0.5042558899581921,3.9157524341969596,non-profit
DCHSA-D.B.A.-SETON SOUTHWEST (450865),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,4626313.0,,567.0,1.0,2011-06-30,10924483.0,17.0,,688639.0,39355301.0,,623132.0,10982399.0,6920619.0,1040316.0,796644.0,10856850.0,9823272.0,83224068.0,1559.0,6205.0,24236787.0,,6473328.0,0.188752,174.93,2010-07-01 00:00:00,479537.0,,795666.0,4830.0,,1302059.0,,45270.0,863491.0,12673822.0,4301817.0,128405438.0,11740817.0,,17.0,TX,2038.0,2010,82535429.0,2392209.250144,1559.0,0.17584972860454046,6695216.0,0.17012234260385914,6.903540501851935,18.84412291456706,6.061332109408601,0.002501877611806166,0.008343556316887867,0.008274517414842062,0.9917254825851579,,82535429.0,0.4728836494750533,3.3520070196137115,non-profit
DE SMET MEMORIAL HOSPITAL (431332),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Church,43413.0,,327.0,2.0,2011-06-30,,17.0,,297296.0,3652703.0,,297296.0,1367284.0,433413.0,,685183.0,51236.0,71074.0,1269260.0,81304.0,6205.0,3359160.0,,86430.0,0.62876,25.02,2010-07-01 00:00:00,47542.0,,881223.0,399.0,,93523.0,,29295.0,,106209.0,849477.0,5342512.0,903929.0,,17.0,SD,62.0,2010,971964.0,66779.97084,81304.0,0.118655417645508,414482.0,0.11347268036848328,2.857344195683763,3.31398000645821,2.598891340616759,0.2734782842688768,0.3058714108752999,0.23422781778359045,0.7657721822164095,,971964.0,2.8778209350330113,4.04091803670421,non-profit
DE WITT COMMUNITY HOSPITAL (161313),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,257880.0,,1250.0,2.0,2011-06-30,,13.0,,2557031.0,16304742.0,,2422499.0,6335075.0,1556705.0,,1840649.0,768429.0,6668.0,18001800.0,4385270.0,4745.0,14156788.0,,257880.0,0.64773,98.48,2010-07-01 00:00:00,196335.0,,1955882.0,1475.0,595047.0,1060911.0,,102626.0,,1503290.0,7657715.0,21856005.0,2631950.0,,13.0,IA,291.0,2010,15444769.0,973726.0317,4980317.0,0.09547559844859857,1179650.0,0.07235011753022526,3.161080768247995,3.1423199761898766,3.037670603785595,1.8102257214554063,0.16555967913796574,0.14204307347043074,0.8579569265295692,,15444769.0,0.9057284271572843,6.194928475085013,non-profit
DEACONESS HOSPITAL (150082),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,22616889.0,,56730.0,1.0,2011-09-30,145648110.0,440.0,,359697614.0,511804712.0,,64080956.0,179974816.0,48559095.0,89757934.0,22880334.0,21242071.0,27151196.0,756476183.0,47488383.0,187675.0,362236887.0,53.0,29358167.0,0.268893,3503.88,2010-10-01 00:00:00,4376580.0,16.75,22511354.0,118665.0,7247329.0,31295282.0,,4629843.0,80601976.0,128550981.0,174563970.0,1347139516.0,106088671.0,,519.0,IN,24178.0,2010,396778569.0,34566458.934033,54735712.0,0.0948781710317665,8840991.0,0.017274149285284424,2.724116194521193,2.509706362682854,2.583568619044947,0.7410685789394278,0.906544965133941,0.4754909963900344,0.5245090036099656,,396778569.0,0.6765642111431814,4.824310712686748,non-profit
DEACONESS HOSPITAL (370032),General Short Term (Acute Care Hospitals),Proprietary-Corporation,1142060.0,,17904.0,1.0,2011-10-31,45472113.0,194.0,,116599491.0,170223836.0,,110019615.0,48533071.0,16791818.0,28880613.0,8308749.0,11022598.0,28936329.0,147519891.0,-1580768.0,81760.0,109084952.0,30.0,6146916.0,0.175708,929.99,2010-11-01 00:00:00,3533322.0,,8162288.0,43026.0,,14020256.0,,1108170.0,24983805.0,71047195.0,28276753.0,620829171.0,32377598.0,,224.0,OK,9664.0,2010,30920400.0,12483560.53906,0.0,0.09864551519095129,15641314.0,0.0918867437577896,0.2570155603616682,0.29428932286301857,0.21482770140579024,0.0,3.7709567470019794,0.7903984351506875,0.20960156484931242,,30920400.0,1.153904296200978,5.2574572085304165,for-profit
DEACONESS MEDICAL CENTER (500044),General Short Term (Acute Care Hospitals),Proprietary-Corporation,3352645.0,,20294.0,1.0,2011-09-30,83762003.0,196.0,,187185395.0,253805960.0,,180923308.0,85943161.0,572398.0,49825084.0,15815033.0,31105198.0,10047803.0,175718282.0,-1630895.0,102565.0,203262969.0,68.0,5957195.0,0.268609,1267.18,2010-10-01 00:00:00,7967644.0,8.49,15575641.0,62303.0,,13200832.0,,1076924.0,48112659.0,134747281.0,39071861.0,756724981.0,36808574.0,,281.0,WA,11647.0,2010,-11467113.0,36194332.402129,0.0,0.002255258308354934,-5360669.0,-0.021121131276822656,0.21595813956707005,0.203448491003713,0.16596696872246003,0.0,-16.323672314034056,1.0652585085028319,-0.06525850850283182,,-11467113.0,1.4443913126808285,6.895294558273298,for-profit
DECATUR COUNTY GENERAL HOSPITAL (440070),General Short Term (Acute Care Hospitals),Governmental-County,33105.0,,2798.0,2.0,2011-06-30,3883823.0,40.0,,4652297.0,8476439.0,,3137317.0,4589264.0,-312637.0,2408992.0,1310067.0,582883.0,,3848113.0,182827.0,14600.0,8542057.0,,-63578.0,0.478917,124.15,2010-07-01 00:00:00,191338.0,,1323189.0,3700.0,,505108.0,101718.0,47332.0,2488011.0,2765438.0,1421398.0,18290873.0,2782999.0,,40.0,TN,733.0,2010,-804184.0,1324415.270646,182827.0,-0.03688305902985912,-1232463.0,-0.14539867508041998,0.45306164471107,0.9453383257095155,0.3769870880118267,0.058274952770153605,-5.785115098037265,1.2089813890600405,-0.2089813890600406,-7.150700957549303,-804184.0,2.2027521021342147,3.045793045559844,govt
DECATUR COUNTY HOSPITAL (161340),Critical Access Hospitals,Governmental-City-County,61344.0,,1225.0,2.0,2011-06-30,,25.0,,2048459.0,8377087.0,,2012482.0,3392607.0,904535.0,,1811577.0,884863.0,411322.0,11206825.0,1246422.0,9125.0,7993663.0,,329382.0,0.651649,82.15,2010-07-01 00:00:00,214654.0,,1581407.0,1814.0,1887697.0,446431.0,9634.0,152154.0,,1347345.0,5421418.0,12266824.0,1576727.0,,25.0,IA,253.0,2010,9158366.0,877996.0219050001,3134119.0,0.10797727181298225,-276660.0,-0.0330258000185506,2.693896392613698,2.340813979951125,2.511629917683736,0.6193456637127686,0.22367079455003216,0.18278673933072034,0.8172132606692797,17.622067676977373,9158366.0,0.7474986894147093,5.31295969435419,govt
DECATUR HOSPITAL (112006),General Long Term,Voluntary Nonprofit-Other,,,5345.0,1.0,2011-06-30,6509057.0,39.0,,950031.0,16286661.0,,509467.0,6509057.0,-277986.0,,12334.0,,,11621145.0,1000.0,16425.0,16085387.0,6.0,-31884.0,0.405415,116.64,2010-07-01 00:00:00,201830.0,,13041.0,9802.0,,1561818.0,24376.0,132503.0,,,4931923.0,39676364.0,9820273.0,,45.0,GA,312.0,2010,10671114.0,,1000.0,-0.017068323580873943,-291987.0,-0.017927984133764435,9.680554383306475,19.277544963658098,9.02431364543729,0.0019628356694349194,0.08902828701858119,0.08175020619740998,0.91824979380259,52.093493600262555,10671114.0,1.4014678415939221,1.6584733438673243,non-profit
DECATUR MEMORIAL HOSPITAL (140135),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,7570101.0,,23656.0,1.0,2011-09-30,64788162.0,227.0,,102796329.0,267879160.0,,43085618.0,110224734.0,-9380658.0,48575316.0,20389655.0,9610570.0,17579915.0,362023608.0,9244394.0,101835.0,172768473.0,22.0,11341322.0,0.229247,1802.53,2010-10-01 00:00:00,3323072.0,14.36,19715514.0,43047.0,10000000.0,20924980.0,,4750858.0,44225270.0,102943062.0,67430538.0,753633047.0,51472827.0,,279.0,IL,12566.0,2010,259227279.0,23599388.134314,19244394.0,-0.03501824479365995,-19397712.0,-0.07241217271250217,1.5650358780974198,1.6413184789411632,1.3776431847861623,0.21455869566498964,0.39654904143016523,0.2839492417853589,0.716050758214641,,259227279.0,0.7399494234088734,5.204283028791094,non-profit
DECATUR MORGAN HOSPITAL (010085),General Short Term (Acute Care Hospitals),Governmental-City-County,2956611.0,,17067.0,1.0,2011-06-30,35621803.0,141.0,,42589445.0,215675618.0,,18138008.0,41273979.0,123627641.0,28183230.0,6986713.0,10767000.0,,80895370.0,10494167.0,64970.0,77658537.0,12.0,2766937.0,0.360071,752.19,2010-07-01 00:00:00,1078777.0,,6587439.0,36493.0,,4991940.0,1591449.0,949184.0,25035168.0,23148000.0,27144992.0,215675618.0,11975486.0,,178.0,AL,8268.0,2010,38305925.0,8334923.507999999,10494167.0,0.5732110200792377,117345859.0,0.5440849553981573,1.4965806608972716,1.2388159162792298,1.3847733995927227,0.57857329206162,1.111823954127201,0.5264756808702402,0.47352431912975984,76.87195693987051,38305925.0,2.6661058352288887,18.009759102887347,govt
DECKERVILLE COMMUNITY HOSPITAL (231311),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,16644.0,,343.0,1.0,2011-06-30,,15.0,,,,,,2651971.0,-5859103.0,,978447.0,252384.0,41351.0,,,5475.0,5144932.0,,16644.0,0.514257,66.6,2010-07-01 00:00:00,,,879132.0,472.0,,40446.0,94046.0,,,1396157.0,,10004586.0,,,15.0,MI,199.0,2010,,717983.510349,0.0,,,,,,,,,,,,,,,non-profit
DEERS HEAD CENTER (212003),General Long Term,Governmental-State,,,1554.0,2.0,2011-06-30,6281317.0,66.0,,,7308115.0,,,10079242.0,-15889220.0,,,,,20699204.0,,24090.0,22059109.0,,-46485153.0,820.712441,13.0,2010-07-01 00:00:00,,,,5569.0,,477616.0,,,,,,26878.0,,,66.0,MD,139.0,2010,,,0.0,-2.174188556146147,-15889220.0,-2.174188556146147,,,,,,,,,,0.35306261052357374,inf,govt
DEKALB MEDICAL CENTER (110076),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,9929261.0,,32092.0,1.0,2011-06-30,99895994.0,376.0,,155635612.0,311981120.0,,38191928.0,105367607.0,21249288.0,58936319.0,13172571.0,31472621.0,,337749152.0,13221759.0,162790.0,259534444.0,32.0,9610892.0,0.322782,1833.57,2010-07-01 00:00:00,4850586.0,13.34,12972644.0,114141.0,7621947.0,16868536.0,7028895.0,1847935.0,54061669.0,122621094.0,79462893.0,804055431.0,140681284.0,,446.0,GA,20761.0,2010,182113540.0,39579881.963508,20843706.0,0.06811081388514792,-3109362.0,-0.009966506947599907,2.0806200985716146,4.229296567588837,1.9052290840095845,0.34619249910609384,0.8546075816218827,0.46080237678879504,0.539197623211205,1.9575159395609125,182113540.0,0.9237065974928044,2.2176448147857393,non-profit
DEKALB MEDICAL CENTER HILLANDALE (110226),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,2823266.0,,7414.0,1.0,2011-06-30,21822428.0,92.0,,89008849.0,77827546.0,,7182707.0,21822428.0,395166.0,11963124.0,2248636.0,8159029.0,,60114364.0,151743.0,36500.0,57496280.0,8.0,2780256.0,0.293594,405.21,2010-07-01 00:00:00,1009896.0,,2173462.0,19277.0,1761152.0,4654678.0,5010080.0,256968.0,10651003.0,29866752.0,14715492.0,195836226.0,46494580.0,,100.0,GA,4738.0,2010,-28894485.0,8768699.186688,1912895.0,0.005077456765757461,303671.0,0.0039018447273154416,2.0487390060599715,6.739447258533587,1.872362049572675,0.021126157589332267,-3.080478818016656,1.4806585826974732,-0.4806585826974731,0.989674615974196,-28894485.0,1.294658062089786,1.6739057756839615,non-profit
DEKALB MEMORIAL HOSPITAL (150045),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,233381.0,,1949.0,2.0,2011-09-30,15774212.0,41.0,,16854681.0,44391045.0,,6068785.0,19203483.0,-1123501.0,3019840.0,2318451.0,2083525.0,3712798.0,63926199.0,2974361.0,17155.0,33814506.0,6.0,1610366.0,0.381684,374.95,2010-10-01 00:00:00,903158.0,,2092150.0,6292.0,12995464.0,3544167.0,233109.0,779746.0,3044448.0,11231941.0,25643910.0,88592927.0,8180342.0,,47.0,IN,1836.0,2010,47071518.0,4287052.168644,15969825.0,-0.02530918116480475,-2838581.0,-0.06394490149984079,4.225542674522165,3.9794072454371014,3.9482377444579106,0.4901081517964469,0.3580653804281392,0.2636584258669908,0.7363415741330093,3.026850100167733,47071518.0,0.6944108314652025,5.426551237099867,non-profit
DELAWARE COUNTY MEMORIAL HOSPITAL (161343),General Short Term (Critical Access Hospitals),Governmental-County,750584.0,,1731.0,2.0,2011-06-30,,25.0,,16524976.0,32741049.0,,5579306.0,15616909.0,1562083.0,,2782906.0,2838425.0,823074.0,42312624.0,1217435.0,9125.0,25513001.0,,1243561.0,0.600082,209.13,2010-07-01 00:00:00,501112.0,,2727852.0,3281.0,,2013101.0,152597.0,341945.0,,4841645.0,9042143.0,42515839.0,9519367.0,,25.0,IA,788.0,2010,25787648.0,2905384.01489,1217435.0,0.047710230664875765,-204671.0,-0.0062512047185781985,1.6206573003882563,1.924397407132715,1.469553023261316,0.21820545422674434,0.6408097396086685,0.39054481707397776,0.6094551829260223,11.851019351625524,25787648.0,0.7737891415101081,3.439414511490102,govt
DELAWARE COUNTY MEMORIAL HOSPITAL (390081),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,4578887.0,,16103.0,1.0,2011-06-30,59231621.0,182.0,,107257000.0,191930000.0,,35027000.0,70221890.0,-2337035.0,28568457.0,7770035.0,23166105.0,,76428000.0,1487000.0,73730.0,161917669.0,14.0,4549945.0,0.108335,880.56,2010-07-01 00:00:00,1663000.0,23.23,7598943.0,47405.0,8411000.0,5113775.0,,497000.0,26657784.0,237378837.0,46067000.0,1494608105.0,23198000.0,,202.0,PA,10821.0,2010,-30829000.0,25716436.306395,9898000.0,-0.012176496639399782,-6288035.0,-0.03276212681706872,1.3151854283838182,0.9448710994375767,1.2535187141348103,0.04245296485568276,-3.47909435920724,1.4033731093316586,-0.40337310933165854,,-30829000.0,2.5112524205788453,8.27355806535046,non-profit
DELAWARE PSYCHIATRIC CENTER (084001),Psychiatric,Governmental-State,,,100.0,1.0,2011-06-30,13638603.0,115.0,,,,,,20967317.0,-38055540.0,,154636.0,,,,,41975.0,23987722.0,,,1.076643,517.99,2010-07-01 00:00:00,,,185115.0,33184.0,,647446.0,,,,,,22280099.0,,,115.0,DE,489.0,2010,,,0.0,,,,,,,,,,,,,,,govt
DELL CHILDRENS MEDICAL CENTER (453310),Childrens,Voluntary Nonprofit-Other,,,165.0,1.0,2011-06-30,,96.0,,131256008.0,403713907.0,,34093468.0,78892463.0,187594488.0,,71728.0,53229020.0,35204207.0,679093638.0,66138.0,63510.0,197070470.0,,7825196.0,0.222317,1436.5,2010-07-01 00:00:00,3037901.0,80.9,71703.0,39434.0,,9956602.0,,,,204613224.0,50011027.0,886439738.0,57482985.0,,174.0,TX,10580.0,2010,547837630.0,45488998.120008,66138.0,0.46467184990979266,187666199.0,0.4648494781726704,1.4668800193632399,1.6879809059025617,,0.0019399023883401947,0.2395892520198001,0.19328116279599133,0.8067188372040087,,547837630.0,0.5944893081151204,7.023189679519948,non-profit
DELNOR-COMMUNITY HOSPITAL (140211),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,7738547.0,,15550.0,1.0,2011-06-30,56263312.0,139.0,,180260000.0,168799000.0,,40610000.0,57254141.0,8545000.0,29683211.0,8338548.0,12123413.0,9415473.0,361712000.0,9315000.0,48177.0,134230034.0,20.0,9968619.0,0.242796,1044.44,2010-09-01 00:00:00,2931000.0,,8337633.0,25625.0,100000.0,18685757.0,,1415000.0,26670536.0,38140129.0,38901000.0,552850134.0,23936000.0,,159.0,IL,7170.0,2010,181452000.0,9260270.760684,9415000.0,0.050622337810058114,4855000.0,0.02876201873233846,0.957916769268653,0.8212509234178774,0.8508987934006402,0.2293770007387343,0.9934307695699138,0.4983522802671739,0.5016477197328261,,181452000.0,0.4666668509753616,7.0520972593582885,non-profit
DELTA MEMORIAL HOSPITAL (041326),General Short Term (Critical Access Hospitals),Governmental-County,128555.0,,1906.0,2.0,2011-06-30,,25.0,,5760936.0,13533306.0,,2536116.0,7017597.0,534051.0,,1291978.0,3427577.0,2465038.0,15620689.0,51544.0,9125.0,13208812.0,,1383723.0,0.509188,122.48,2010-07-01 00:00:00,223647.0,,1191307.0,3934.0,201477.0,924678.0,,73508.0,,6362968.0,5171624.0,25940934.0,3639511.0,,25.0,AR,834.0,2010,9859753.0,3239946.949984,253021.0,0.03946197625325253,-808081.0,-0.05971053931685281,2.039190636390449,1.534839889027158,1.9220213113280307,0.02032399148934828,0.5842880648227192,0.36880165785260816,0.6311983421473918,,9859753.0,0.8663706191192975,3.7184407465728224,govt
DELTA REGIONAL MEDICAL CENTER (250082),General Short Term (Acute Care Hospitals),Governmental-County,2290848.0,,18830.0,2.0,2011-09-30,39327725.0,155.0,,46337404.0,155707175.0,,11222614.0,58420087.0,152881.0,31635844.0,6883316.0,20245203.0,24983631.0,104351192.0,15837452.0,64605.0,98174735.0,22.0,10175273.0,0.318121,887.35,2010-10-01 00:00:00,3469396.0,,6841303.0,41176.0,,1374781.0,1807058.0,517117.0,28152342.0,67032557.0,40576976.0,308608119.0,64932855.0,,177.0,MS,7668.0,2010,58013788.0,21324464.065396998,15837452.0,0.0009818494234450019,-3410575.0,-0.02190377546827884,3.6156439132629883,7.1971028318357915,3.260422482676496,1.4112088324520473,0.7987308810105626,0.4440524646809976,0.5559475353190024,-1.126579224352511,58013788.0,1.4921456287725012,2.397972105184656,govt
DEPT. OF VETERANS AFFAIRS HOSP SERV (072006),General Long Term,Governmental-State,,,137.0,1.0,2011-06-30,20166068.0,125.0,,,,,,22287570.0,-29918972.0,,,,,,,45625.0,28236080.0,,,216.13325,300.0,2010-07-01 00:00:00,,,,39160.0,,739249.0,,,,,,130642.0,,,125.0,CT,202.0,2010,,,0.0,,,,,,,,,,,,,,,govt
DEQUEEN MEDICAL CENTER (041319),General Short Term (Critical Access Hospitals),Governmental-City-County,,,3020.0,2.0,2011-09-30,,25.0,,5069043.0,8066215.0,,2084411.0,3648556.0,-270134.0,,821372.0,,,4159790.0,26640.0,9125.0,8263111.0,,-45660.0,0.47433,95.15,2010-10-01 00:00:00,169404.0,,1159444.0,3437.0,,300181.0,160371.0,90845.0,,,1425068.0,17420609.0,1870133.0,,25.0,AR,521.0,2010,-909253.0,,26640.0,-0.03348956108906098,-445543.0,-0.05523569604827047,0.6836789865338457,0.9099803253772888,0.5588240514946429,0.012780588856996053,-5.574953285829137,1.218581466852894,-0.218581466852894,-0.9064107600501338,-909253.0,1.9390918772341874,4.313177191140951,govt
DES PERES MEDICAL CENTER (260176),General Short Term (Acute Care Hospitals),Proprietary-Corporation,496730.0,,18925.0,1.0,2011-05-31,36230981.0,125.0,,10636797.0,128214180.0,,9789924.0,36276720.0,7222995.0,39188227.0,7837608.0,4048967.0,5525481.0,71711238.0,3382.0,51201.0,121342560.0,15.0,1467627.0,0.203499,533.5,2010-06-01 00:00:00,2585883.0,32.0,7874045.0,33002.0,,4412154.0,114.0,517651.0,36744988.0,30836393.0,21619249.0,596282242.0,34734658.0,,140.0,MO,7405.0,2010,61074441.0,6275175.139107,3382.0,0.05633538349658361,6134037.0,0.04784211075561221,2.2083163260511522,3.548346238438623,1.8913032419863525,0.00034545722724711655,0.17416118470900127,0.14832817416985605,0.8516718258301439,92510.44736842105,61074441.0,1.7879231146448762,3.691246362638722,for-profit
DESERT HOSPITAL (050243),General Short Term (Acute Care Hospitals),Proprietary-Corporation,10269582.0,,15607.0,1.0,2011-05-31,106815493.0,225.0,,38171968.0,338607662.0,,36482533.0,112739510.0,43946437.0,41967611.0,14399641.0,33103230.0,26274072.0,194853079.0,1441427.0,104390.0,286280648.0,31.0,13726812.0,0.137222,1192.26,2010-06-01 00:00:00,4451637.0,2.78,13967758.0,70238.0,,13635794.0,3100.0,1181453.0,38964686.0,359053477.0,84382150.0,2086258798.0,190925434.0,,286.0,CA,16450.0,2010,156681111.0,49270036.220894,1441427.0,0.1297857134727211,43196855.0,0.12757199510742318,2.312946581861517,5.272848269608911,2.1585414587304013,0.03951005814207034,0.24362839755457186,0.19590128211420257,0.8040987178857975,18333.11258064516,156681111.0,1.7377588475263457,1.7735073578515475,for-profit
DESOTO MEMORIAL HOSPITAL (100175),General Short Term (Acute Care Hospitals),Governmental-County,2111777.0,,4053.0,2.0,2011-09-30,13197154.0,41.0,,23995094.0,32647676.0,,4683447.0,14561651.0,-815378.0,5824945.0,2378839.0,6362547.0,5210697.0,33490393.0,2189860.0,17885.0,31642299.0,8.0,3851634.0,0.3344,245.06,2010-10-01 00:00:00,645766.0,,2662687.0,8889.0,1446017.0,2095704.0,812408.0,542136.0,5675386.0,20545433.0,9698915.0,94624006.0,4809852.0,,49.0,FL,2209.0,2010,9495299.0,6870392.7952,3635877.0,-0.024975070201015227,-2437253.0,-0.07465318511492211,2.070892443108676,1.803314738055112,1.817254043869825,0.46757441687714196,2.5270498590934314,0.7164769311605271,0.28352306883947287,-0.42041560398223554,9495299.0,0.9748370525242865,6.7876674791656795,govt
