Hospital,Hospital type,Control type,Medicaid charges,TRIAL BALANCE OF EXPENSE ACCOUNTS: Interest Expense (A_C2_113),Cost of Uncompensated Care,"Donations, Land Improvements",IPPS Payment amount (unadjusted),BALANCE SHEET: Temporary Investments (G_C1THRU4_2),STATEMENT OF REVENUES AND EXPENSES: Net Income (G3_C1_29),Cost To Charge Ratio,State,Total Costs,BALANCE SHEET: Total Current Liabilities (G_C1THRU4_45),REIMBURSEMENT SETTLEMENT: Subtotal,REIMBURSEMENT SETTLEMENT: Interim payments,HVBP payment adjustment amount,NUMBER OF BEDS: ICU,Net Revenue from Medicaid,BALANCE SHEET: Total Current Assets (G_C1THRU4_11),BALANCE SHEET: Cash on Hand and in Banks (G_C1THRU4_1),Fiscal Year End Date,FTE Employees on Payroll,Number of Interns & Residents,Total Liabilities,Total discharges,Fiscal Year Begin Date,Total cost of charity care,NUMBER OF BEDS: Total Hospital,BED DAYS: Total Hospital,BALANCE SHEET: Prepaid expenses (G_C1THRU4_8),BALANCE SHEET: Inventory (G_C1THRU4_7),"RECONCILIATION OF CAPITAL COST CENTERS: Depreciation, Total (A7_3_C9_3)",Total Charges,STATEMENT OF REVENUES AND EXPENSES: Net Patient Revenue (G3_C1_3),IPPS Interim payment,Total Inpatient Days,NUMBER OF BEDS: Adults & Pediatrics,"ADJUSTED SALARIES, Subtotal Salaries",REIMBURSEMENT SETTLEMENT: Payment to cost ratio,HAC reduction adjustment amount,Total Salaries,Total Bad Debt expense,BALANCE SHEET: Total Assets (G_C1THRU4_36),BALANCE SHEET: Accounts Receivable (G_C1THRU4_4),Urban (1) and Rural (2) Indicator,Total Days Title XVIII,Beginning FFY,Financial Indicators: Ratio of Charity Care to Total Operating Expense,Financial Indicators: Total Net Assets,Financial Indicators: Medicaid Costs,Financial Indicators: Medicaid Shortfall,Financial Indicators: Cash Reserves,Financial Indicators: Net Profit Margin,Financial Indicators: Operating Profit,Financial Indicators: Operating Profit Margin,Financial Indicators: LIQUIDITY current ratio,Financial Indicators: LIQUIDITY acid-test ratio,Financial Indicators: LIQUIDITY acid-test ratio (variation),Financial Indicators: LIQUIDITY cash ratio,Financial Indicators: SOLVENCY Debt-to-Equity Ratio,Financial Indicators: SOLVENCY Debt Ratio,Financial Indicators: SOLVENCY Equity Ratio,Financial Indicators: SOLVENCY Interest Coverage Ratio,Financial Indicators: SOLVENCY total assets less total liabilities,Financial Indicators: EFFICIENCY asset turnover ratio,Financial Indicators: EFFICIENCY Accounts Receivable Turnover Ratio,: General Ownership Type
CROSS CREEK HOSPITAL (454133),Psychiatric,Proprietary-Corporation,,,,,,,-2393821.0,,TX,20525476.0,524732.0,11092.0,10870.0,,,,2857036.0,-38986.0,2023-12-31,,173.54,37491518.0,3901.0,2023-01-01 00:00:00,,90.0,32850.0,140592.0,49769.0,820262.0,72005139.0,20651239.0,,29349.0,90.0,,,,12023721.0,,22308201.0,5495583.0,1.0,2849.0,2023,,-15183317.0,,,-38986.0,-0.11591658011415198,-2387800.0,-0.11562502375765445,5.444752749975225,10.398826448548974,5.081975179710786,-0.07429697445553159,-2.4692574092999573,1.680615931333952,-0.680615931333952,,-15183317.0,0.925724086850392,3.7577885731140808,for-profit
CROSSGATES RIVER OAKS HOSPITAL (250096),General Short Term (Acute Care Hospitals),Proprietary-Corporation,,,,,6221609.0,,-2470959.0,,MS,42069029.0,53220708.0,2104908.0,2104582.0,-7074.0,7.0,,11885428.0,1740.0,2023-12-31,,148.71,54057986.0,1166.0,2023-01-01 00:00:00,,86.0,31390.0,225996.0,1715425.0,2212062.0,438806432.0,41797478.0,5542785.0,4737.0,79.0,11726098.0,,,12605143.0,,27986009.0,16730315.0,1.0,2602.0,2023,,-26071977.0,,,1740.0,-0.059117418519844665,-2559119.0,-0.0612266366884624,0.2233233725488958,0.314389936338314,0.1868446958653763,3.2694040823357704e-05,-2.073413381731658,1.9316075400390245,-0.9316075400390245,,-26071977.0,1.493513348044732,2.4983078919912747,for-profit
CROSSRIDGE COMMUNITY HOSPITAL (041307),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Church,,,,,,,-731013.0,,AR,15980112.0,1540390.0,1630324.0,1590242.0,,,,5682901.0,2283488.0,2023-09-30,,126.93,1972489.0,412.0,2022-10-01 00:00:00,,15.0,5475.0,299605.0,124669.0,696897.0,27390354.0,13016430.0,,2542.0,15.0,,,,8020573.0,,12587620.0,1631329.0,2.0,1143.0,2023,,10615131.0,,,2283488.0,-0.056160790631532606,-6459659.0,-0.4962696376809924,3.689261161134518,2.5414453482559614,3.4138283162056364,1.4824090003181012,0.18581862060863874,0.15670071069828928,0.8432992893017107,,10615131.0,1.034066010890065,7.97903427205671,non-profit
CROSSROADS COMMUNITY HOSPITAL (140294),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,,,,,2255167.0,,-5866839.0,,IL,33240522.0,22206913.0,2183210.0,2220847.0,,7.0,,21335950.0,5103403.0,2023-09-30,,108.51,22206913.0,414.0,2023-01-14 00:00:00,,47.0,12220.0,446587.0,1809854.0,518680.0,192805677.0,35691335.0,2116660.0,1025.0,40.0,9344041.0,,,9214434.0,,25531037.0,13768047.0,2.0,424.0,2023,,3324124.0,,,5103403.0,-0.1643771240274425,-5917989.0,-0.16581024497962882,0.9607796455094861,0.8498006904426563,0.8591697999627413,0.22981145555890636,6.680530870689541,0.8698006665377517,0.13019933346224832,,3324124.0,1.397958688477871,2.5923309965458428,non-profit
CROUSE HOSPITAL (330203),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,,,,,57007235.0,,22020005.0,,NY,467344341.0,121037237.0,19120469.0,18939818.0,-30272.0,29.0,,154721893.0,49788286.0,2023-12-31,49.62,2232.85,282531374.0,15635.0,2023-01-01 00:00:00,,502.0,183230.0,19683193.0,14871459.0,7370273.0,1068838054.0,533777689.0,49630007.0,117774.0,416.0,196089330.0,,,219116237.0,,331752012.0,66623706.0,1.0,21379.0,2023,,49220638.0,,,49788286.0,0.04125313862640669,8736921.0,0.016368089525000736,1.2782999416948027,0.9617865946493805,0.9928121624256839,0.41134684857355097,5.7400997930989845,0.8516342441956313,0.14836575580436873,,49220638.0,1.6089659435132528,8.011828237234356,non-profit
CROW/NORTHERN CHEYENNE INDIAN HOSPIT (271339),General Short Term (Critical Access Hospitals),Governmental- Federal,,,,,,,-112698597.0,,MT,41633200.0,,3594881.0,4240407.0,,,,,,2023-09-30,,310.0,,139.0,2022-10-01 00:00:00,,24.0,8760.0,,,2194522.0,339644.0,,,630.0,24.0,,,,26204706.0,,,,2.0,205.0,2023,,,,,0.0,,,,,,,,,,,,,,,govt
CROWNPOINT INDIAN HOSPITAL (320062),General Short Term (Acute Care Hospitals),Governmental- Federal,,,,,510712.0,,-79402400.0,,NM,40205804.0,,3413567.0,1878636.0,,,,,,2023-09-30,,431.0,,163.0,2022-10-01 00:00:00,,19.0,6935.0,,,791851.0,325610.0,,457383.0,506.0,19.0,19180638.0,,,28260334.0,,,,2.0,165.0,2023,,,,,0.0,,,,,,,,,,,,,,,govt
CROZER CHESTER MEDICAL CENTER (390180),General Short Term (Acute Care Hospitals),Proprietary-Corporation,,,,,55154237.0,,-146558232.0,,PA,475820923.0,437822246.0,21244252.0,18073629.0,-24868.0,25.0,,264328620.0,287489.0,2023-12-31,111.08,1932.19,474659091.0,10845.0,2023-01-01 00:00:00,,296.0,108040.0,7682071.0,9946383.0,13577507.0,3095876144.0,408878254.0,58629224.0,59696.0,224.0,153715172.0,,,180081890.0,,459387058.0,877677403.0,1.0,12865.0,2023,,-15272033.0,,,287489.0,-0.35843978144164157,-155062263.0,-0.3792382242954892,0.6037350144149596,2.0052998677458707,0.563471062180792,0.0006566340623998352,-31.08028191138665,1.033244369283037,-0.03324436928303714,,-15272033.0,0.8900517480403203,0.4658639411273529,for-profit
CRYSTAL CLINIC ORTHOPAEDIC CENTER (360351),General Short Term (Acute Care Hospitals),Proprietary-Corporation,,,,,11824484.0,,7631624.0,,OH,175799880.0,39001289.0,11653468.0,11419231.0,,,,58542257.0,20226359.0,2023-12-31,,829.28,142983612.0,2117.0,2023-01-01 00:00:00,,59.0,21535.0,5590825.0,4254008.0,19791461.0,851250338.0,203818514.0,10456071.0,5061.0,59.0,60757070.0,,,59842683.0,,212386561.0,143984935.0,1.0,1535.0,2023,,69402949.0,,,20226359.0,0.03744323246317064,2932156.0,0.014386112146809195,1.5010339017256584,4.210406840655959,1.2486106292538177,0.5186074491025155,2.060195050213212,0.6732234437375725,0.3267765562624275,,69402949.0,0.9596582431597449,1.4155544397752446,for-profit
CUBA MEMORIAL HOSPITAL INC (331301),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,,,,,,,-2033922.0,,NY,11338426.0,3271481.0,81319.0,169269.0,,,,7112945.0,6021938.0,2023-12-31,,71.4,3284822.0,1.0,2023-01-01 00:00:00,,20.0,7300.0,9714.0,109808.0,771759.0,15090936.0,8109838.0,,1448.0,20.0,,,,6494151.0,,11711376.0,901876.0,2.0,568.0,2023,,8426554.0,,,6021938.0,-0.2507968716514436,-3441038.0,-0.42430415995979204,2.1742278191436846,2.116415776218783,2.1376932954829937,1.8407375742056884,0.3898179493064425,0.28048130296559515,0.7195186970344049,,8426554.0,0.6924752479981857,8.992187396050012,non-profit
CUERO COMMUNITY HOSPITAL (450597),General Short Term (Acute Care Hospitals),Governmental-Hospital District,,-19606.0,,,1674668.0,,6512233.0,,TX,40922312.0,8373390.0,1747829.0,1712723.0,,,,42738036.0,24222324.0,2023-09-30,,205.8,8830557.0,611.0,2022-10-01 00:00:00,,44.0,16060.0,6166833.0,963771.0,3516422.0,116977650.0,35888858.0,1486395.0,2272.0,44.0,12079426.0,,,19204117.0,,100421122.0,18716292.0,2.0,519.0,2023,,91590565.0,,,24222324.0,0.18145556484410844,-11473840.0,-0.31970479528771856,5.104030267311089,5.1279847230333235,4.252451157774808,2.892773894444186,0.09641339148852286,0.08793525529419996,0.9120647447058,405.8664694481281,91590565.0,0.35738355920779297,1.9175196668228942,govt
CULBERSON HOSPITAL (451338),General Short Term (Critical Access Hospitals),Proprietary-Corporation,,438.0,,,,,1189432.0,,TX,10278055.0,1375794.0,941880.0,991701.0,,,,4135437.0,1422109.0,2024-03-31,,56.21,1382089.0,33.0,2023-04-01 00:00:00,,14.0,5124.0,114948.0,141149.0,528341.0,8017004.0,8255715.0,,346.0,14.0,,,,4614251.0,,5357867.0,1495286.0,2.0,315.0,2023,,3975778.0,,,1422109.0,0.1440737719264776,-1840406.0,-0.2229250888626848,3.0058548009367683,2.1205173158190833,2.8197099275036814,1.0336641968201634,0.34762730715849827,0.2579550780189206,0.7420449219810794,-2995.582191780822,3975778.0,1.5408585170180595,5.521161169167637,for-profit
CUMBERLAND MEDICAL CENTER (440009),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,,,,,16202081.0,,-4668469.0,,TN,77115172.0,41459117.0,8838733.0,8829737.0,-29456.0,12.0,,47124563.0,151004.0,2024-06-30,,531.0,41758394.0,5088.0,2023-07-01 00:00:00,,73.0,26443.0,890763.0,788056.0,6061148.0,302281783.0,88846138.0,14364227.0,20096.0,61.0,32306278.0,,,37858141.0,,118596377.0,11567592.0,2.0,6461.0,2023,,76837983.0,,,151004.0,-0.052545547899898584,-6714160.0,-0.07557064551303289,1.1366513908147151,0.28265425913436604,1.0961580296078182,0.0036422386902258434,0.543460309206711,0.3521051406148773,0.6478948593851227,,76837983.0,0.7491471514344827,7.680607856846956,non-profit
CUYUNA REGIONAL MEDICAL CENTER (241353),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,,1077670.0,,,,,-5345783.0,,MN,142888041.0,26173180.0,7260879.0,10853470.0,,6.0,,60502722.0,11424988.0,2024-03-31,,834.39,58490115.0,1541.0,2023-04-01 00:00:00,,25.0,9150.0,3057033.0,4788346.0,6471027.0,514119940.0,178886164.0,,4667.0,19.0,,,,76072184.0,,129195262.0,34389243.0,2.0,1586.0,2023,,70705147.0,,,11424988.0,-0.029883714203855362,-20456996.0,-0.1143576201902345,2.311630531712234,1.7504266199216145,2.0118817430667577,0.436515089110303,0.827239847192454,0.4527264707276959,0.5472735292723041,-12.977970065047742,70705147.0,1.3846186093109203,5.201805808868779,non-profit
CYPRESS CREEK HOSPITAL (454108),Psychiatric,Proprietary-Corporation,,,,,,,3430285.0,,TX,25162223.0,-22060891.0,62527.0,61277.0,,,,69179.0,-137779.0,2023-12-31,,217.7,-22060891.0,4238.0,2023-01-01 00:00:00,,128.0,46720.0,106812.0,151900.0,751583.0,79908819.0,29081814.0,,35674.0,128.0,,,,15865879.0,,38487947.0,-51754.0,1.0,1901.0,2023,,60548838.0,,,-137779.0,0.11795292411952019,3145914.0,0.10817461386693417,-0.003135820760820585,0.008591357438826927,0.008591357438826927,0.0062453959815131676,-0.36434870971429706,-0.573189601409501,1.573189601409501,,60548838.0,0.7556083466857819,-561.9239865517641,for-profit
CYPRESS GROVE BEHAVIORAL HEALTH (194083),Psychiatric,Proprietary-Corporation,,,,,,,687597.0,,LA,8370221.0,751158.0,879699.0,862105.0,,,,4425754.0,73782.0,2023-12-31,,101.5,1510342.0,1177.0,2023-01-01 00:00:00,,60.0,21900.0,,,30157.0,13200943.0,9027377.0,,11827.0,60.0,,,,4729720.0,,4755635.0,1132906.0,1.0,,2023,,3245293.0,,,73782.0,0.07616797215846863,-251258.0,-0.027832890993696176,5.891908227030798,1.6064369946136499,,0.09822434161654406,0.4653946500362217,0.3175899748403736,0.6824100251596265,,3245293.0,1.8982484988860584,7.968337178900986,for-profit
D W MCMILLAN MEMORIAL HOSPITAL (010099),General Short Term (Acute Care Hospitals),Governmental-County,,194751.0,,,2166824.0,,-5754742.0,,AL,34987686.0,6232988.0,2474720.0,2516060.0,,8.0,,10182154.0,103181.0,2023-09-30,,186.86,17662031.0,1089.0,2022-10-01 00:00:00,,46.0,16790.0,42396.0,1259586.0,1750056.0,137525211.0,31640053.0,2455538.0,3409.0,38.0,11448420.0,,,17372894.0,,33833969.0,26610211.0,2.0,947.0,2023,,16171938.0,,,103181.0,-0.18188155373823173,-8009129.0,-0.25313260379178254,1.6335911444077864,4.2858083474571105,1.4247054542700868,0.016554018714619697,1.0921406574771682,0.5220206650895731,0.4779793349104269,-32.138849094484755,16171938.0,0.9351564104110871,1.1890192452814448,govt
D.M. COGDELL MEMORIAL HOSPITAL (451384),General Short Term (Critical Access Hospitals),Governmental-Hospital District,,550810.0,,,,,-408346.0,,TX,46497538.0,37690842.0,3698407.0,3252506.0,,,,12193464.0,3111896.0,2023-12-31,,221.07,32866367.0,495.0,2023-01-01 00:00:00,,25.0,9125.0,954245.0,2572138.0,3500281.0,60901990.0,33332500.0,,2286.0,25.0,,,,22340612.0,,49728816.0,10626941.0,2.0,692.0,2023,,16862449.0,,,3111896.0,-0.012250686267156679,-19323414.0,-0.5797169129228231,0.32351264532641644,0.3645139315274517,0.22995190715028335,0.08256371667154584,1.9490862211058428,0.6609119147337029,0.33908808526629713,-28.72702565312903,16862449.0,0.6702854135919906,3.136603468486369,govt
DALE MEDICAL CENTER (010021),General Short Term (Acute Care Hospitals),Governmental-County,,28439.0,,,2471254.0,,911086.0,,AL,33197970.0,3433140.0,2264803.0,2282613.0,,6.0,,14610554.0,9108462.0,2023-09-30,,272.1,32934460.0,1181.0,2022-10-01 00:00:00,,77.0,28105.0,399204.0,1957820.0,1230089.0,136219954.0,33795241.0,2341226.0,6458.0,71.0,11159850.0,,,16200256.0,,33845731.0,3145068.0,2.0,1086.0,2023,,911271.0,,,9108462.0,0.02695900289629537,-6163532.0,-0.18237869645610752,4.255740808705733,3.569190303920027,3.569190303920027,2.653099494923015,36.14123570266145,0.9730757477213301,0.026924252278669944,-173.4745595836703,911271.0,0.9985082313630632,10.74547227595715,govt
DALLAS BEHAVIORAL HEALTHCARE (454126),Psychiatric,Proprietary-Corporation,,,,,,,-5507111.0,,TX,23358406.0,47414021.0,5837.0,5721.0,,,,3904450.0,-357315.0,2023-12-31,,235.66,47571532.0,3359.0,2023-01-01 00:00:00,,116.0,42340.0,137984.0,34952.0,199662.0,48613075.0,17759838.0,,28133.0,116.0,,,,13664737.0,,5703923.0,4088829.0,1.0,556.0,2023,,-41867609.0,,,-357315.0,-0.310087907333389,-8150408.0,-0.45892355549639585,0.08234800419057477,0.07870064426723057,0.07870064426723057,-0.007536061959393826,-1.1362371326244114,8.340142740356066,-7.340142740356067,,-41867609.0,3.1136181186176604,4.343502259448854,for-profit
DALLAS CO. HOSP. DIST. (450015),General Short Term (Acute Care Hospitals),Governmental-Hospital District,,,,,166050031.0,1350193.0,102757808.0,,TX,1884722608.0,338054378.0,22109073.0,25387992.0,,35.0,,1445378011.0,1019401318.0,2023-09-30,644.27,12324.41,1704174700.0,47829.0,2022-10-01 00:00:00,,787.0,287130.0,16833469.0,31283944.0,84423746.0,8516632410.0,1054312376.0,123154712.0,236244.0,610.0,1051233517.0,,,1123502840.0,,3644743298.0,1043273919.0,2.0,14842.0,2023,,1940568598.0,,,1020751511.0,0.09746429079193508,-1646336553.0,-1.5615263469125777,4.275578442590085,6.105601833087339,4.133242131832412,3.015495092922595,0.8781831787633616,0.4675705696297298,0.5324294303702702,,1940568598.0,0.2892693091934729,1.0105805932641168,govt
DALLAS COUNTY MEDICAL CENTER (041317),General Short Term (Critical Access Hospitals),Governmental-County,,2061.0,,,,,1564181.0,,AR,11875061.0,922608.0,1698394.0,1314334.0,,,,8061514.0,4735326.0,2023-12-31,,82.0,964862.0,157.0,2023-01-01 00:00:00,,22.0,8030.0,102510.0,214413.0,393500.0,22061826.0,9857945.0,,811.0,22.0,,,,5985444.0,,8813722.0,1945450.0,2.0,671.0,2023,,7848860.0,,,4735326.0,0.15867211675455686,-2042265.0,-0.20716944555888678,8.73774560810225,7.2411858557480535,8.394237856164265,5.132543832266792,0.12293020897302283,0.10947270630954777,0.8905272936904522,-799.9830179524503,7848860.0,1.1184769612656265,5.067179829859415,govt
DALLAS MEDICAL CENTER (450379),General Short Term (Acute Care Hospitals),Proprietary-Corporation,,,,,7660409.0,,-6019685.0,,TX,52922279.0,58940546.0,981630.0,961692.0,-5709.0,12.0,,9886770.0,331361.0,2023-12-31,,206.12,85367631.0,3259.0,2023-01-01 00:00:00,,119.0,43435.0,245565.0,1223903.0,2274898.0,296916198.0,51892579.0,6503105.0,13601.0,107.0,17896054.0,,16159.0,17896054.0,,43916545.0,82198075.0,1.0,2024.0,2023,,-41451086.0,,,331361.0,-0.11600281034403782,-9447668.0,-0.18206202470684682,0.16774140504229465,1.4002149895252074,0.14281004454895957,0.005621953349397205,-2.059478755273143,1.9438603605998606,-0.9438603605998604,,-41451086.0,1.1816179756399325,0.6313113658683612,for-profit
DALLAS REGIONAL MEDICAL CENTER (450688),General Short Term (Acute Care Hospitals),Proprietary-Corporation,,,,,14872457.0,,6872637.0,,TX,89284765.0,7335322.0,1123213.0,1163015.0,-14184.0,24.0,,26636305.0,1903496.0,2023-12-31,,429.0,10465510.0,6965.0,2023-01-01 00:00:00,,202.0,73730.0,380795.0,1808544.0,3807074.0,719964881.0,110448559.0,12857851.0,29028.0,178.0,38836968.0,,,38823928.0,,42222463.0,544220376.0,1.0,4640.0,2023,,31756953.0,,,1903496.0,0.06222477741878009,5941282.0,0.053792299816242964,3.6312386831825516,74.45124726630951,3.3327733942695357,0.25949726542338564,0.32955019330727353,0.24786592861719128,0.7521340713828087,,31756953.0,2.6158720063299006,0.202948224415618,for-profit
DAMERON HOSPITAL (050122),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,,2994786.0,,,15960358.0,5000.0,-45214381.0,,CA,148509416.0,106688369.0,8323133.0,8438812.0,-28762.0,24.0,,30396250.0,-8053750.0,2023-12-31,,417.0,113937262.0,2969.0,2023-01-01 00:00:00,,170.0,62050.0,794707.0,3546503.0,3795399.0,1248907257.0,110056107.0,14682652.0,13420.0,146.0,44584377.0,,30506.0,43953251.0,,71477972.0,368219952.0,1.0,3238.0,2023,,-42459290.0,,,-8048750.0,-0.4108302776873618,-51484758.0,-0.4678046444074203,0.28490687677491816,3.375918156551817,0.24421631190181564,-0.07548854739732688,-2.683447179639603,1.594019231547308,-0.5940192315473081,-15.92412913643913,-42459290.0,1.5397206149049667,0.29888686477260745,non-profit
DANA-FARBER CANCER INSTITUTE (220162),Cancer (Acute Care Hospitals),Voluntary Nonprofit-Other,,21874884.0,,,,,407896912.0,,MA,1546794811.0,470400669.0,439615533.0,415166695.0,,,,705176875.0,82797260.0,2023-09-30,,6754.0,1371165916.0,1300.0,2022-10-01 00:00:00,,30.0,10950.0,143153344.0,82174522.0,94837800.0,5653881625.0,2258328395.0,,10445.0,30.0,447040447.0,0.89,,760195432.0,,4727883377.0,290376618.0,1.0,3472.0,2023,,3356717461.0,,,82797260.0,0.18061895378152035,-730753793.0,-0.32358172293184134,1.4990983675663097,0.7933106872345881,1.0200857282369213,0.17601433300682656,0.4084841610683301,0.29001686519392333,0.7099831348060767,-29.070599551522193,3356717461.0,0.477661611956466,7.777239126739881,non-profit
DANBURY HOSPITAL (070033),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,,6227931.0,,,133228139.0,12044.0,28776403.0,,CT,625057415.0,88227976.0,57628588.0,56243609.0,,39.0,,343086385.0,17526024.0,2023-09-30,111.13,2215.12,394183961.0,17390.0,2022-10-01 00:00:00,,338.0,123370.0,12277095.0,20766247.0,45499323.0,2337624549.0,785064090.0,120188341.0,82816.0,299.0,200311696.0,,,217415280.0,,900889618.0,77483021.0,2.0,28046.0,2023,,506705657.0,,,17538068.0,0.03665484559356167,-2627643.0,-0.003347042659918377,3.8886348815255607,1.0769949998626287,3.5141126098143745,0.19864474733048393,0.7779347942034126,0.4375496765909006,0.5624503234090994,6.883775687302894,506705657.0,0.8714320537324696,10.132079000894919,non-profit
DANVILLE REGIONAL MEDICAL CENTER (490075),General Short Term (Acute Care Hospitals),Proprietary-Corporation,,461305.0,,,36552434.0,,30976789.0,,VA,223990277.0,38586365.0,19860825.0,19724901.0,-48727.0,30.0,,78723259.0,437077.0,2023-12-31,42.49,1339.47,-78712589.0,8867.0,2023-01-01 00:00:00,,205.0,74825.0,5581333.0,9342695.0,10050310.0,1904963714.0,375903329.0,31017736.0,37949.0,175.0,77391343.0,,,107708140.0,,308506166.0,45742613.0,2.0,10838.0,2023,,387218755.0,,,437077.0,0.08240626408498766,27042388.0,0.07193974065603446,2.0401833393738955,1.1967877772368556,1.653413867826109,0.011327239557289214,-0.20327679892468017,-0.2551410560786004,1.2551410560786005,80.40818547381885,387218755.0,1.2184629366532662,8.217793089345378,for-profit
DARDANELLE HOSPITAL (041302),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,,159649.0,,,,,-100941.0,,AR,18503502.0,1655592.0,685491.0,876265.0,,,,3308998.0,799342.0,2023-12-31,,104.47,10365710.0,328.0,2023-01-01 00:00:00,,25.0,9125.0,132090.0,275782.0,224223.0,60403600.0,18960516.0,,2022.0,25.0,,,,8176748.0,,9730300.0,10502061.0,2.0,1030.0,2023,,-635410.0,,,799342.0,-0.005323747518263744,-611387.0,-0.032245272227823335,1.998679626381379,6.826200537330453,1.7523194120290506,0.4828133984701545,-16.313419681780267,1.0653022003432577,-0.06530220034325766,-2.4250950522709194,-635410.0,1.94860549006711,1.8054090525659678,non-profit
DAVIE MEDICAL CENTER (340187),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,,,,,4166409.0,,38239853.0,,NC,81765841.0,58004056.0,11340418.0,11501075.0,41734.0,,,154548615.0,378.0,2023-12-31,,410.18,58004056.0,1888.0,2023-01-01 00:00:00,,42.0,15330.0,14489.0,,4659824.0,581133365.0,139284298.0,3544963.0,4511.0,42.0,31851775.0,,,25361752.0,,235373503.0,154533748.0,1.0,1153.0,2023,,177369447.0,,,378.0,0.274545325992166,35711538.0,0.25639313628877247,2.6644449657106737,2.66419517283412,,6.516785653748076e-06,0.3270239434190715,0.24643409415544962,0.7535659058445504,,177369447.0,0.591758614392547,0.9013196133701488,non-profit
DAVIESS COMMUNITY HOSPITAL (150061),General Short Term (Acute Care Hospitals),Governmental-City-County,,173893.0,,,2789526.0,,-3359238.0,,IN,61231465.0,8606976.0,4798734.0,4766884.0,-9699.0,5.0,,26254764.0,12713735.0,2023-12-31,,372.67,15452784.0,950.0,2023-01-01 00:00:00,,42.0,15330.0,551107.0,2396947.0,3085620.0,163795258.0,59555618.0,2694907.0,3329.0,37.0,19392451.0,,,31453265.0,,61191223.0,25062651.0,2.0,828.0,2023,,45738439.0,,,12713735.0,-0.05640505653051908,-12018971.0,-0.2018108686236788,3.0504051597216026,4.389042795053687,2.707886021757235,1.477143075570328,0.3378511452916004,0.25253268757187614,0.7474673124281239,-51.37268895240177,45738439.0,0.9732705947060414,2.376269693098308,govt
DAVIS MEMORIAL HOSPITAL (510030),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,,2501330.0,,,5592899.0,,-26607800.0,,WV,95133241.0,26149936.0,8451058.0,8275084.0,-6465.0,,,47601884.0,6724450.0,2023-12-31,,547.17,82629150.0,1643.0,2023-01-01 00:00:00,,90.0,32850.0,791198.0,1734290.0,4141731.0,214707225.0,103744259.0,5549280.0,7319.0,90.0,33995000.0,,20798.0,49902626.0,,85618667.0,38351946.0,2.0,2126.0,2023,,2989517.0,,,6724450.0,-0.2564749149155328,-26607800.0,-0.2564749149155328,1.8203441874580497,1.7237669721256679,1.7237669721256679,0.2571497689325129,27.639632087725207,0.965083350339944,0.034916649660056025,-8.981649362539128,2989517.0,1.211701403853905,2.7050585386201784,non-profit
DAVIS REGIONAL MEDICAL CENTER (340144),General Short Term (Acute Care Hospitals),Proprietary-Corporation,,,,,720566.0,,-6557971.0,,NC,11047656.0,27914096.0,,68657.0,,,,5933232.0,-414.0,2023-05-04,,20.22,27951596.0,358.0,2022-10-01 00:00:00,,16.0,3456.0,489811.0,825983.0,1291612.0,12712051.0,6250205.0,256198.0,2801.0,16.0,2002859.0,,,3362494.0,,37601540.0,7871529.0,1.0,218.0,2023,,9649944.0,,,-414.0,-1.0492409448970075,-7083569.0,-1.133333866649174,0.2125532562473096,0.2819763534523919,0.16541599627657655,-1.4831216457806837e-05,2.8965552546211666,0.7433630643851289,0.2566369356148711,,9649944.0,0.16622204835227494,0.7940268021625786,for-profit
DAVIS REGIONAL MEDICAL CENTER (344036),Psychiatric,Proprietary-Corporation,,,,,,,-4930611.0,,NC,7516413.0,32070755.0,,,,,,5884703.0,-6526.0,2023-09-30,,27.82,32108255.0,561.0,2023-05-05 00:00:00,,17.0,6258.0,415429.0,396330.0,910043.0,9747065.0,3806500.0,,5517.0,17.0,,,,2483593.0,,36807516.0,6863857.0,1.0,143.0,2023,,4699261.0,,,-6526.0,-1.2953135426244582,-4951387.0,-1.3007715749376068,0.18349125238866376,0.21381882029281818,0.15817974974396457,-0.0002034875699059782,6.832617937160758,0.8723287656792705,0.1276712343207295,,4699261.0,0.10341637832881741,0.5545715768845417,for-profit
