Hospital,Hospital type,Control type,IPPS Interim payment,Cost of Uncompensated Care,Cost To Charge Ratio,Urban (1) and Rural (2) Indicator,Total Costs,REIMBURSEMENT SETTLEMENT: Payment to cost ratio,IPPS Payment amount (unadjusted),Net Revenue from Medicaid,"Donations, Land Improvements",Total Charges,NUMBER OF BEDS: Total Hospital,Total Days,REIMBURSEMENT SETTLEMENT: Interim payments,Total Salaries,BED DAYS: Total Hospital,Total discharges,Total Bad Debt expense,Fiscal Year End Date,State,Total Days Title XVIII,REIMBURSEMENT SETTLEMENT: Subtotal,NUMBER OF BEDS: ICU,Total cost of charity care,HVBP payment adjustment amount,Fiscal Year Begin Date,FTE Employees on Payroll,HAC reduction adjustment amount,"ADJUSTED SALARIES, Subtotal Salaries",Total Liabilities,Medicaid charges,Number of Interns & Residents,NUMBER OF BEDS: Adults & Pediatrics,Beginning FFY
GATEWAY REHAB AT FLORENCE (183030),Rehabilitation,Proprietary-Corporation,,,,1.0,10521839.0,,,,,20113700.0,40.0,9148.0,,5528307.0,14640.0,739.0,,2012-05-31,KY,6120.0,,,,,2011-06-01 00:00:00,,,,342593.0,,114.0,40.0,2011
GATEWAYS HOSPITAL AND MENTAL HEALTH (054028),Psychiatric,Voluntary Nonprofit-Other,,,,,,,,,,,,,,,,,,2012-06-30,CA,,,,,,2011-07-01 00:00:00,,,,,,,,2011
GAYLORD HOSPITAL (072003),General Long Term,Voluntary Nonprofit-Other,,,,1.0,62868913.0,,,,,194872334.0,137.0,40670.0,652989.0,37331942.0,50005.0,1380.0,,2011-09-30,CT,16858.0,652989.0,,,,2010-10-01 00:00:00,,,33475728.0,54852762.0,,559.21,137.0,2011
GEARY COMMUNITY HOSPITAL (170074),General Short Term (Acute Care Hospitals),Governmental-County,5343152.0,2775542.0,0.389526,2.0,38468640.0,,3493293.0,2500455.0,,98757663.0,49.0,5583.0,1856872.0,19640240.0,17934.0,1369.0,6200459.0,2012-04-30,KS,2663.0,1963686.0,6.0,374820.0,,2011-05-01 00:00:00,2.48,,13959537.0,9582837.0,10866837.0,343.58,43.0,2011
GEISINGER MEDICAL CENTER (390006),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,113109430.0,2946695.0,0.171087,2.0,692169315.0,,119597575.0,64031720.0,,4045716284.0,466.0,133551.0,44669587.0,237073925.0,170410.0,25525.0,19205073.0,2012-06-30,PA,38619.0,43418244.0,39.0,,,2011-07-01 00:00:00,269.25,,210217092.0,523667356.0,634737589.0,4220.59,324.0,2011
GEISINGER REHAB HOSPITAL (393047),Rehabilitation,Proprietary-Partnership,,-6131.0,0.396483,2.0,11892411.0,,,,,29994768.0,42.0,11391.0,4.0,9000522.0,15372.0,939.0,,2012-06-30,PA,6665.0,20.0,,,,2011-07-01 00:00:00,,,6544292.0,8228097.0,,176.89,42.0,2011
GEISINGER WYOMING VALLEY MED CTR (390270),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,48231347.0,18927280.0,0.160327,1.0,335633343.0,,53170285.0,28856440.0,,2093434029.0,230.0,60943.0,30284519.0,87523311.0,82347.0,14265.0,9033095.0,2012-06-30,PA,21917.0,29892390.0,51.0,17657104.0,,2011-07-01 00:00:00,43.77,,83633883.0,276950146.0,265346691.0,1625.09,170.0,2011
GENESIS BEHAVIORAL HOSPITAL INC (194089),Psychiatric,Proprietary-Corporation,,,,1.0,3679773.0,,,,,11414914.0,18.0,4010.0,1808788.0,1540081.0,5106.0,337.0,,2011-12-31,LA,3917.0,1808788.0,,,,2011-01-01 00:00:00,,,1540081.0,513445.0,,50.0,18.0,2011
GENESIS HEALTHCARE SYSTEM (360039),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,61325377.0,12387524.0,0.331367,2.0,240360676.0,,66643049.0,28302063.0,,725361064.0,283.0,65085.0,17382633.0,108430379.0,103295.0,16594.0,18344422.0,2011-12-31,OH,29851.0,17213400.0,21.0,6699771.0,,2011-01-01 00:00:00,,,104422942.0,130414955.0,123941932.0,2156.0,262.0,2011
GENESIS MEDICAL CENTER (160033),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,58381074.0,12736026.0,0.331765,1.0,264644821.0,,63764619.0,25930545.0,,797688494.0,262.0,58864.0,24258430.0,87634348.0,95892.0,15216.0,19933620.0,2012-06-30,IA,27970.0,23926971.0,22.0,6172063.0,,2011-07-01 00:00:00,19.73,,81612779.0,128193956.0,90591691.0,1371.09,220.0,2011
GENESIS MEDICAL CENTER - ALEDO (141304),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,,712747.0,0.612468,2.0,11807323.0,,,1856065.0,,19278269.0,22.0,1235.0,1792268.0,5585908.0,8052.0,210.0,636220.0,2012-06-30,IL,1036.0,1812394.0,,402791.0,,2011-07-01 00:00:00,,,,3306033.0,2494163.0,86.87,22.0,2011
GENESYS REGIONAL MEDICAL CTR. (230197),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,112356506.0,8103493.0,0.326181,1.0,358880636.0,,120156791.0,31108114.0,,1100251602.0,348.0,99710.0,21008123.0,179744613.0,127320.0,20817.0,5802433.0,2012-06-30,MI,46391.0,20426125.0,45.0,6733291.0,,2011-07-01 00:00:00,149.58,,161900139.0,373197000.0,125110900.0,2669.0,292.0,2011
GENEVA GENERAL HOSPITAL (330058),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,9494322.0,2513438.0,0.500134,1.0,89322617.0,,10830519.0,8887516.0,,178597369.0,117.0,18005.0,3224183.0,51094044.0,42705.0,3991.0,3843341.0,2011-12-31,NY,6526.0,3235617.0,14.0,591252.0,,2011-01-01 00:00:00,,,32478254.0,72263402.0,24506661.0,795.5,103.0,2011
GENOA COMMUNITY HOSPITAL (281312),General Short Term (Critical Access Hospitals),Governmental-City-County,,23468.0,0.78192,2.0,4842429.0,,,,,6192999.0,17.0,1130.0,534120.0,2580944.0,6222.0,154.0,,2012-06-30,NE,967.0,548751.0,,23468.0,,2011-07-01 00:00:00,,,,2039528.0,1281052.0,46.89,17.0,2011
GEORGE COUNTY HOSPITAL (250036),General Short Term (Acute Care Hospitals),Governmental-County,4138176.0,3041445.0,0.529467,1.0,24789446.0,,4070755.0,3548875.0,,46819603.0,38.0,5122.0,1287631.0,17135087.0,13870.0,1412.0,2727683.0,2011-09-30,MS,3070.0,1287341.0,6.0,1657976.0,,2010-10-01 00:00:00,,,9669401.0,4720097.0,5333864.0,229.75,32.0,2011
GEORGE E. WEEMS MEMORIAL HOSPITAL (101305),General Short Term (Critical Access Hospitals),Governmental-County,,-2231.0,0.49247,2.0,6368735.0,,,,,12932229.0,25.0,962.0,633373.0,3364578.0,9125.0,250.0,,2011-09-30,FL,643.0,795496.0,,,,2010-10-01 00:00:00,,,2704245.0,2401518.0,,93.19,25.0,2011
GEORGE H. LANIER HOSPITAL (010025),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,8181995.0,3874403.0,0.423286,2.0,37144857.0,,8870979.0,6661557.0,,87753632.0,84.0,14916.0,3349754.0,19409791.0,30744.0,2835.0,9643024.0,2012-06-30,AL,8096.0,3162086.0,10.0,163817.0,,2011-07-01 00:00:00,,,15147483.0,20178287.0,13977187.0,330.86,74.0,2011
GEORGE NIGH LONG TERM ACUTE CARE HOS (372023),General Long Term,Governmental-State,,,,1.0,738766.0,,,,,1692473.0,4.0,615.0,,304562.0,1464.0,23.0,,2012-08-31,OK,416.0,,,,,2011-09-01 00:00:00,,,,,,7.52,4.0,2011
GEORGE NIGH REHABILITATION INSTITUTE (373026),Rehabilitation,Governmental-State,,,,1.0,5508589.0,,,,,6272696.0,26.0,2479.0,30085.0,3233782.0,9516.0,196.0,,2012-06-30,OK,1761.0,30070.0,,,,2011-07-01 00:00:00,,,,,,64.33,26.0,2011
GEORGE WASHINGTON UNIV HOSPITAL (090001),General Short Term (Acute Care Hospitals),Proprietary-Corporation,72459986.0,6640434.0,0.19763,1.0,270975920.0,,76503546.0,74715121.0,,1371127933.0,315.0,84281.0,11905611.0,121352405.0,114975.0,18532.0,17487053.0,2011-12-31,DC,25435.0,11741013.0,48.0,3346205.0,,2011-01-01 00:00:00,250.91,,101511707.0,45236175.0,285859555.0,1760.25,255.0,2011
GEORGETOWN COMMUNITY HOSPITAL (180101),General Short Term (Acute Care Hospitals),Proprietary-Corporation,4956120.0,2605108.0,0.240216,1.0,35317628.0,,5481966.0,4656916.0,,147024525.0,75.0,6494.0,2291640.0,14052749.0,24522.0,2167.0,10998506.0,2012-02-29,KY,2812.0,2188795.0,6.0,,,2011-03-01 00:00:00,,,14109590.0,-71946142.0,22131426.0,248.71,69.0,2011
GEORGETOWN MEMORIAL HOSPITAL (420020),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,19288047.0,7141055.0,0.294632,2.0,82262121.0,,20853893.0,25012521.0,,279202577.0,131.0,24253.0,6542755.0,43422832.0,47815.0,5695.0,16123064.0,2011-09-30,SC,11946.0,6139447.0,10.0,2552211.0,,2010-10-01 00:00:00,,,39436562.0,75026599.0,83610644.0,776.83,121.0,2011
GEORGETOWN UNIVERSITY HOSPITAL (090004),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,88551004.0,12967557.0,0.290499,1.0,498389072.0,,95454331.0,54014681.0,,1715630552.0,381.0,108480.0,25495305.0,216771076.0,138803.0,15869.0,17907091.0,2012-06-30,DC,34698.0,25373041.0,70.0,7848872.0,,2011-07-01 00:00:00,278.78,,189072669.0,130030184.0,188082894.0,2963.21,273.0,2011
GEORGIA REGIONAL HOSPITAL ATLANTA (114019),Psychiatric,Governmental-State,,-10266.0,1.619563,1.0,22013465.0,,,,,13592225.0,195.0,36150.0,,26753694.0,71370.0,2335.0,,2012-06-30,GA,920.0,,,,,2011-07-01 00:00:00,,,17880631.0,,,559.0,195.0,2011
GEORGIA REHABILITATION HOSPITAL (113026),Rehabilitation,Voluntary Nonprofit-Other,,,,1.0,17768666.0,,,,,37726080.0,58.0,14203.0,162009.0,10885717.0,21228.0,1059.0,,2012-06-30,GA,7839.0,162009.0,,,,2011-07-01 00:00:00,,,,14901480.0,,240.32,58.0,2011
GEORGIANA HOSPITAL (010047),General Short Term (Acute Care Hospitals),Proprietary-Corporation,2354738.0,-29352.0,0.509474,2.0,6900462.0,,2384481.0,,,13544297.0,22.0,4505.0,231133.0,3842362.0,8030.0,1286.0,,2011-12-31,AL,1785.0,251379.0,,,,2011-01-01 00:00:00,,,3302911.0,2674279.0,,57.4,22.0,2011
GERALD CHAMPION REGIONAL MEDICAL CTR (320004),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,13269719.0,6406075.0,0.387515,2.0,78495278.0,,14428856.0,7143522.0,,202560708.0,99.0,11710.0,6288415.0,38505989.0,36234.0,3279.0,8971009.0,2012-06-30,NM,4976.0,7021298.0,12.0,3002689.0,,2011-07-01 00:00:00,,,26884268.0,66522138.0,30067119.0,577.79,87.0,2011
GETTYSBURG MEDICAL CENTER (431302),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,,122708.0,0.948144,2.0,6729845.0,,,78116.0,,7097913.0,10.0,488.0,900531.0,2631664.0,3660.0,63.0,68886.0,2012-06-30,SD,427.0,960446.0,,57394.0,,2011-07-01 00:00:00,,,,2738720.0,130451.0,25.48,10.0,2011
GIBSON AREA HOSPITAL AND HEALTH SVCS (141317),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,,1245520.0,0.468684,2.0,42698608.0,,,1306680.0,,91103151.0,25.0,4025.0,3585655.0,24466883.0,9125.0,807.0,1842389.0,2011-09-30,IL,2477.0,3195157.0,2.0,518611.0,,2010-10-01 00:00:00,,,,16970211.0,13076849.0,330.95,23.0,2011
GIBSON GENERAL HOSPITAL (151319),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,,1979052.0,0.460111,2.0,19835319.0,,,1105439.0,,43109894.0,25.0,2784.0,1942972.0,13746641.0,9125.0,587.0,2945933.0,2011-09-30,IN,1916.0,1936330.0,5.0,808121.0,,2010-10-01 00:00:00,,,,13904367.0,6187704.0,240.25,20.0,2011
GIBSON GENERAL HOSPITAL (440047),General Short Term (Acute Care Hospitals),Governmental-Hospital District,1007210.0,528390.0,0.343911,2.0,5787464.0,,1115091.0,708371.0,,16828396.0,41.0,1214.0,954218.0,2968220.0,15006.0,317.0,1422897.0,2012-06-30,TN,949.0,832030.0,,86092.0,,2011-07-01 00:00:00,,,2968220.0,2265062.0,3359279.0,63.0,41.0,2011
GIFFORD MEDICAL CENTER (471301),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,,2247003.0,0.512171,2.0,42840925.0,,,4492414.0,,83645815.0,29.0,6585.0,5074029.0,28164106.0,10585.0,1333.0,3697819.0,2011-09-30,VT,3886.0,4979037.0,2.0,353087.0,,2010-10-01 00:00:00,,,,32199986.0,13852432.0,434.07,27.0,2011
GILA REGIONAL MEDICAL CENTER (320016),General Short Term (Acute Care Hospitals),Governmental-County,6771594.0,2496034.0,0.403065,2.0,64653173.0,,6885507.0,5433584.0,,160404029.0,58.0,8733.0,6612997.0,29780393.0,21228.0,2548.0,6402753.0,2012-06-30,NM,3379.0,5938490.0,6.0,,,2011-07-01 00:00:00,,,24452727.0,16929639.0,20385685.0,555.88,52.0,2011
GILBERT HOSPITAL (030120),General Short Term (Acute Care Hospitals),Proprietary-Corporation,2219478.0,3419791.0,0.219135,1.0,35819682.0,,2472205.0,6557779.0,,163459792.0,19.0,5284.0,1045941.0,18075122.0,6935.0,1912.0,15574102.0,2011-12-31,AZ,1193.0,1013305.0,3.0,6960.0,,2011-01-01 00:00:00,,,18119725.0,13725743.0,53022023.0,303.41,16.0,2011
GILLETTE CHILDRENS SPECIALTY HEALTH (243300),Childrens,Voluntary Nonprofit-Other,,,0.4476,1.0,124010641.0,,,,,277056901.0,60.0,11229.0,1040993.0,77318138.0,21900.0,2260.0,,2011-12-31,MN,275.0,1085520.0,5.0,,,2011-01-01 00:00:00,11.32,,,90830250.0,,946.5,55.0,2011
GILMORE MEMORIAL REGIONAL MEDICAL CE (250025),General Short Term (Acute Care Hospitals),Proprietary-Corporation,7955261.0,2502784.0,0.199343,2.0,33258827.0,,8949420.0,6181592.0,,166842556.0,95.0,16054.0,3325256.0,12944082.0,34675.0,3690.0,5505558.0,2011-12-31,MS,7763.0,2761172.0,9.0,1418568.0,,2011-01-01 00:00:00,,,12983476.0,-32292507.0,28046378.0,292.45,80.0,2011
GLACIAL RIDGE HOSPITAL (241376),General Short Term (Critical Access Hospitals),Governmental-Hospital District,,61878.0,0.627696,2.0,18096532.0,,,294951.0,,28830094.0,19.0,2901.0,1672795.0,9032973.0,6935.0,712.0,39372.0,2011-09-30,MN,1662.0,1749088.0,,38893.0,,2010-10-01 00:00:00,,,,12703257.0,676759.0,140.16,19.0,2011
GLEN COVE HOSPITAL (330181),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,33178610.0,6897839.0,0.303131,1.0,148271670.0,,36048605.0,7376657.0,,489134126.0,192.0,37563.0,4051732.0,94558417.0,70080.0,7253.0,2908520.0,2011-12-31,NY,21043.0,4128803.0,11.0,6028774.0,,2011-01-01 00:00:00,20.62,,67649976.0,76382000.0,35702680.0,1027.19,174.0,2011
GLEN OAKS HOSPITAL (454050),Psychiatric,Proprietary-Corporation,,-83695.0,0.34028,1.0,6570887.0,,,,,19310252.0,54.0,15264.0,304358.0,3696647.0,19710.0,1709.0,,2011-12-31,TX,6312.0,289197.0,,,,2011-01-01 00:00:00,,,,-6942171.0,,82.9,54.0,2011
GLEN ROSE MEDICAL CENTER (450451),General Short Term (Acute Care Hospitals),Governmental-Hospital District,2926106.0,837287.0,0.325889,2.0,13890379.0,,2788190.0,469574.0,,42622986.0,16.0,2845.0,1650349.0,6479759.0,5840.0,847.0,1546951.0,2011-09-30,TX,1813.0,1650336.0,,348377.0,,2010-10-01 00:00:00,,,7253149.0,4076291.0,2086822.0,149.58,16.0,2011
GLENBEIGH HEALTH SOURCES (360245),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,828373.0,1067692.0,0.288721,1.0,14535233.0,,968854.0,177766.0,,50343450.0,113.0,21797.0,101427.0,7851363.0,41245.0,2553.0,1787600.0,2011-12-31,OH,1316.0,101426.0,,551574.0,,2011-01-01 00:00:00,,,7851363.0,1783239.0,507192.0,202.47,113.0,2011
GLENCOE REGIONAL HEALTH SERVICES (241355),Critical Access Hospitals,Voluntary Nonprofit-Other,,752266.0,0.569842,1.0,38244933.0,,,7964305.0,,67115016.0,25.0,3085.0,3399583.0,23090493.0,9125.0,849.0,839127.0,2011-12-31,MN,1397.0,3378122.0,3.0,279273.0,,2011-01-01 00:00:00,,,,28496553.0,14023439.0,316.9,22.0,2011
GLENDALE MEMORIAL HOSPITAL & HLTH CT (050058),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,61187676.0,16284291.0,0.200132,1.0,189330573.0,,64977426.0,31163530.0,,946028394.0,241.0,50906.0,10586212.0,87149798.0,88206.0,10676.0,11283784.0,2012-06-30,CA,20700.0,9847825.0,24.0,14497023.0,,2011-07-01 00:00:00,,,82318284.0,108758756.0,286650049.0,1018.0,204.0,2011
GLENDIVE MEDICAL CENTER (271332),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,,2398173.0,0.782449,2.0,26830011.0,,,1091618.0,,34289804.0,25.0,3204.0,2544125.0,16151220.0,9150.0,758.0,2134844.0,2012-06-30,MT,1494.0,2328186.0,3.0,808684.0,,2011-07-01 00:00:00,,,,33690548.0,1664276.0,213.42,22.0,2011
GLENMONT (361991),Religious Non-Medical,Voluntary Nonprofit-Other,,,,1.0,2459034.0,,,,,2415404.0,25.0,8443.0,,1610595.0,9125.0,54.0,,2011-12-31,OH,954.0,,,,,2011-01-01 00:00:00,,,,331449.0,,37.81,25.0,2011
GLENN MEDICAL CENTER (051306),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,,463817.0,0.43358,2.0,12852520.0,,,1493739.0,,29642817.0,15.0,1208.0,1502372.0,6071429.0,5490.0,345.0,1301650.0,2012-06-30,CA,773.0,1081916.0,,22237.0,,2011-07-01 00:00:00,,,,2772315.0,7609251.0,92.11,15.0,2011
GLENS FALLS HOSPITAL (330191),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,36433076.0,7403729.0,0.405052,1.0,254948352.0,,41230430.0,,,629421639.0,293.0,70966.0,18923091.0,139781640.0,106945.0,14197.0,9954894.0,2011-12-31,NY,30185.0,18880545.0,22.0,3473827.0,,2011-01-01 00:00:00,,,116582963.0,123835508.0,,2289.6,271.0,2011
GLENWOOD REGIONAL MEDICAL CENTER (190160),General Short Term (Acute Care Hospitals),Proprietary-Corporation,37220388.0,2103827.0,0.167865,1.0,91909854.0,,40485604.0,14167988.0,,547521813.0,175.0,45706.0,5456745.0,37178573.0,64050.0,11597.0,12495364.0,2012-02-29,LA,23489.0,5244245.0,28.0,169261.0,,2011-03-01 00:00:00,,,34678085.0,53174049.0,88654780.0,706.5,141.0,2011
GLOBAL REHAB FORT WORTH (673035),Rehabilitation,Proprietary-Other,,-25623.0,0.384229,1.0,13529547.0,,,,,35212198.0,42.0,12843.0,,6260206.0,15330.0,1002.0,,2011-12-31,TX,9273.0,,,,,2011-01-01 00:00:00,,,6260206.0,6526708.0,,95.07,42.0,2011
GLOBAL REHAB HOSPITAL-DALLAS (673033),Rehabilitation,Proprietary-Other,,-19876.0,0.428047,1.0,14098532.0,,,,,32936910.0,42.0,12104.0,,6165100.0,15330.0,864.0,,2011-12-31,TX,9121.0,,,,,2011-01-01 00:00:00,,,6165100.0,7863430.0,,99.04,42.0,2011
GLOBAL REHABILITATION SAN ANTONIO (673040),Rehabilitation,Proprietary-Other,,-9197.0,0.389393,1.0,12597702.0,,,,,32352128.0,3472.0,15059.0,,5688718.0,18727.0,888.0,,2011-12-31,TX,8207.0,,33.0,,,2011-01-01 00:00:00,,,,6461563.0,,116.68,42.0,2011
GLSH OAK  LLC (232026),General Long Term,Proprietary-Corporation,,-8450.0,0.637721,1.0,3586744.0,,,,,5624313.0,20.0,2611.0,,1921567.0,7300.0,116.0,,2011-12-31,MI,1988.0,,,,,2011-01-01 00:00:00,,,1907333.0,57953.0,,27.84,20.0,2011
GNADEN HUETTEN MEMORIAL HOSPITAL (390194),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,8662590.0,1756062.0,0.352412,1.0,52837184.0,,9733366.0,5307370.0,,149930002.0,85.0,10894.0,3456679.0,27952717.0,31110.0,2581.0,4772933.0,2012-06-30,PA,6291.0,3414509.0,6.0,149173.0,,2011-07-01 00:00:00,,,19260040.0,48667800.0,18968898.0,449.55,79.0,2011
GOLDEN PLAINS COMMUNITY HOSPITAL (451369),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,,1588089.0,0.506014,2.0,17355666.0,,,1190316.0,,34298798.0,25.0,2952.0,1459338.0,7421274.0,9125.0,887.0,2195000.0,2011-12-31,TX,892.0,1571116.0,4.0,514304.0,,2011-01-01 00:00:00,,,,3837031.0,5895656.0,159.0,21.0,2011
GOLDEN VALLEY MEMORIAL HOSPITAL (260175),General Short Term (Acute Care Hospitals),Governmental-Hospital District,6443303.0,3461747.0,0.335904,2.0,52676316.0,,7353984.0,6435240.0,,156819560.0,56.0,11228.0,5738345.0,31566202.0,20496.0,2474.0,6586607.0,2012-03-31,MO,6275.0,5280438.0,8.0,1316270.0,,2011-04-01 00:00:00,,,24443493.0,21307642.0,24232372.0,479.6,48.0,2011
GOLDWATER MEMORIAL HOSPITAL (332008),General Long Term,Governmental-City,2433250.0,,1.000051,1.0,174840706.0,,219518.0,,,174827584.0,417.0,118175.0,2345943.0,79476425.0,152622.0,729.0,,2012-06-30,NY,2624.0,1507160.0,,,,2011-07-01 00:00:00,5.0,,58745604.0,127422000.0,,1015.6,417.0,2011
GOLETA VALLEY COTTAGE HOSPITAL (050357),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,5498063.0,976780.0,0.316991,1.0,53665855.0,,6058504.0,1103888.0,,169297677.0,57.0,4372.0,3064905.0,21457530.0,20805.0,1288.0,1810491.0,2011-12-31,CA,2013.0,3029033.0,11.0,423728.0,,2011-01-01 00:00:00,,,18958767.0,32583315.0,8877923.0,214.57,46.0,2011
GONZALES HEALTHCARE SYSTEMS (450235),General Short Term (Acute Care Hospitals),Governmental-Hospital District,3008156.0,3214953.0,0.539654,2.0,23146396.0,,2628025.0,2053644.0,,42891211.0,34.0,3302.0,2020497.0,9559492.0,12444.0,1028.0,4786290.0,2012-06-30,TX,1665.0,2139030.0,,693999.0,,2011-07-01 00:00:00,,,8653713.0,8311004.0,1673813.0,165.45,34.0,2011
GOOD SAMARITAN HEALTH CTR OF MER  WI (521339),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,,694126.0,0.495903,2.0,17478922.0,,,623668.0,,35246624.0,25.0,2207.0,3093610.0,11509599.0,9125.0,493.0,1141065.0,2011-09-30,WI,1073.0,2067130.0,,280052.0,,2010-10-01 00:00:00,,,11135274.0,3287804.0,1134928.0,187.3,25.0,2011
GOOD SAMARITAN HOSPITAL (050257),General Short Term (Acute Care Hospitals),Proprietary-Partnership,7552340.0,-27944.0,0.404113,1.0,25900812.0,,8327036.0,6412087.0,,64092979.0,133.0,14764.0,2616873.0,12759751.0,48545.0,2652.0,426000.0,2011-12-31,CA,5395.0,2387593.0,4.0,40924.0,,2011-01-01 00:00:00,,,10438634.0,30000579.0,20011261.0,205.54,129.0,2011
GOOD SAMARITAN HOSPITAL (050380),General Short Term (Acute Care Hospitals),Proprietary-Corporation,72523610.0,3415943.0,0.154708,1.0,365202318.0,,76819195.0,12094338.0,,2360583836.0,299.0,78938.0,16548888.0,174124989.0,109135.0,15819.0,15921687.0,2012-01-31,CA,24109.0,16369109.0,69.0,1071389.0,,2011-02-01 00:00:00,,,169306883.0,-61752836.0,146027600.0,1381.26,213.0,2011
GOOD SAMARITAN HOSPITAL (050471),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,71047037.0,14267858.0,0.182052,1.0,230697407.0,,72606585.0,43661642.0,,1267207512.0,313.0,69753.0,12330021.0,114143333.0,114558.0,13660.0,12672008.0,2012-08-31,CA,22573.0,12049436.0,39.0,12330444.0,,2011-09-01 00:00:00,8.1,,118933788.0,166724786.0,329821876.0,1352.34,251.0,2011
GOOD SAMARITAN HOSPITAL (100287),General Short Term (Acute Care Hospitals),Proprietary-Corporation,26793786.0,6025881.0,0.171849,1.0,130398202.0,,30761330.0,11005898.0,,758796303.0,333.0,39472.0,8956457.0,47910722.0,121878.0,8844.0,32495171.0,2012-05-31,FL,15996.0,8837840.0,23.0,497625.0,,2011-06-01 00:00:00,,,47406814.0,20786020.0,60725877.0,759.0,303.0,2011
GOOD SAMARITAN HOSPITAL (150042),General Short Term (Acute Care Hospitals),Governmental-County,25397957.0,17498535.0,0.347002,2.0,117991163.0,,27594916.0,9701384.0,,340030357.0,192.0,24916.0,12450066.0,75400596.0,70080.0,6710.0,,2011-12-31,IN,15615.0,12258974.0,20.0,17755008.0,,2011-01-01 00:00:00,,,51657951.0,38000654.0,45151889.0,1417.84,172.0,2011
GOOD SAMARITAN HOSPITAL (210056),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,102103933.0,13328387.0,0.72205,1.0,252204091.0,,70334686.0,,,349288731.0,273.0,63859.0,29983918.0,128268921.0,104676.0,15776.0,11226543.0,2012-06-30,MD,40822.0,15053665.0,7.0,5222262.0,,2011-07-01 00:00:00,36.18,,112100083.0,57129031.0,15949227.0,2009.0,256.0,2011
GOOD SAMARITAN HOSPITAL (220111),General Short Term (Acute Care Hospitals),Proprietary-Corporation,43776903.0,5643634.0,0.512286,1.0,161565231.0,,47016213.0,27908846.0,,315380623.0,215.0,56357.0,9377597.0,76277467.0,70735.0,14581.0,2608844.0,2011-09-30,MA,21745.0,8967493.0,18.0,4759354.0,,2010-11-06 00:00:00,7.0,,75728150.0,81791306.0,57011013.0,1103.82,197.0,2011
GOOD SAMARITAN HOSPITAL (280009),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,43569445.0,9306684.0,0.383885,2.0,157621354.0,,46757690.0,7064982.0,,410595168.0,196.0,39917.0,10766426.0,58710111.0,71736.0,8664.0,9505493.0,2012-06-30,NE,18353.0,10703722.0,16.0,5677139.0,,2011-07-01 00:00:00,3.84,,52767518.0,54264722.0,35806203.0,1076.14,170.0,2011
GOOD SAMARITAN HOSPITAL (330158),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,64176549.0,10130426.0,0.179367,1.0,271147399.0,,69441804.0,29895641.0,,1511687464.0,348.0,74969.0,12077162.0,103560387.0,127020.0,14394.0,16173253.0,2011-12-31,NY,29820.0,11971405.0,,7324507.0,,2011-01-01 00:00:00,,,94798566.0,194853197.0,219187365.0,1355.54,302.0,2011
GOOD SAMARITAN HOSPITAL (330286),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,81656218.0,13862902.0,0.231087,1.0,408397733.0,,90347293.0,72360377.0,,1767292623.0,437.0,143417.0,13253204.0,267972559.0,159505.0,27344.0,8869333.0,2011-12-31,NY,54450.0,13174635.0,29.0,11853271.0,,2011-01-01 00:00:00,66.96,,190430502.0,211271000.0,269638940.0,3397.52,392.0,2011
