Hospital,Hospital type,Control type,Number of Interns & Residents,"Donations, Land Improvements",Net Revenue from Medicaid,BED DAYS: Total Hospital,Total discharges,NUMBER OF BEDS: Adults & Pediatrics,REIMBURSEMENT SETTLEMENT: Subtotal,NUMBER OF BEDS: Total Hospital,Total cost of charity care,HVBP payment adjustment amount,Urban (1) and Rural (2) Indicator,Total Bad Debt expense,NUMBER OF BEDS: ICU,Cost To Charge Ratio,IPPS Payment amount (unadjusted),REIMBURSEMENT SETTLEMENT: Payment to cost ratio,Total Days Title XVIII,FTE Employees on Payroll,Total Costs,State,Cost of Uncompensated Care,Fiscal Year End Date,Total Salaries,Total Days,Total Charges,Fiscal Year Begin Date,"ADJUSTED SALARIES, Subtotal Salaries",Total Liabilities,HAC reduction adjustment amount,REIMBURSEMENT SETTLEMENT: Interim payments,IPPS Interim payment,Medicaid charges,FFY
FAIRFIELD MEDICAL CENTER (360072),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,1571.69,,17511891.0,77592.0,11041.0,196.0,13508397.0,212.0,14191525.0,591.0,1.0,12710788.0,16.0,0.347603,35385543.0,,15929.0,12.28,179978006.0,OH,18403215.0,2012-12-31,80296265.0,39123.0,517769548.0,2012-01-01 00:00:00,81890299.0,92376032.0,,13523001.0,31068018.0,78459990.0,2012
FAIRFIELD MEMORIAL HOSPITAL (141311),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,166.75,,1836626.0,9125.0,842.0,21.0,2421286.0,25.0,961884.0,,2.0,2028251.0,4.0,0.378508,,,2213.0,,22870173.0,IL,1406459.0,2013-06-30,10542609.0,2957.0,60421954.0,2012-07-01 00:00:00,,10932444.0,,3534680.0,,9643934.0,2012
FAIRFIELD MEMORIAL HOSPITAL (421302),General Short Term (Critical Access Hospitals),Governmental-County,125.02,,591385.0,9150.0,394.0,25.0,1145566.0,25.0,350929.0,,1.0,6200483.0,,0.54433,,,1129.0,,11995253.0,SC,3555453.0,2012-09-30,6453715.0,3462.0,22036735.0,2011-10-01 00:00:00,,5185681.0,,1644727.0,,3785419.0,2012
FAIRLAWN REHABILITATION HOSPITAL (223029),Rehabilitation,Proprietary-Partnership,274.25,,,40260.0,2354.0,110.0,1441.0,110.0,,,1.0,,,0.491302,,,23388.0,,30404948.0,MA,-151095.0,2012-09-30,16291433.0,32086.0,61886414.0,2011-10-01 00:00:00,16908809.0,12324610.0,,1441.0,,,2012
FAIRMONT REGIONAL MEDICAL CENTER (510047),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,500.02,,12776494.0,33306.0,2861.0,79.0,6200158.0,91.0,1962712.0,3203.0,2.0,9811875.0,12.0,0.383175,10578885.0,,6980.0,,73674966.0,WV,5596707.0,2012-12-31,27419836.0,12926.0,192275054.0,2012-01-01 00:00:00,24511588.0,36928039.0,,6646585.0,9774128.0,33699356.0,2012
FAIRMOUNT HOSPITAL (394027),Psychiatric,Proprietary-Corporation,385.2,,,62780.0,3519.0,172.0,152840.0,172.0,,,1.0,,,0.412122,,,6727.0,,32608755.0,PA,-29606.0,2013-06-30,19325907.0,56060.0,79123953.0,2012-07-01 00:00:00,,-16241466.0,,151785.0,,,2012
FAIRVIEW DEVELOPMENTAL CENTER (050548),General Short Term (Acute Care Hospitals),Governmental-State,5.0,,,10950.0,49.0,30.0,107925.0,30.0,,,1.0,,,1.038187,275494.0,,290.0,,130459236.0,CA,,2013-06-30,70267555.0,610.0,125660668.0,2012-07-01 00:00:00,29035231.0,18043141.0,,102075.0,230903.0,,2012
FAIRVIEW HOSPITAL (221302),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,242.47,,5530457.0,8750.0,1020.0,20.0,5892525.0,24.0,755923.0,,1.0,2354184.0,4.0,0.614,,,2348.0,,36664746.0,MA,1734785.0,2012-09-30,20227252.0,3903.0,59714586.0,2011-10-01 00:00:00,,18152754.0,,5358854.0,,11321894.0,2012
FAIRVIEW HOSPITAL (360077),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,1941.3,,34878761.0,146034.0,20339.0,329.0,17472421.0,399.0,10958189.0,3517.0,1.0,25927814.0,22.0,0.226145,56613337.0,,29544.0,70.57,277418968.0,OH,16671403.0,2012-12-31,119560655.0,99672.0,1226728212.0,2012-01-01 00:00:00,108877914.0,158562903.0,,17491069.0,51262070.0,170855568.0,2012
FAIRVIEW HOSPITAL (371329),General Short Term (Critical Access Hospitals),Governmental-City,61.79,,320408.0,9125.0,154.0,25.0,625767.0,25.0,7033.0,,2.0,847816.0,,0.52065,,,945.0,,5247488.0,OK,440719.0,2013-06-30,3116329.0,1185.0,10078720.0,2012-07-01 00:00:00,,3502676.0,,468546.0,,644020.0,2012
FAIRVIEW LAKES REGIONAL MEDICAL CTR (240050),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,511.63,,8520162.0,19032.0,3534.0,44.0,4746103.0,52.0,1869482.0,1486.0,1.0,9857248.0,8.0,0.363291,8423747.0,,3488.0,,76094843.0,MN,5429066.0,2012-12-31,42511485.0,10646.0,209459642.0,2012-01-01 00:00:00,34608034.0,65874864.0,,4772657.0,7454237.0,27921854.0,2012
FAIRVIEW NORTHLAND REG (240141),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,275.63,,7114077.0,19764.0,1850.0,50.0,3922491.0,54.0,1101633.0,5016.0,1.0,5034958.0,4.0,0.353889,4416509.0,,1475.0,,46718248.0,MN,2865812.0,2012-12-31,22963611.0,5705.0,132013852.0,2012-01-01 00:00:00,18879396.0,29125678.0,,3912608.0,4437732.0,22575739.0,2012
FAIRVIEW PARK HOSPITAL (110125),General Short Term (Acute Care Hospitals),Proprietary-Corporation,435.94,,14553417.0,52902.0,7438.0,129.0,4866773.0,145.0,2980228.0,24729.0,2.0,15575489.0,16.0,0.137128,18219619.0,,9722.0,,66990567.0,GA,5056616.0,2013-04-30,27036870.0,27620.0,488527044.0,2012-05-01 00:00:00,28274762.0,-282986986.0,,5005930.0,16864911.0,96228304.0,2012
FAIRVIEW RIDGES HOSPITAL (240207),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,1017.07,,18652321.0,61122.0,11443.0,155.0,7485275.0,167.0,2370372.0,6277.0,1.0,26171361.0,12.0,0.320985,27356628.0,,11549.0,,164951171.0,MN,10746675.0,2012-12-31,77280492.0,43819.0,513890469.0,2012-01-01 00:00:00,69690464.0,98899156.0,,7509131.0,24623213.0,72818280.0,2012
FAIRVIEW SOUTHDALE HOSPITAL (240078),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,1826.25,,20194983.0,111630.0,17704.0,246.0,22727320.0,305.0,1351479.0,-4367.0,1.0,25586065.0,24.0,0.327268,67502157.0,,25961.0,,320527326.0,MN,9683345.0,2012-12-31,143399308.0,72632.0,979402360.0,2012-01-01 00:00:00,124640615.0,165294840.0,,22767294.0,61983496.0,76666188.0,2012
FAIRWAY MEDICAL CENTER (190267),General Short Term (Acute Care Hospitals),Proprietary-Partnership,105.37,,,7686.0,359.0,21.0,1748093.0,21.0,,,1.0,,,,578273.0,,187.0,,14484486.0,LA,,2012-12-31,5618280.0,884.0,69068344.0,2012-01-01 00:00:00,5348663.0,11343475.0,,1750040.0,507179.0,,2012
FAITH COMMUNITY HOSPITAL (450241),General Short Term (Acute Care Hospitals),Governmental-Hospital District,85.98,,33502.0,6205.0,188.0,17.0,659676.0,17.0,,,2.0,1201353.0,,0.797914,522624.0,0.811,466.0,,7242731.0,TX,925433.0,2013-05-31,3075638.0,657.0,9077085.0,2012-06-01 00:00:00,2871369.0,1417371.0,,731659.0,564313.0,104166.0,2012
FAITH REGIONAL HEALTH SERVICES (280125),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,826.0,,5410789.0,42456.0,4879.0,102.0,8373715.0,116.0,1007933.0,17347.0,2.0,9679757.0,14.0,0.376357,23685199.0,,9854.0,,98372096.0,NE,4650977.0,2012-12-31,47874764.0,21178.0,261379560.0,2012-01-01 00:00:00,41038525.0,96500581.0,,8451190.0,22576543.0,20752898.0,2012
FALL RIVER HOSPITAL (431322),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,77.51,,780653.0,9150.0,185.0,25.0,1506086.0,25.0,24098.0,,2.0,516746.0,,0.637924,,,2613.0,,11209450.0,SD,287750.0,2012-12-31,4747944.0,2825.0,17571769.0,2012-01-01 00:00:00,,19265248.0,,1731797.0,,1025035.0,2012
FALLBROOK HOSPITAL (050435),General Short Term (Acute Care Hospitals),Proprietary-Corporation,259.24,,2200133.0,14600.0,2258.0,32.0,1395524.0,40.0,701697.0,10632.0,1.0,3985862.0,8.0,0.199153,5763535.0,,2035.0,,40721108.0,CA,1473342.0,2013-06-30,19205319.0,6655.0,204471853.0,2012-07-01 00:00:00,17198706.0,28095508.0,,1677090.0,5622183.0,28778463.0,2012
FALLON MEDICAL COMPLEX (271301),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,73.19,,1183304.0,9125.0,148.0,25.0,637889.0,25.0,86386.0,,2.0,250072.0,,0.942716,,,979.0,,8266242.0,MT,321289.0,2013-06-30,4373471.0,6287.0,8768541.0,2012-07-01 00:00:00,,1589269.0,,691230.0,,1038728.0,2012
FALLS COMMUNITY HOSPITAL AND CLINIC (450348),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,112.2,,2090156.0,16060.0,405.0,44.0,646916.0,44.0,463594.0,,2.0,4973720.0,,0.333075,1308818.0,0.923,1201.0,,13167918.0,TX,1982307.0,2013-08-31,6613029.0,1862.0,39534403.0,2012-09-01 00:00:00,4905234.0,1914024.0,,975151.0,1461105.0,7299216.0,2012
FALMOUTH HOSPITAL (220135),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,709.9,,12197296.0,38430.0,6402.0,75.0,11889104.0,95.0,2236134.0,,1.0,5251533.0,20.0,0.441199,37530954.0,,14798.0,,116611923.0,MA,4352153.0,2012-09-30,59593362.0,24209.0,264306627.0,2011-10-01 00:00:00,54833931.0,56297908.0,,11887621.0,34929726.0,35869927.0,2012
FAMILY HEALTH WEST HOSPITAL (061302),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,137.73,,1307327.0,5856.0,237.0,16.0,2460668.0,16.0,112973.0,,2.0,1323491.0,,0.598249,,,2620.0,,26227101.0,CO,880881.0,2012-12-31,12752487.0,3187.0,43839805.0,2012-01-01 00:00:00,,36351867.0,,3781932.0,,4077853.0,2012
FANNIN REGIONAL HOSPITAL (110189),General Short Term (Acute Care Hospitals),Proprietary-Corporation,212.75,,3428357.0,18300.0,1707.0,45.0,2567616.0,50.0,798568.0,3549.0,2.0,1306977.0,5.0,0.169411,6031732.0,,3094.0,,25295676.0,GA,997194.0,2012-12-31,11551500.0,5922.0,149315673.0,2012-01-01 00:00:00,11454626.0,70620472.0,,2812330.0,5972055.0,21223554.0,2012
FAULKNER HOSPITAL (220119),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,1055.99,,12169871.0,47085.0,6913.0,115.0,13336677.0,129.0,4173720.0,,1.0,5579000.0,,0.314604,27681591.0,,12634.0,31.33,168673033.0,MA,5805340.0,2012-09-30,83971584.0,27485.0,536143159.0,2011-10-01 00:00:00,74635053.0,53762000.0,,13341975.0,25492437.0,61759708.0,2012
FAULKTON AREA MEDICAL CENTER (431301),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,60.43,,135179.0,4380.0,201.0,12.0,1015436.0,12.0,30658.0,,2.0,196040.0,,0.828827,,,1405.0,,7833786.0,SD,193141.0,2013-02-28,3501907.0,1623.0,9451657.0,2012-03-01 00:00:00,,8068269.0,,979188.0,,211504.0,2012
FAUQUIER HOSPITAL (490023),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,767.27,,6060892.0,35502.0,5103.0,89.0,9367570.0,97.0,6864858.0,,1.0,8481929.0,8.0,0.399491,17153246.0,,9741.0,,114733690.0,VA,10228080.0,2012-09-30,51172112.0,21370.0,287199791.0,2011-10-01 00:00:00,49357331.0,87820775.0,,9384888.0,15342974.0,19729187.0,2012
FAWCETT MEMORIAL HOSPITAL (100236),General Short Term (Acute Care Hospitals),Proprietary-Corporation,699.83,,2687409.0,79570.0,11080.0,198.0,9779414.0,218.0,1479324.0,40667.0,1.0,9861191.0,20.0,0.103492,54706391.0,,32880.0,,121144473.0,FL,2449886.0,2012-12-31,44480832.0,52251.0,1170572595.0,2012-01-01 00:00:00,44830774.0,-61979797.0,,9897738.0,49516723.0,62798779.0,2012
FAXTON-ST. LUKES HEALTHCARE (330044),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,2076.7,,40190246.0,80886.0,14163.0,191.0,13944901.0,221.0,948087.0,-39025.0,1.0,9337559.0,14.0,0.368959,47397462.0,,32052.0,6.3,248123632.0,NY,3884094.0,2012-12-31,124489479.0,73803.0,672496994.0,2012-01-01 00:00:00,108768606.0,137852759.0,,14108917.0,41464775.0,118127182.0,2012
FAYETTE COUNTY HOSPITAL (141346),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,164.29,,1771694.0,9150.0,804.0,21.0,2282360.0,25.0,184093.0,,2.0,3430480.0,4.0,0.340461,,,3591.0,,18871695.0,IL,1027729.0,2012-12-31,8485109.0,4289.0,55429887.0,2012-01-01 00:00:00,,3047583.0,,2984667.0,,8967790.0,2012
FAYETTE COUNTY MEMORIAL HOSP (361331),Critical Access Hospitals,Governmental-County,311.6,,2830813.0,9150.0,1028.0,19.0,1866357.0,25.0,236077.0,,2.0,6014959.0,,0.389764,,,2561.0,,38909127.0,OH,2539012.0,2012-12-31,20882045.0,5070.0,99827385.0,2012-01-01 00:00:00,,10550239.0,,2185450.0,,16752582.0,2012
FAYETTE MEDICAL CENTER (010045),General Short Term (Acute Care Hospitals),Governmental-Other,301.25,,866438.0,15372.0,1289.0,37.0,2201654.0,42.0,859978.0,,2.0,3499245.0,5.0,0.286199,4857433.0,,5106.0,,23335215.0,AL,1833229.0,2012-09-30,11885831.0,6663.0,81534990.0,2011-10-01 00:00:00,8019082.0,6882008.0,,2263242.0,4961778.0,6177039.0,2012
FAYETTE REGIONAL HEALTH SYSTEM (150064),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,445.3,,6653411.0,23790.0,1486.0,45.0,3591892.0,57.0,587137.0,,2.0,5351943.0,12.0,0.363045,5556267.0,,2381.0,,35163739.0,IN,2445296.0,2012-09-30,24095006.0,4584.0,96857800.0,2011-10-01 00:00:00,15372002.0,28576451.0,,3870086.0,5652473.0,21370352.0,2012
FEATHER RIVER HOSPITAL (050225),General Short Term (Acute Care Hospitals),Proprietary-Corporation,786.98,,14705973.0,36600.0,5419.0,88.0,13173228.0,100.0,1889932.0,-23349.0,2.0,37850741.0,12.0,0.16259,28500560.0,,12774.0,,153312144.0,CA,7992077.0,2012-12-31,67237217.0,23194.0,942938782.0,2012-01-01 00:00:00,48314919.0,95227884.0,,13509361.0,26355346.0,134774470.0,2012
FERGUS FALLS CBHH (244013),Psychiatric,Governmental-State,27.42,,,5110.0,210.0,14.0,,14.0,,,2.0,,,,,,1253.0,,4641359.0,MN,,2013-06-30,2671153.0,4518.0,22590.0,2012-07-01 00:00:00,,,,,,,2012
FERN LODGE INC (051994),Religious Non-Medical,Voluntary Nonprofit-Church,28.72,,,7686.0,18.0,21.0,,21.0,,,1.0,,,,,,446.0,,2003979.0,CA,,2012-12-31,1499992.0,6022.0,2078892.0,2012-01-01 00:00:00,,52613.0,,,,,2012
FERRELL HOSPITAL (141324),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,132.24,,1461235.0,9125.0,889.0,25.0,2329845.0,25.0,368041.0,,2.0,1715528.0,,0.44004,,,2121.0,,14530565.0,IL,818983.0,2013-03-31,7358472.0,2988.0,33020985.0,2012-04-01 00:00:00,,9133858.0,,2615240.0,,6742087.0,2012
FERRY COUNTY MEMORIAL HOSPITAL (501322),General Short Term (Critical Access Hospitals),Governmental-Hospital District,79.09,,960822.0,9150.0,80.0,25.0,1051175.0,25.0,77839.0,,1.0,603848.0,,0.773877,,,604.0,,8511779.0,WA,519497.0,2012-12-31,4423939.0,3330.0,10998881.0,2012-01-01 00:00:00,,6185727.0,,788991.0,,1286502.0,2012
FH DELAND (100045),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,778.18,,15191035.0,53436.0,8438.0,122.0,5795685.0,146.0,15011093.0,5348.0,1.0,9088868.0,24.0,0.212519,23163149.0,,12792.0,,102713442.0,FL,16895828.0,2012-12-31,46439321.0,33525.0,483314083.0,2012-01-01 00:00:00,43325211.0,47329167.0,,5938426.0,20937874.0,80809433.0,2012
FHN MEMORIAL HOSPITAL (140160),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,503.88,,5477999.0,36600.0,4621.0,92.0,7354488.0,100.0,1940444.0,8048.0,2.0,9243680.0,8.0,0.273232,16706192.0,,8246.0,,84918077.0,IL,4344387.0,2012-12-31,28585893.0,16708.0,310791358.0,2012-01-01 00:00:00,31306844.0,32319478.0,,7340448.0,15167126.0,48955094.0,2012
FIELD MEMORIAL COMMUNITY HOSPITAL (251309),General Short Term (Critical Access Hospitals),Governmental-County,109.36,,561507.0,9150.0,539.0,25.0,1205473.0,25.0,67144.0,,2.0,2533369.0,,0.53493,,,2900.0,,14816378.0,MS,1367374.0,2012-09-30,7634580.0,3744.0,27697784.0,2011-10-01 00:00:00,,1477175.0,,1105079.0,,2480671.0,2012
FILLMORE COMMUNITY HOSPITAL (461301),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,47.97,,1111112.0,7320.0,170.0,20.0,821394.0,20.0,158536.0,,2.0,504010.0,,0.864573,,,638.0,,6507008.0,UT,582818.0,2012-12-31,2970153.0,4585.0,7526266.0,2012-01-01 00:00:00,,148095.0,,683178.0,,1296652.0,2012
FILLMORE COUNTY HOSPITAL (281301),General Short Term (Critical Access Hospitals),Governmental-County,100.38,,558791.0,7300.0,225.0,20.0,3195874.0,20.0,68816.0,,2.0,341921.0,,0.744064,,,948.0,,11716946.0,NE,322325.0,2013-06-30,4525970.0,2143.0,15747229.0,2012-07-01 00:00:00,,19839164.0,,3097248.0,,,2012
FIRELANDS REGIONAL MEDICAL CENTER (360025),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,1460.24,,9680195.0,68442.0,8106.0,169.0,15121270.0,187.0,6043532.0,16328.0,1.0,6836747.0,18.0,0.330916,33376553.0,,19137.0,11.81,166639454.0,OH,8104229.0,2012-12-31,77483824.0,38496.0,503570907.0,2012-01-01 00:00:00,69509572.0,267959418.0,,15025073.0,30297919.0,42651363.0,2012
FIRST CARE HEALTH CENTER (351326),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Church,59.91,,287331.0,5124.0,189.0,14.0,1388458.0,14.0,64405.0,,2.0,290662.0,,0.825716,,,1463.0,,8626764.0,ND,304409.0,2012-12-31,3260616.0,1847.0,10447614.0,2012-01-01 00:00:00,,7513647.0,,1342999.0,,476124.0,2012
FIRST HOSPITAL (394039),Psychiatric,Proprietary-Corporation,196.12,,12582491.0,39055.0,3813.0,107.0,98.0,107.0,,,1.0,711371.0,,0.160687,,,6069.0,,14716048.0,PA,104000.0,2013-06-30,10607554.0,33487.0,91582273.0,2012-07-01 00:00:00,,1338645.0,,98.0,,46732042.0,2012
FIRST HOSPITAL HOPKINSVILLE (184014),Psychiatric,Proprietary-Corporation,116.32,,,35502.0,1573.0,97.0,,97.0,,,1.0,,,,,,1432.0,,9186467.0,KY,,2012-12-31,4791763.0,23694.0,28694050.0,2012-01-01 00:00:00,,35278208.0,,,,,2012
FIRST HOSPITAL PANAMERICANO (404004),Psychiatric,Proprietary-Corporation,,,,76285.0,7756.0,209.0,43979.0,209.0,,,1.0,,,,,,3764.0,,27959068.0,PR,,2012-12-31,12685056.0,55369.0,69934123.0,2012-01-01 00:00:00,,55021732.0,,43979.0,,,2012
FIRST LIGHT HEALTH SYSTEM (241367),Critical Access Hospitals,Governmental-County,284.15,,6747193.0,9150.0,893.0,21.0,5865664.0,25.0,450591.0,,2.0,1963035.0,4.0,0.55599,,,1307.0,,38815903.0,MN,1528263.0,2012-12-31,16982306.0,2895.0,69814026.0,2012-01-01 00:00:00,,19838728.0,,5575622.0,,14993762.0,2012
FIRST STREET HOSPITAL (670029),General Short Term (Acute Care Hospitals),Proprietary-Partnership,98.0,,,6954.0,446.0,19.0,1050103.0,19.0,,-149.0,1.0,,,,872817.0,,151.0,,27670905.0,TX,,2012-12-31,7330403.0,772.0,110227627.0,2012-01-01 00:00:00,7381594.0,26385567.0,,1050096.0,780483.0,,2012
FIRSTHEALTH MONTGOMERY MEMORIAL CAH (341303),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,113.05,,1794812.0,8052.0,287.0,22.0,1363871.0,22.0,1090887.0,,2.0,2792577.0,,0.383483,,,1219.0,,11832540.0,NC,1863884.0,2012-09-30,6142172.0,1572.0,30855429.0,2011-10-01 00:00:00,,12098858.0,,1998417.0,,5469063.0,2012
FIRSTHEALTH MOORE REGIONAL HOSPITAL (340115),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,2890.27,,25667993.0,154086.0,19945.0,309.0,37035765.0,421.0,8978474.0,,2.0,32911414.0,,0.315672,108241363.0,,53686.0,,339722733.0,NC,18297199.0,2012-09-30,153410478.0,98974.0,1076189775.0,2011-10-01 00:00:00,121463036.0,316493975.0,,39358952.0,101310246.0,127683199.0,2012
FISHER COUNTY HOSPITAL DISTRICT (451313),General Short Term (Critical Access Hospitals),Proprietary-Corporation,71.94,,209114.0,4026.0,70.0,11.0,1064738.0,11.0,304684.0,,1.0,293295.0,,1.122607,,,545.0,,6839704.0,TX,592690.0,2012-12-31,3420699.0,593.0,6092697.0,2012-01-01 00:00:00,,1002096.0,,907080.0,,406263.0,2012
FISHER-TITUS MEDICAL CENTER (360065),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,704.01,,5898325.0,28548.0,3724.0,68.0,7237914.0,78.0,2177474.0,5396.0,2.0,5642884.0,10.0,0.434292,10982360.0,,5452.0,,93027706.0,OH,4521919.0,2012-12-31,43936851.0,13381.0,214205630.0,2012-01-01 00:00:00,37549684.0,71769684.0,,7142753.0,9488177.0,26807802.0,2012
FISHERMENS HOSPITAL (101312),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,156.5,,753282.0,9125.0,629.0,19.0,1355853.0,25.0,147604.0,,2.0,5916124.0,6.0,0.286262,,,1021.0,,18291439.0,FL,1640305.0,2013-06-30,10710344.0,1821.0,63897569.0,2012-07-01 00:00:00,,12772209.0,,1763612.0,,3599550.0,2012
FIVE RIVERS MEDICAL CENTER (040047),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,99.18,,806763.0,10980.0,654.0,30.0,1506597.0,30.0,752238.0,,2.0,1143332.0,,0.523331,1864872.0,,1415.0,,15084651.0,AR,1313142.0,2012-12-31,8123385.0,2216.0,28824281.0,2012-01-01 00:00:00,5489927.0,11957120.0,,1297265.0,2053669.0,2482022.0,2012
FLA HOSPT. WAUCHULA CRITICAL ACCESS (101300),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Church,104.23,,2314330.0,9150.0,320.0,25.0,9154.0,25.0,689023.0,,2.0,1842039.0,,0.229182,,,7197.0,,18514339.0,FL,1012224.0,2012-12-31,6414442.0,8072.0,80784576.0,2012-01-01 00:00:00,,2449012.0,,154250.0,,15852847.0,2012
FLAGLER HOSPITAL (100090),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,1517.36,,10568678.0,122610.0,13294.0,281.0,13681320.0,335.0,5388948.0,,2.0,30031388.0,47.0,0.216509,63820390.0,0.894,35415.0,,182192703.0,FL,11596365.0,2012-09-30,71990157.0,66230.0,841503376.0,2011-10-01 00:00:00,72153720.0,144349239.0,,13741507.0,60527044.0,75230292.0,2012
FLAGSTAFF MEDICAL CENTER (030023),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,1608.99,,36764645.0,89425.0,13081.0,182.0,7271259.0,245.0,2291019.0,-37221.0,1.0,68368993.0,45.0,0.326336,79859425.0,,16830.0,,288903142.0,AZ,24602283.0,2013-06-30,110252188.0,56356.0,885294056.0,2012-07-01 00:00:00,102086804.0,198732940.0,,7264808.0,77049564.0,206603860.0,2012
FLAMBEAU HOSPITAL MCHS (521325),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,141.99,,1915057.0,8784.0,586.0,20.0,1667287.0,24.0,105850.0,,2.0,566450.0,4.0,0.57159,,,1186.0,,16993810.0,WI,293781.0,2012-09-30,8037711.0,2036.0,29730761.0,2011-10-01 00:00:00,,7242705.0,,1632168.0,,4420907.0,2012
FLEMING COUNTY HOSPITAL (180053),General Short Term (Acute Care Hospitals),Governmental-County,198.31,,2389690.0,18980.0,1325.0,49.0,1710836.0,52.0,34922.0,7921.0,2.0,1896306.0,3.0,0.392539,3616329.0,0.899,3265.0,,20024173.0,KY,761193.0,2013-06-30,8902730.0,5444.0,51011937.0,2012-07-01 00:00:00,7793414.0,33590770.0,,1670867.0,3596766.0,7677758.0,2012
FLETCHER ALLEN HEALTH CARE (470003),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,6085.32,,67382732.0,151443.0,21353.0,336.0,56863483.0,402.0,6589215.0,,1.0,21271751.0,21.0,0.44651,137594168.0,,43966.0,265.39,662936875.0,VT,15863193.0,2012-09-30,439167158.0,106003.0,1484708050.0,2011-10-01 00:00:00,315432961.0,588744856.0,,56913666.0,127055189.0,192961583.0,2012
FLINT RIVER COMMUNITY HOSPITAL (110190),General Short Term (Acute Care Hospitals),Proprietary-Other,102.07,,1267210.0,13542.0,468.0,37.0,639120.0,37.0,119246.0,,1.0,1466422.0,,0.328296,1249543.0,,1212.0,,8932279.0,GA,541991.0,2012-12-31,4651594.0,2573.0,27208023.0,2012-01-01 00:00:00,3829455.0,2426554.0,,720946.0,1551002.0,4792850.0,2012
FLORALA COMMUNITY HOSPITAL (010066),General Short Term (Acute Care Hospitals),Proprietary-Corporation,35.11,,387353.0,8030.0,99.0,22.0,278789.0,22.0,,,2.0,505852.0,,0.813866,276153.0,,229.0,,3777173.0,AL,404473.0,2013-06-30,1688726.0,316.0,4641023.0,2012-07-01 00:00:00,1580500.0,600618.0,,224084.0,284583.0,699194.0,2012
FLORENCE COMM. HEALTHCARE (031316),General Short Term,Proprietary-Corporation,100.92,,,4200.0,244.0,25.0,368783.0,25.0,,,2.0,,,0.473082,,,315.0,,7060373.0,AZ,,2012-06-18,2541827.0,517.0,14924193.0,2012-01-01 00:00:00,,14121050.0,,690655.0,,,2012
FLORENCE HOSPITAL AT ANTHEM (030132),General Short Term (Acute Care Hospitals),Proprietary-Corporation,223.31,,1835033.0,10764.0,657.0,34.0,322028.0,36.0,5583.0,,1.0,5702073.0,2.0,0.412419,1223660.0,,434.0,,22101163.0,AZ,2357226.0,2012-12-31,11415287.0,1947.0,53589061.0,2012-03-08 00:00:00,9924748.0,25833201.0,,322001.0,685867.0,13990237.0,2012
FLORIDA HOSPITAL (100007),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,15053.94,,249334032.0,793854.0,127314.0,1764.0,68207857.0,2169.0,123012359.0,-30313.0,1.0,88097981.0,317.0,0.186864,427812364.0,,201405.0,122.07,1895290048.0,FL,138794531.0,2012-12-31,899359422.0,604433.0,10142610266.0,2012-01-01 00:00:00,822610838.0,1242720882.0,,67541221.0,379296936.0,1620123618.0,2012
