Hospital,Hospital type,Control type,NUMBER OF BEDS: Adults & Pediatrics,REIMBURSEMENT SETTLEMENT: Interim payments,HVBP payment adjustment amount,BED DAYS: Total Hospital,REIMBURSEMENT SETTLEMENT: Subtotal,Total Days Title XVIII,"ADJUSTED SALARIES, Subtotal Salaries",REIMBURSEMENT SETTLEMENT: Payment to cost ratio,"Donations, Land Improvements",Total cost of charity care,Total Salaries,Total Bad Debt expense,Total Charges,Cost To Charge Ratio,Net Revenue from Medicaid,Total Liabilities,Medicaid charges,Total Costs,Total discharges,IPPS Payment amount (unadjusted),State,Number of Interns & Residents,Total Days,NUMBER OF BEDS: Total Hospital,Cost of Uncompensated Care,Fiscal Year Begin Date,NUMBER OF BEDS: ICU,FTE Employees on Payroll,Urban (1) and Rural (2) Indicator,HAC reduction adjustment amount,IPPS Interim payment,Fiscal Year End Date,FFY
CHILDRENS MEDICAL CENTER OF PLANO (453316),Childrens,Voluntary Nonprofit-Other,60.0,22480.0,,26280.0,25677.0,,,,,7355523.0,77982598.0,,703447177.0,0.318795,,361768446.0,,224255264.0,4195.0,,TX,683.0,17167.0,72.0,7355523.0,2022-01-01 00:00:00,12.0,,1.0,,,2022-12-31,2022
CHILDRENS SPECIALIZED HOSPITAL (313300),Childrens,Voluntary Nonprofit-Other,68.0,15547.0,,24820.0,35618.0,29.0,88938070.0,,,,101173351.0,,266130131.0,,,106915316.0,,166633209.0,525.0,,NJ,1089.98,19973.0,68.0,,2022-01-01 00:00:00,,5.97,1.0,,,2022-12-31,2022
CHILDRESS REGIONAL MEDICAL CENTER (450369),General Short Term (Acute Care Hospitals),Governmental-Hospital District,37.0,2603880.0,,13505.0,2624748.0,881.0,14747322.0,,,2091159.0,18868354.0,2509810.0,77991019.0,0.425616,1287011.0,9826930.0,4073821.0,33194228.0,415.0,2227217.0,TX,169.0,2215.0,37.0,3149752.0,2021-10-01 00:00:00,,,2.0,,2331659.0,2022-09-30,2022
CHILTON HOSPITAL (310017),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,150.0,18901483.0,,79570.0,19141321.0,18749.0,89575153.0,,,2667098.0,103156138.0,4224523.0,1478718605.0,0.153219,18080319.0,61640890.0,170874622.0,226567055.0,7987.0,48127651.0,NJ,965.0,38013.0,218.0,3395650.0,2022-01-01 00:00:00,44.0,,1.0,,43644208.0,2022-12-31,2022
CHINESE HOSPITAL (050407),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,74.0,5853316.0,,29200.0,5536408.0,2398.0,45301509.0,,,32889.0,45378599.0,1852727.0,261660999.0,0.300768,15755812.0,171664258.0,31579661.0,78699168.0,1210.0,8418971.0,CA,367.93,12524.0,80.0,643847.0,2022-01-01 00:00:00,6.0,,1.0,56514.0,7852055.0,2022-12-31,2022
CHINLE COMPREHENSIVE CARE FACILITY (030084),General Short Term (Acute Care Hospitals),Governmental- Federal,60.0,8529279.0,,21900.0,15598582.0,1935.0,56730303.0,,,,87175632.0,,1446490.0,,,,,137008727.0,1744.0,4709729.0,AZ,1204.0,6080.0,60.0,,2021-10-01 00:00:00,,,2.0,,5137592.0,2022-09-30,2022
CHINO VALLEY MEDICAL CENTER (050586),General Short Term (Acute Care Hospitals),Proprietary-Corporation,98.0,926416.0,,40880.0,938801.0,3772.0,28962092.0,,,64006.0,31175829.0,12867736.0,364831561.0,0.203733,19023445.0,16698448.0,149835308.0,74328142.0,3937.0,15290008.0,CA,469.77,17051.0,112.0,2719723.0,2022-01-01 00:00:00,14.0,22.65,1.0,,14070338.0,2022-12-31,2022
CHIPPEWA COUNTY-MONTEVIDEO HOSPITAL (241325),General Short Term (Critical Access Hospitals),Governmental-City-County,25.0,5816703.0,,9125.0,6665172.0,671.0,,,,382848.0,21979532.0,1087675.0,94194740.0,0.474661,8443044.0,55653247.0,23762589.0,44710572.0,719.0,,MN,239.45,1995.0,25.0,895488.0,2022-01-01 00:00:00,,,2.0,,,2022-12-31,2022
CHOCTAW GENERAL HOSPITAL (011304),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,25.0,2235556.0,,9125.0,1869182.0,1144.0,,,,731771.0,6059838.0,1153021.0,31362432.0,0.572018,366039.0,16094976.0,3151182.0,17939874.0,85.0,,AL,84.82,1965.0,25.0,1364506.0,2022-01-01 00:00:00,,,2.0,,,2022-12-31,2022
CHOCTAW HEALTH CENTER (250127),General Short Term (Acute Care Hospitals),Governmental- Federal,20.0,1016502.0,,7300.0,769853.0,198.0,10609885.0,,,,20812042.0,,575207.0,,,,,24448829.0,164.0,351122.0,MS,420.0,775.0,20.0,,2021-10-01 00:00:00,,,2.0,,393980.0,2022-09-30,2022
CHOCTAW NATION HEALTH CARE CENTER (370172),General Short Term (Acute Care Hospitals),Governmental- Federal,44.0,19691230.0,,15695.0,14167603.0,740.0,56982248.0,,,,123122156.0,,4892078.0,,,,,112385319.0,1039.0,2067675.0,OK,1772.0,2674.0,44.0,,2021-10-01 00:00:00,,,1.0,,2304881.0,2022-09-30,2022
CHOCTAW REGIONAL MEDICAL CENTER (251334),General Short Term (Critical Access Hospitals),Governmental-County,15.0,2513820.0,,5475.0,2727558.0,1572.0,,,,5169.0,12001149.0,1085277.0,32609838.0,0.677769,1082632.0,2593500.0,2220491.0,22101926.0,101.0,,MS,141.53,1959.0,15.0,735248.0,2021-10-01 00:00:00,,,2.0,,,2022-09-30,2022
CHOWAN HOSPITAL INC. (341318),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,21.0,4760568.0,,9125.0,4960400.0,2460.0,,,,2572053.0,17631463.0,7193370.0,136235210.0,0.380879,9334744.0,22381606.0,22313470.0,51889187.0,1408.0,,NC,259.75,6226.0,25.0,5301296.0,2021-10-01 00:00:00,4.0,,2.0,,,2022-09-30,2022
CHRIST HOSPITAL (310016),General Short Term (Acute Care Hospitals),Proprietary-Partnership,145.0,3561895.0,,59495.0,3812916.0,6054.0,56148288.0,,,9410973.0,57453991.0,36251675.0,3291426492.0,0.041931,21714722.0,126164000.0,1038883560.0,138012638.0,5097.0,18851155.0,NJ,727.0,34230.0,163.0,11012682.0,2022-01-01 00:00:00,18.0,17.16,1.0,,15933293.0,2022-12-31,2022
CHRISTIAN HOSPITAL NORTHEAST (260180),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,241.0,10559041.0,,97455.0,10401297.0,18307.0,97901110.0,,,24678743.0,103988341.0,27347426.0,1401112216.0,0.246314,57671915.0,30453855.0,273547273.0,345113079.0,11972.0,48494094.0,MO,1310.8,73736.0,267.0,31559612.0,2022-01-01 00:00:00,26.0,3.71,1.0,,42082790.0,2022-12-31,2022
CHRISTUS TRINITY MOTHER FRANCES REHA (453056),Rehabilitation,Proprietary-Partnership,94.0,,,34310.0,,15411.0,14075674.0,,,,14410534.0,,54267055.0,,,12490094.0,,25600719.0,2118.0,,TX,210.75,24865.0,94.0,,2022-01-01 00:00:00,,,1.0,,,2022-12-31,2022
CHWC-MONTPELIER (361327),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,25.0,1373582.0,,9125.0,921217.0,1031.0,,,,219564.0,6448659.0,521714.0,21553811.0,0.594221,680428.0,52418641.0,2426284.0,12807728.0,4.0,,OH,87.48,2133.0,25.0,511541.0,2021-10-01 00:00:00,,,2.0,,,2022-09-30,2022
CIMARRON MEMORIAL HOSPITAL (371307),General Short Term (Critical Access Hospitals),Governmental-County,25.0,494924.0,,9125.0,225631.0,758.0,,,,3348.0,2093609.0,,5450711.0,0.737933,387426.0,277497.0,605353.0,4022258.0,146.0,,OK,38.2,775.0,25.0,3348.0,2022-01-01 00:00:00,,,2.0,,,2022-12-31,2022
CITIZENS BAPTIST MEDICAL CENTER (010101),General Short Term (Acute Care Hospitals),Proprietary-Corporation,97.0,916022.0,,37595.0,849873.0,1221.0,12311888.0,,,3106332.0,11737662.0,2103340.0,317674184.0,0.085088,1924823.0,5530093.0,59328276.0,27030269.0,1525.0,3619784.0,AL,145.4,8349.0,103.0,3344339.0,2022-01-01 00:00:00,6.0,,1.0,,3209698.0,2022-12-31,2022
CITIZENS MEDICAL CENTER (171362),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,22.0,4835304.0,,8395.0,4728876.0,2713.0,,,,749662.0,26241759.0,1650093.0,103235706.0,0.477385,2188889.0,10680169.0,7367412.0,49283164.0,506.0,,KS,246.13,3802.0,23.0,1469635.0,2022-01-01 00:00:00,1.0,,2.0,,,2022-12-31,2022
CITIZENS MEDICAL CENTER (190184),General Short Term (Acute Care Hospitals),Governmental-Hospital District,40.0,797865.0,,14600.0,805130.0,787.0,5574272.0,,,1927.0,8510743.0,810788.0,29499778.0,0.51853,5475749.0,1640058.0,10023474.0,15296517.0,386.0,1801457.0,LA,105.18,1600.0,40.0,419762.0,2022-04-01 00:00:00,,,2.0,,1581449.0,2023-03-31,2022
CITRUS MEMORIAL HOSPITAL (100023),General Short Term (Acute Care Hospitals),Proprietary-Corporation,159.0,11207594.0,,74460.0,11431014.0,15841.0,48079082.0,,,8367382.0,51602151.0,9798959.0,2547875926.0,0.060064,6668975.0,173038103.0,254159405.0,153036276.0,9864.0,58306116.0,FL,730.21,44832.0,204.0,9215734.0,2021-11-01 00:00:00,45.0,57.34,1.0,473119.0,50598344.0,2022-10-31,2022
CITY HOSPITAL INC. (510008),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,135.0,21234697.0,,59495.0,21283422.0,14178.0,64688241.0,,,4746953.0,69950091.0,15466013.0,784883220.0,0.315051,30363354.0,74867504.0,165071386.0,247278398.0,7963.0,28569590.0,WV,889.82,46002.0,163.0,9653576.0,2022-01-01 00:00:00,28.0,3.59,1.0,209288.0,25200315.0,2022-12-31,2022
CITY OF HOPE NATIONAL MEDICAL CENTER (050146),Cancer (Acute Care Hospitals),Voluntary Nonprofit-Other,199.0,235134988.0,,83319.0,268341231.0,23894.0,,0.89,,,539453174.0,,6175662148.0,,,2841114417.0,,1460581317.0,7535.0,,CA,4531.16,75111.0,217.0,,2021-10-01 00:00:00,18.0,29.1,1.0,,,2022-09-30,2022
CLAIBORNE COUNTY HOSPITAL (251320),General Short Term (Critical Access Hospitals),Governmental-County,22.0,311132.0,,8030.0,592533.0,1792.0,,,,,4708201.0,249171.0,26187699.0,0.433932,669948.0,,3489912.0,11363678.0,165.0,,MS,87.43,2224.0,22.0,87210.0,2022-01-01 00:00:00,,,2.0,,,2022-12-31,2022
CLARA BARTON HOSPITAL ASSOCIATION (171333),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,18.0,4924410.0,,6570.0,4656491.0,2566.0,,,,635715.0,17172519.0,2036463.0,63453546.0,0.53425,811473.0,21260443.0,3925774.0,33900048.0,524.0,,KS,183.61,3513.0,18.0,1661231.0,2022-01-01 00:00:00,,,2.0,,,2022-12-31,2022
CLARA MAASS MEDICAL CENTER (310009),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,235.0,12855192.0,,94535.0,13141453.0,16743.0,111462075.0,,,27330492.0,126499392.0,23096322.0,1693475190.0,0.194111,68018276.0,215834308.0,486098888.0,328722343.0,14818.0,41274251.0,NJ,1292.89,71497.0,259.0,32019310.0,2022-01-01 00:00:00,24.0,,1.0,,36698012.0,2022-12-31,2022
CLAREMORE INDIAN HOSPITAL (370173),General Short Term (Acute Care Hospitals),Governmental- Federal,46.0,4446121.0,,16790.0,5012667.0,416.0,28879965.0,,,,41796717.0,,1103844.0,,,,,61676316.0,698.0,1411672.0,OK,540.0,2210.0,46.0,,2021-10-01 00:00:00,,,2.0,,1559167.0,2022-09-30,2022
CLARK FORK VALLEY HOSPITAL (271323),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,16.0,2521359.0,,5840.0,2651200.0,938.0,,,,560812.0,14551874.0,581562.0,41406523.0,0.667658,4750158.0,12930759.0,7448457.0,27645412.0,454.0,,MT,146.73,1896.0,16.0,904432.0,2022-01-01 00:00:00,,,2.0,,,2022-12-31,2022
CLAXTON HEPBURN MEDICAL CENTER (330211),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,29.0,11092557.0,,13870.0,11071685.0,3155.0,38806931.0,,,403227.0,44067155.0,1428074.0,259234847.0,0.433474,14760385.0,63161686.0,54452551.0,112371547.0,1743.0,5972519.0,NY,590.49,9638.0,38.0,1004665.0,2022-01-01 00:00:00,9.0,,2.0,50478.0,6217873.0,2022-12-31,2022
CLAY COUNTY HOSPITAL (010073),General Short Term (Acute Care Hospitals),Governmental-County,42.0,667653.0,,16790.0,646311.0,1367.0,8008138.0,,,169566.0,10827781.0,1893159.0,37843652.0,0.530854,1437950.0,1996359.0,4283548.0,20089461.0,873.0,2173005.0,AL,163.54,4341.0,46.0,1153713.0,2021-10-01 00:00:00,4.0,,2.0,26348.0,2253964.0,2022-09-30,2022
CLAY COUNTY HOSPITAL (141351),General Short Term (Critical Access Hospitals),Governmental-County,20.0,2646301.0,,7300.0,2335229.0,1575.0,,,,1382783.0,15025065.0,2073867.0,93603906.0,0.361461,3505963.0,11835965.0,14440573.0,33834169.0,381.0,,IL,177.27,2086.0,20.0,2120665.0,2022-03-01 00:00:00,,,2.0,,,2023-02-28,2022
CLAY COUNTY MEDICAL CENTER (171371),General Short Term (Critical Access Hospitals),Governmental-County,20.0,5167993.0,,7300.0,5125047.0,2005.0,,,,331222.0,15258931.0,994611.0,51849050.0,0.602535,701103.0,19056068.0,3288625.0,31240855.0,542.0,,KS,142.19,2875.0,20.0,832212.0,2022-01-01 00:00:00,,,2.0,,,2022-12-31,2022
CLAY COUNTY MEDICAL CORPORATION (250067),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,43.0,5094744.0,,17885.0,5141912.0,3066.0,14423040.0,,,1925058.0,20159781.0,5540392.0,190526990.0,0.212549,5317408.0,21845654.0,32943402.0,40496403.0,923.0,3473446.0,MS,238.43,5860.0,49.0,3110575.0,2021-10-01 00:00:00,6.0,,2.0,41624.0,3420821.0,2022-09-30,2022
CLAY COUNTY MEMORIAL HOSPITAL (451362),General Short Term (Critical Access Hospitals),Governmental-County,23.0,1274005.0,,8395.0,1012017.0,383.0,,,,1156073.0,5210075.0,938545.0,20566448.0,0.485391,225296.0,-2815906.0,901184.0,9982762.0,176.0,,TX,95.0,695.0,23.0,1611634.0,2021-10-01 00:00:00,,,2.0,,,2022-09-30,2022
CLEAR LAKE REG MED CTR (450617),General Short Term (Acute Care Hospitals),Proprietary-Corporation,432.0,12168309.0,,189070.0,12323382.0,27235.0,164612313.0,,,37455689.0,160078562.0,47645044.0,5978532186.0,0.077067,76070757.0,-1371570085.0,805910474.0,460748549.0,28076.0,78438538.0,TX,1886.21,140063.0,518.0,41917978.0,2022-01-01 00:00:00,86.0,,1.0,,68373717.0,2022-12-31,2022
CLEARSKY REHAB HOSPITAL OF RIO RANCH (323033),Rehabilitation,Proprietary-Partnership,36.0,,,13140.0,,4777.0,,,,,4920929.0,,19082153.0,,,36969249.0,,13269934.0,698.0,,NM,72.0,8680.0,36.0,,2022-01-01 00:00:00,,,1.0,,,2022-12-31,2022
CLEARSKY REHAB HOSPITAL ROSEPINE (193050),Rehabilitation,Proprietary-Partnership,20.0,,,7300.0,,2969.0,,,,,2934137.0,,8995865.0,,,23746554.0,,5887325.0,283.0,,LA,46.3,3809.0,20.0,,2022-04-01 00:00:00,,,2.0,,,2023-03-31,2022
CLEARVISTA HEALTH & WELNESS (364052),Psychiatric,Proprietary-Partnership,52.0,,,18980.0,,1235.0,,,,,3439010.0,,72340989.0,,,2330589.0,,9199128.0,1441.0,,OH,55.66,12425.0,52.0,,2022-04-01 00:00:00,,,1.0,,,2023-03-31,2022
CLEARWATER VALLEY HEALTH (131320),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Church,23.0,5442623.0,,8395.0,5645040.0,1439.0,,,,49911.0,12909534.0,882404.0,33409884.0,0.674607,2762747.0,6278371.0,5713653.0,22538538.0,541.0,,ID,141.03,2166.0,23.0,607481.0,2022-01-01 00:00:00,,,2.0,,,2022-12-31,2022
CLERMONT MERCY HOSPITAL (360236),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,131.0,7696518.0,,53655.0,7502933.0,6425.0,47750180.0,,,2103430.0,48790138.0,18710110.0,748915489.0,0.180213,23161661.0,26123039.0,172634860.0,134964545.0,7119.0,17369264.0,OH,554.07,29752.0,147.0,5650606.0,2022-01-01 00:00:00,16.0,,1.0,,15273496.0,2022-12-31,2022
CLEVELAND AREA HOSPITAL (371320),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,14.0,964994.0,,5110.0,873750.0,1771.0,,,,329062.0,10974323.0,1493835.0,37691562.0,0.538552,3791960.0,5328839.0,12933675.0,20298880.0,40.0,,OK,147.87,2081.0,14.0,1112395.0,2022-01-01 00:00:00,,,2.0,,,2022-12-31,2022
CLEVELAND CLINIC (363304),Rehabilitation (Childrens),Voluntary Nonprofit-Other,,,,,,,,,,,,,,,,,,,,,OH,,,,,2022-01-01 00:00:00,,,,,,2022-12-31,2022
CLEVELAND CLINIC AVON HOSPITAL (360364),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,114.0,11939736.0,,45990.0,11994070.0,9296.0,51645542.0,,,3196677.0,52334575.0,6356661.0,658525991.0,0.210731,10971967.0,13999738.0,76820803.0,138771865.0,6996.0,20839324.0,OH,661.38,27901.0,126.0,4577679.0,2022-01-01 00:00:00,12.0,,1.0,151980.0,17987661.0,2022-12-31,2022
CLEVELAND CLINIC HOSPITAL (360180),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,1008.0,284970854.0,,483990.0,289811758.0,82531.0,1387641761.0,,,44837679.0,3114335709.0,71005571.0,13823317021.0,0.243838,411626305.0,5592285360.0,1772593950.0,3370651402.0,50013.0,414682360.0,OH,27097.0,367453.0,1326.0,62473695.0,2022-01-01 00:00:00,64.0,914.0,2.0,,383417298.0,2022-12-31,2022
CLEVELAND EMERGENCY HOSPITAL (670115),General Short Term (Acute Care Hospitals),Proprietary-Corporation,16.0,2200875.0,,5840.0,2228480.0,109.0,21236531.0,,,,21236531.0,,991811859.0,0.052636,10109517.0,56745744.0,437182947.0,52204963.0,336.0,813996.0,TX,352.0,861.0,16.0,,2022-01-01 00:00:00,,,1.0,7484.0,749088.0,2022-12-31,2022
CLIFTON SPRINGS HOSPITAL AND CLINIC (330265),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,71.0,5346228.0,,28105.0,5416033.0,2584.0,25218241.0,,,1599869.0,44919105.0,886659.0,246601825.0,0.379108,28383706.0,24809720.0,71927692.0,93488733.0,2108.0,4644513.0,NY,458.18,15086.0,77.0,1926399.0,2022-01-01 00:00:00,6.0,,1.0,,4027663.0,2022-12-31,2022
CLIFTON-FINE HOSPITAL (331307),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,20.0,1234404.0,,7300.0,1132455.0,811.0,,,,7269.0,4966626.0,213457.0,8102596.0,1.225988,2191775.0,3209562.0,2522630.0,9933687.0,48.0,,NY,85.92,4667.0,20.0,268965.0,2022-01-01 00:00:00,,,2.0,,,2022-12-31,2022
CLINCH VALLEY MEDICAL CENTER (490060),General Short Term (Acute Care Hospitals),Proprietary-Corporation,139.0,9174931.0,,55115.0,9022424.0,3299.0,25732302.0,,,437363.0,39195279.0,5703021.0,662725385.0,0.111468,13003066.0,-31271094.0,154719289.0,73872863.0,2654.0,7619655.0,VA,527.24,11667.0,151.0,1188030.0,2021-12-01 00:00:00,12.0,,2.0,,7290258.0,2022-11-30,2022
CLINTON MEMORIAL HOSPITAL (360175),General Short Term (Acute Care Hospitals),Proprietary-Corporation,69.0,6790992.0,,27375.0,6757071.0,1549.0,26636229.0,,,677722.0,34201424.0,5522283.0,251806724.0,0.287646,9197251.0,42814610.0,49789022.0,72431307.0,2385.0,5659045.0,OH,411.33,7394.0,75.0,2285577.0,2022-01-01 00:00:00,6.0,,2.0,,5544115.0,2022-12-31,2022
CLIVE BEHAVORIAL HEALTH LLC (164007),Psychiatric,Proprietary-Corporation,100.0,,,36500.0,,824.0,,,,,8883608.0,,43399200.0,,,45259457.0,,14454944.0,2189.0,,IA,231.66,14061.0,100.0,,2022-04-01 00:00:00,,,1.0,,,2023-03-31,2022
CLOUD COUNTY HEALTH CENTER (171349),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,22.0,3708345.0,,8030.0,3112163.0,1307.0,,,,246449.0,10912107.0,615000.0,34803204.0,0.56992,559570.0,31680548.0,2371058.0,19835059.0,178.0,,KS,108.8,1610.0,22.0,587703.0,2021-10-01 00:00:00,,,2.0,,,2022-09-30,2022
CMH OF SAN BUENAVENTURA (050394),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,188.0,33546663.0,,83585.0,33636537.0,12301.0,176393661.0,,,541402.0,213364653.0,1612832.0,1704553760.0,0.276721,86538553.0,495265734.0,297466302.0,471686026.0,15270.0,67186585.0,CA,1998.0,56895.0,229.0,1080316.0,2022-01-01 00:00:00,24.0,90.0,1.0,,62701395.0,2022-12-31,2022
COALINGA REGIONAL MEDICAL CENTER (051338),General Short Term,Governmental-Hospital District,22.0,,,8030.0,,122.0,,,,,12059398.0,90878.0,73769329.0,0.496364,4227232.0,57361013.0,30629244.0,36616447.0,628.0,,CA,98.78,2365.0,22.0,31808.0,2022-01-01 00:00:00,,,2.0,,,2022-12-31,2022
COAST PLAZA HOSPITAL (050771),General Short Term (Acute Care Hospitals),Proprietary-Corporation,110.0,800790.0,,42705.0,754982.0,2944.0,20123987.0,,,402558.0,20631124.0,4418776.0,240537079.0,0.187872,5837637.0,110844317.0,96972681.0,45190176.0,2024.0,9531312.0,CA,218.33,10169.0,117.0,1305765.0,2022-01-01 00:00:00,7.0,,1.0,,8886499.0,2022-12-31,2022
COASTAL CAROLINA MEDICAL CENTER (420101),General Short Term (Acute Care Hospitals),Proprietary-Corporation,37.0,8824362.0,,14965.0,8817962.0,2404.0,22303018.0,,,2974073.0,21923196.0,20962844.0,733234435.0,0.081838,6870963.0,28081576.0,88548619.0,60006803.0,3351.0,8488930.0,SC,226.7,9815.0,41.0,4753032.0,2022-01-01 00:00:00,4.0,,1.0,64143.0,7539329.0,2022-12-31,2022
COASTAL HARBOR TREATMENT CENTER (114008),Psychiatric,Proprietary-Corporation,74.0,27191.0,,27010.0,27533.0,1264.0,,,,,15464454.0,,75790020.0,,,-8986687.0,,23801347.0,2518.0,,GA,108.47,18467.0,74.0,,2022-01-01 00:00:00,,,1.0,,,2022-12-31,2022
COBALT REHAB HOSP WESTMINSTER (063037),Rehabilitation,Proprietary-Corporation,40.0,,,3400.0,,134.0,,,,,974985.0,,1716579.0,,,6254531.0,,1604587.0,41.0,,CO,22.8,569.0,40.0,,2021-10-08 00:00:00,,,1.0,,,2021-12-31,2022
COBALT REHAB HOSPITAL EL PASO (673075),Rehabilitation,Proprietary-Corporation,40.0,,,14600.0,,3516.0,,,,,6163690.0,,25430598.0,,,42839320.0,,15266525.0,647.0,,TX,88.7,8557.0,40.0,,2022-01-01 00:00:00,,,1.0,,,2022-12-31,2022
COBALT REHABILITATION HOSPITAL (033039),Rehabilitation,Proprietary-Corporation,40.0,,,14600.0,,4235.0,,,,,5036352.0,,31263137.0,,,27505970.0,,13033885.0,659.0,,AZ,65.96,8709.0,40.0,,2022-01-01 00:00:00,,,1.0,,,2022-12-31,2022
COBRE VALLEY REG. MEDICAL CENTER (031314),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,21.0,2667741.0,,9125.0,2984249.0,2000.0,,,,130901.0,30272019.0,3680126.0,204291285.0,0.380088,21673139.0,64433749.0,64453976.0,77648615.0,1707.0,,AZ,278.4,6626.0,25.0,1528961.0,2022-01-01 00:00:00,4.0,,2.0,,,2022-12-31,2022
COCHRAN MEMORIAL HOSPITAL (451366),General Short Term (Critical Access Hospitals),Governmental-Hospital District,18.0,123922.0,,6570.0,1005534.0,2.0,,,,,2227205.0,1314.0,954870.0,3.911397,110043.0,1056109.0,117235.0,3734876.0,11.0,,TX,39.5,24.0,18.0,5140.0,2021-10-01 00:00:00,,,2.0,,,2022-09-30,2022
COFFEE REGIONAL MEDICAL CENTER (110089),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,72.0,7417698.0,,29930.0,7310140.0,3366.0,43413509.0,,,6482364.0,69006922.0,17883367.0,488517024.0,0.210169,13098754.0,89460302.0,70959252.0,102671268.0,4283.0,9330447.0,GA,848.02,16477.0,82.0,10305847.0,2022-01-01 00:00:00,10.0,,2.0,,7689078.0,2022-12-31,2022
COFFEY COUNTY HOSPITAL (171385),General Short Term,Governmental-County,25.0,2069370.0,,9125.0,2500277.0,1206.0,,,,3127.0,15222048.0,1664204.0,37172858.0,0.712585,2325480.0,4500120.0,4242110.0,26488839.0,283.0,,KS,165.29,1729.0,25.0,1118424.0,2022-01-01 00:00:00,,,2.0,,,2022-12-31,2022
COFFEYVILLE REG MEDICAL CENTER  INC. (170145),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,40.0,5230056.0,,17155.0,5200486.0,1430.0,14939658.0,,,959437.0,22364534.0,3355564.0,113508468.0,0.393849,1965538.0,8437454.0,15800090.0,44705175.0,954.0,3537350.0,KS,261.48,3817.0,47.0,2265058.0,2022-01-01 00:00:00,7.0,,2.0,33460.0,3670586.0,2022-12-31,2022
COLEMAN COUNTY MEDICAL CENTER (451347),General Short Term (Critical Access Hospitals),Proprietary-Corporation,25.0,1175476.0,,9125.0,1134284.0,2049.0,,,,1306205.0,5588629.0,694780.0,19892324.0,0.609419,1177976.0,3964544.0,2485352.0,12122755.0,268.0,,TX,93.13,2334.0,25.0,1668600.0,2021-10-01 00:00:00,,,2.0,,,2022-09-30,2022
COLLEGE HOSPITAL  INC (054055),Psychiatric,Proprietary-Corporation,187.0,7488897.0,,68255.0,6610824.0,6252.0,,,,,37463967.0,,151058468.0,,,63806669.0,,58165398.0,3561.0,,CA,458.15,63231.0,187.0,,2022-01-01 00:00:00,,,1.0,,,2022-12-31,2022
COLLEGE HOSPITAL COSTA MESA (050543),General Short Term (Acute Care Hospitals),Proprietary-Corporation,122.0,1963328.0,,44530.0,1853841.0,879.0,29864875.0,,,533671.0,30050770.0,472600.0,101322909.0,0.480051,25725567.0,58724240.0,80578065.0,48640177.0,3834.0,923195.0,CA,400.56,40189.0,122.0,719917.0,2022-01-01 00:00:00,,,1.0,,833564.0,2022-12-31,2022
COLLEGE MEDICAL CENTER (050776),General Short Term (Acute Care Hospitals),Proprietary-Other,205.0,3013711.0,,80665.0,2914431.0,4222.0,59717451.0,,,2807111.0,59007411.0,3079746.0,274663554.0,0.376009,38066698.0,565918632.0,164204705.0,103275898.0,8148.0,10888549.0,CA,728.19,58231.0,221.0,3948994.0,2022-01-01 00:00:00,16.0,12.09,1.0,78480.0,10159803.0,2022-12-31,2022
COLLETON MEDICAL CENTER (420030),General Short Term (Acute Care Hospitals),Proprietary-Corporation,94.0,3350247.0,,37230.0,3241091.0,2566.0,21412854.0,,,5603344.0,22484132.0,6247896.0,471891375.0,0.133358,9192604.0,44032661.0,93300401.0,62930720.0,2785.0,8190231.0,SC,260.39,9888.0,102.0,6534984.0,2022-01-01 00:00:00,8.0,0.6,2.0,,7737991.0,2022-12-31,2022
COLLINGSWORTH GENERAL HOSPITAL (451355),General Short Term (Critical Access Hospitals),Proprietary-Corporation,13.0,1095676.0,,4745.0,1002201.0,531.0,,,,781442.0,3435892.0,82087.0,5356791.0,1.444082,528206.0,1752416.0,711298.0,7735647.0,56.0,,TX,47.23,619.0,13.0,810172.0,2021-10-01 00:00:00,,,2.0,,,2022-09-30,2022
