Hospital,Hospital type,Control type,Total Days,State,REIMBURSEMENT SETTLEMENT: Subtotal,Total Days Title XVIII,Cost of Uncompensated Care,NUMBER OF BEDS: Total Hospital,"ADJUSTED SALARIES, Subtotal Salaries",IPPS Payment amount (unadjusted),Medicaid charges,REIMBURSEMENT SETTLEMENT: Payment to cost ratio,Fiscal Year End Date,NUMBER OF BEDS: ICU,BED DAYS: Total Hospital,Fiscal Year Begin Date,Total Liabilities,Net Revenue from Medicaid,Total Salaries,Total Costs,Number of Interns & Residents,Urban (1) and Rural (2) Indicator,HVBP payment adjustment amount,FTE Employees on Payroll,Total discharges,Total Bad Debt expense,IPPS Interim payment,"Donations, Land Improvements",Cost To Charge Ratio,REIMBURSEMENT SETTLEMENT: Interim payments,Total Charges,Total cost of charity care,NUMBER OF BEDS: Adults & Pediatrics,HAC reduction adjustment amount,FFY
BOSTON MEDICAL CENTER (220031),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,124414.0,MA,57153816.0,29373.0,179396759.0,442.0,392980076.0,142121830.0,1119024873.0,,2016-09-30,73.0,161772.0,2015-10-01 00:00:00,965222000.0,360885069.0,462633457.0,1025681838.0,5347.0,1.0,-253238.0,522.46,25131.0,65215679.0,131411215.0,,0.46884,58197126.0,2187698909.0,149615538.0,369.0,1321284.0,2016
BOTHWELL REGIONAL HEALTH CENTER (260009),General Short Term (Acute Care Hospitals),Governmental-City,15954.0,MO,13848263.0,8868.0,4017353.0,107.0,31915048.0,16770521.0,38959845.0,,2017-05-31,9.0,39055.0,2016-06-01 00:00:00,27709729.0,8259258.0,41347478.0,82619101.0,667.62,2.0,189047.0,,3986.0,12231227.0,14920842.0,,0.284746,13712327.0,290150022.0,487332.0,98.0,,2016
BOULDER CITY HOSPITAL (291309),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,4435.0,NV,2335135.0,3271.0,504951.0,25.0,,,12899900.0,,2016-12-31,,9150.0,2016-01-01 00:00:00,25889373.0,5237893.0,11193109.0,24983872.0,137.72,1.0,,,285.0,1350203.0,,,0.419421,2878986.0,59567553.0,32380.0,25.0,,2016
BOULDER COMMUNITY HOSPITAL (060027),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,28722.0,CO,14205144.0,11502.0,10902562.0,139.0,108309736.0,35817671.0,162888591.0,,2016-12-31,18.0,50874.0,2016-01-01 00:00:00,275236867.0,17505438.0,142292812.0,251377164.0,1772.77,1.0,-31211.0,2.84,8513.0,13048545.0,31560168.0,,0.18257,13909978.0,1376880295.0,8475907.0,121.0,98903.0,2016
BOUNDARY COMMUNITY HOSPITAL (131301),General Short Term (Critical Access Hospitals),Governmental-Hospital District,1094.0,ID,1570264.0,398.0,642794.0,20.0,,,3960043.0,,2016-12-31,,7320.0,2016-01-01 00:00:00,2833605.0,2878409.0,7539354.0,12588436.0,108.45,2.0,,,68.0,859747.0,,,0.767415,1342620.0,16403682.0,12585.0,20.0,,2016
BOURBON COMMUNITY HOSPITAL (180046),General Short Term (Acute Care Hospitals),Proprietary-Corporation,3951.0,KY,1274599.0,1359.0,516606.0,34.0,9125913.0,2347706.0,57961880.0,,2017-05-31,4.0,12410.0,2016-06-01 00:00:00,9234584.0,10181052.0,12932645.0,19739296.0,175.85,1.0,11269.0,,990.0,3040616.0,2083271.0,,0.155934,1286577.0,126587155.0,,30.0,,2016
BOURNEWOOD HOSPITAL (224022),Psychiatric,Proprietary-Corporation,31719.0,MA,328887.0,6070.0,,90.0,15564014.0,,,,2017-08-31,,32850.0,2016-09-01 00:00:00,2631227.0,,16167611.0,24837629.0,240.5,1.0,,,3604.0,,,,,322311.0,54394416.0,,90.0,,2016
BOWDLE HOSPITAL (431318),General Short Term (Critical Access Hospitals),Governmental-City,798.0,SD,746150.0,704.0,156065.0,12.0,,,1258351.0,,2017-06-30,,4380.0,2016-07-01 00:00:00,2836170.0,868988.0,3624842.0,6988784.0,32.7,2.0,,,166.0,170553.0,,,0.679167,836159.0,10290223.0,40231.0,12.0,,2016
BOX BUTTE GENERAL HOSPITAL (281360),General Short Term (Critical Access Hospitals),Governmental-County,3375.0,NE,4966113.0,2281.0,1795105.0,25.0,,,4564794.0,,2017-06-30,,9125.0,2016-07-01 00:00:00,38892092.0,2361481.0,14777076.0,36058774.0,236.84,2.0,,,775.0,2356282.0,,,0.626074,4225260.0,57595082.0,326904.0,25.0,,2016
BOYS TOWN NATIONAL RESEARCH HOSPITAL (283300),Childrens,Voluntary Nonprofit-Other,550.0,NE,2147082.0,,,61.0,,,,,2016-12-31,,22326.0,2016-01-01 00:00:00,31412160.0,,51236940.0,42126801.0,702.39,1.0,,,272.0,,,,,2165338.0,121221712.0,,61.0,,2016
BOZEMAN DEACONESS HEALTH SERVICES (270057),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,21369.0,MT,22604427.0,7170.0,10309860.0,83.0,75154658.0,19928928.0,39961706.0,,2016-12-31,8.0,30074.0,2016-01-01 00:00:00,91037890.0,12865967.0,94070853.0,178162087.0,1131.67,2.0,88380.0,,5435.0,10825542.0,17710311.0,,0.528714,22005456.0,336972732.0,4631830.0,75.0,152005.0,2016
BRADFORD REGIONAL MEDICAL CENTER (390118),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,14465.0,PA,5570481.0,5166.0,1112555.0,87.0,21794924.0,8206989.0,27422751.0,,2016-12-31,5.0,31842.0,2016-01-01 00:00:00,43347745.0,10271479.0,26798227.0,57863887.0,428.1,2.0,12037.0,,2747.0,1201527.0,8113458.0,,0.43008,5449694.0,134542089.0,636205.0,82.0,,2016
BRADLEY COUNTY MEDICAL CENTER (041327),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,2991.0,AR,2209401.0,1739.0,766008.0,25.0,,,4176704.0,,2016-09-30,,9150.0,2015-10-01 00:00:00,1490159.0,2171007.0,8591240.0,18680319.0,152.19,2.0,,,833.0,1045156.0,,,0.463701,2363780.0,40285229.0,305842.0,25.0,,2016
BRANDON REGIONAL HOSPITAL (100243),General Short Term (Acute Care Hospitals),Proprietary-Corporation,96868.0,FL,8603447.0,25912.0,11804951.0,397.0,97051363.0,61523340.0,557313217.0,,2016-12-31,56.0,136832.0,2016-01-01 00:00:00,-662756749.0,33303571.0,98606341.0,252255348.0,1494.39,1.0,-31221.0,32.91,22733.0,54227010.0,51955798.0,,0.078594,8710572.0,3209597651.0,7175790.0,319.0,,2016
BRANDYWINE HOSPITAL (390076),General Short Term (Acute Care Hospitals),Proprietary-Corporation,32351.0,PA,6472765.0,11577.0,1436559.0,153.0,37750590.0,22927229.0,149325482.0,,2017-06-30,15.0,55845.0,2016-07-01 00:00:00,173279554.0,13259458.0,37258237.0,99477043.0,526.12,1.0,-84527.0,,6226.0,6694257.0,20221829.0,,0.102086,6599978.0,974444968.0,529598.0,138.0,220602.0,2016
BRATTLEBORO MEMORIAL HOSPITAL (470011),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,5882.0,VT,8465134.0,2695.0,1992513.0,47.0,25441038.0,8235276.0,26546238.0,,2016-09-30,5.0,17202.0,2015-10-01 00:00:00,25865062.0,8335604.0,33758118.0,56797439.0,463.1,2.0,31935.0,,1612.0,3297948.0,8510048.0,,0.44157,8295832.0,128626189.0,558619.0,42.0,95116.0,2016
BRATTLEBORO RETREAT (474001),Psychiatric,Voluntary Nonprofit-Other,38486.0,VT,742926.0,7660.0,,122.0,36092657.0,,,,2016-12-31,,44342.0,2016-01-01 00:00:00,23442370.0,,39532677.0,48221967.0,793.0,2.0,,,3807.0,,,,,728079.0,154156162.0,,122.0,,2016
BRAXTON COUNTY MEMORIAL HOSPITAL (511308),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,779.0,WV,2239964.0,439.0,1014817.0,25.0,,,6314925.0,,2016-12-31,,9150.0,2016-01-01 00:00:00,6649977.0,4236361.0,7397608.0,14625654.0,135.93,2.0,,,238.0,1808147.0,,,0.563727,2233073.0,25944586.0,13164.0,25.0,,2016
BRAZOSPORT REGIONAL HEALTH SYSTEM (450072),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,15701.0,TX,5422154.0,6461.0,12710212.0,80.0,30653233.0,11599720.0,30792911.0,,2016-12-31,8.0,29280.0,2016-01-01 00:00:00,47517845.0,4516195.0,32344298.0,78094372.0,610.74,1.0,-12960.0,,4641.0,49148421.0,10073147.0,,0.220181,5311863.0,354683015.0,1858698.0,72.0,,2016
BRECKINRIDGE MEMORIAL HOSPITAL (181319),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,4231.0,KY,2736595.0,3362.0,573885.0,25.0,,,13117584.0,,2016-12-31,,9125.0,2016-01-01 00:00:00,10454072.0,4294708.0,9451025.0,17972163.0,168.4,2.0,,,513.0,1438212.0,,,0.378575,2970967.0,47473160.0,33197.0,25.0,,2016
BRENTWOOD BEHAVIORAL HEALTHCARE (254007),Psychiatric,Proprietary-Corporation,24859.0,MS,62046.0,1117.0,,105.0,,,,,2016-12-31,,35430.0,2016-01-01 00:00:00,13192618.0,,7810354.0,13096695.0,,1.0,,,2652.0,,,,,60804.0,46433742.0,,105.0,,2016
BRENTWOOD BEHAVIORAL-SHREVEPORT (194020),Psychiatric,Proprietary-Corporation,56474.0,LA,180586.0,8113.0,,176.0,,,,,2016-12-31,,64416.0,2016-01-01 00:00:00,8995478.0,,13983218.0,22796700.0,317.3,1.0,,,6462.0,,,,,179076.0,122896216.0,,176.0,,2016
BRENTWOOD MEADOWS (154055),Psychiatric,Proprietary-Corporation,13982.0,IN,95108.0,2919.0,,48.0,,,,,2016-12-31,,17568.0,2016-01-01 00:00:00,5473509.0,,5062335.0,9994760.0,100.12,1.0,,,1800.0,,,,,93206.0,28043650.0,,48.0,,2016
BRIDGEPOINT CONTINUING CARE HOSPITAL (192007),General Long Term,Proprietary-Corporation,3891.0,LA,,3017.0,,44.0,2123927.0,,,,2016-12-31,,9504.0,2016-05-31 00:00:00,3464308.0,,2123927.0,5086407.0,58.34,1.0,,,175.0,,,,,,18633874.0,,44.0,,2016
BRIDGEPORT HOSPITAL (070010),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,98511.0,CT,23833392.0,32722.0,13880640.0,345.0,142569380.0,98223263.0,538813414.0,,2016-09-30,16.0,126270.0,2015-10-01 00:00:00,402692538.0,97105128.0,164340104.0,385618845.0,2174.29,1.0,-106118.0,112.95,20303.0,15692000.0,91816696.0,,0.23065,23422588.0,1671880230.0,10140519.0,313.0,902767.0,2016
BRIDGES MEDICAL CENTER (241313),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,339.0,MN,1321969.0,277.0,254004.0,14.0,,,2090715.0,,2017-06-30,,5110.0,2016-07-01 00:00:00,513335.0,1361516.0,3979488.0,8706280.0,47.88,2.0,,,67.0,210372.0,,,0.700303,1204104.0,12432168.0,113169.0,14.0,,2016
BRIDGEWAY HOSPITAL (044005),Psychiatric,Proprietary-Corporation,30411.0,AR,103570.0,6255.0,,117.0,,,,,2016-12-31,,42822.0,2016-01-01 00:00:00,-6239056.0,,9847032.0,16352356.0,173.46,1.0,,,2921.0,,,,,101500.0,54753006.0,,117.0,,2016
BRIDGTON HOSPITAL (201310),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,4423.0,ME,6630008.0,2848.0,2233953.0,25.0,,,11619904.0,,2017-06-30,4.0,9125.0,2016-07-01 00:00:00,10895018.0,5547688.0,19534537.0,36122667.0,282.14,1.0,,,652.0,4294174.0,,,0.443998,6797725.0,81357683.0,357515.0,21.0,,2016
BRIGHAM AND WOMENS HOSPITAL (220110),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,258451.0,MA,94373393.0,85271.0,18854500.0,763.0,653652975.0,347341089.0,696752106.0,,2016-09-30,,279258.0,2015-10-01 00:00:00,2588697000.0,142302243.0,943555332.0,1583483168.0,10443.0,1.0,-293758.0,489.29,41534.0,22281453.0,323680486.0,,0.26247,93143037.0,6032997864.0,12585705.0,607.0,3226343.0,2016
BRIGHAM CITY COMMUNITY HOSPITAL (460017),General Short Term (Acute Care Hospitals),Proprietary-Corporation,3121.0,UT,1787881.0,824.0,1313833.0,40.0,8239750.0,2360207.0,11104000.0,,2017-08-31,,14600.0,2016-09-01 00:00:00,-48408271.0,3589214.0,8330329.0,21689067.0,129.6,1.0,-5462.0,,1062.0,1714832.0,2553634.0,,0.206259,1752689.0,105154419.0,955731.0,40.0,,2016
BRISTOL HOSPITAL INC (070029),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,20788.0,CT,9864934.0,8479.0,2213512.0,105.0,48653199.0,19457386.0,99620441.0,,2016-09-30,14.0,38430.0,2015-10-01 00:00:00,92378632.0,22111261.0,54356000.0,125610808.0,774.38,1.0,50101.0,,5857.0,2209664.0,17017752.0,,0.272944,9847486.0,460206865.0,1583985.0,91.0,,2016
BRISTOL REGIONAL MEDICAL CENTER (440012),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,65915.0,TN,14458024.0,25141.0,17915915.0,242.0,60279100.0,50929832.0,96267443.0,,2017-06-30,48.0,88330.0,2016-07-01 00:00:00,88721546.0,15737364.0,71464084.0,184806862.0,1313.12,2.0,33695.0,33.07,14821.0,35553312.0,45130094.0,,0.213762,14641471.0,864546350.0,10139260.0,194.0,,2016
BRISTOW MEDICAL CENTER (370041),General Short Term (Acute Care Hospitals),Proprietary-Corporation,2436.0,OK,3861026.0,1200.0,966181.0,55.0,11744936.0,11202952.0,36022406.0,,2016-12-31,,20130.0,2016-01-01 00:00:00,12564908.0,4239884.0,13428513.0,45220851.0,245.45,1.0,82583.0,,1385.0,4303759.0,11961153.0,,0.220196,3780289.0,205366359.0,5869.0,55.0,39662.0,2016
BROADDUS HOSPITAL ASSOCIATION (511300),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,2291.0,WV,1964388.0,1570.0,1267157.0,12.0,,,7361964.0,,2016-12-31,,4392.0,2016-01-01 00:00:00,6990219.0,3594691.0,6975132.0,16053514.0,131.94,2.0,,,39.0,566690.0,,,0.823975,1743647.0,19483001.0,828330.0,12.0,,2016
BROADLAWNS MEDICAL CENTER (160101),General Short Term (Acute Care Hospitals),Governmental-County,19313.0,IA,10230207.0,4815.0,8874851.0,101.0,36631853.0,7306916.0,85863530.0,,2017-06-30,6.0,36865.0,2016-07-01 00:00:00,155465888.0,37709168.0,74000202.0,85098991.0,,1.0,-35527.0,29.49,2921.0,9161447.0,7598535.0,,0.459333,9996753.0,185266583.0,4696796.0,95.0,,2016
BROADVIEW  INC. (051991),Religious Non-Medical,Voluntary Nonprofit-Church,1625.0,CA,,646.0,,22.0,,,,,2017-06-30,,8030.0,2016-07-01 00:00:00,162918.0,,1658719.0,1964627.0,11.83,1.0,,,27.0,,,,,,1644568.0,,22.0,,2016
BROADWATER HEALTH CENTER (271333),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,677.0,MT,646292.0,508.0,417057.0,9.0,,,448875.0,,2017-06-30,,3285.0,2016-07-01 00:00:00,1452969.0,386771.0,3261504.0,5873142.0,51.53,2.0,,,41.0,394466.0,,,1.025246,631168.0,5728518.0,15550.0,9.0,,2016
BROCKTON HOSPITAL  INC. (220052),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,39695.0,MA,15658708.0,14832.0,8622629.0,175.0,106488761.0,44062945.0,195422610.0,,2016-09-30,16.0,64050.0,2015-10-01 00:00:00,163482362.0,58193044.0,114768062.0,221192409.0,1465.08,1.0,61232.0,15.31,10327.0,8702545.0,40349684.0,,0.336622,16031680.0,657093774.0,5661954.0,159.0,,2016
BRODSTONE MEMORIAL HOSPITAL (281315),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,2321.0,NE,4001762.0,1878.0,586096.0,25.0,,,1588059.0,,2017-04-30,,9125.0,2016-05-01 00:00:00,9546058.0,1268098.0,9384546.0,20496776.0,140.58,2.0,,,459.0,622019.0,,,0.711939,4243874.0,28790073.0,164174.0,25.0,,2016
BRONSON BATTLE CREEK (230075),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,33511.0,MI,22071683.0,14663.0,4274649.0,159.0,71946725.0,33202927.0,130534069.0,,2016-12-31,20.0,58194.0,2016-01-01 00:00:00,51673886.0,20947451.0,96825340.0,192834058.0,1503.0,1.0,-102913.0,,8295.0,10106340.0,29923276.0,,0.306846,22202761.0,628439831.0,1107373.0,139.0,80343.0,2016
BRONSON LAKEVIEW HOSPITAL (231332),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,1463.0,MI,2165788.0,710.0,1956536.0,25.0,17677437.0,,20044904.0,,2016-12-31,,9150.0,2016-01-01 00:00:00,5338481.0,2266181.0,25223882.0,45299651.0,212.08,2.0,,,587.0,4044880.0,,,0.401975,2097667.0,108804372.0,357805.0,25.0,,2016
BRONSON METHODIST HOSPITAL (230017),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,110678.0,MI,29425254.0,29057.0,12473797.0,415.0,188253283.0,86917523.0,340462042.0,,2016-12-31,55.0,151890.0,2016-01-01 00:00:00,334419000.0,62436072.0,311705639.0,512395660.0,3873.68,1.0,-89634.0,108.36,26464.0,29645257.0,82515076.0,,0.324994,29470750.0,1576632340.0,2779372.0,307.0,,2016
BRONX P.C. (334053),Psychiatric,Governmental-State,52654.0,NY,1658505.0,502.0,,156.0,48197953.0,,,,2017-03-31,,56940.0,2016-04-01 00:00:00,,,48974736.0,86246649.0,911.0,1.0,,9.18,87.0,,,,,1102138.0,3768382.0,,156.0,,2016
BRONX-LEBANON HOSPITAL CENTER (330009),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,132411.0,NY,7281168.0,11218.0,56614260.0,460.0,245496975.0,75805461.0,537435530.0,,2016-12-31,31.0,168360.0,2016-01-01 00:00:00,390711326.0,278155262.0,340888393.0,495121474.0,3968.2,1.0,17119.0,326.05,27803.0,58230422.0,72588349.0,,0.53976,6984096.0,917299682.0,25258161.0,378.0,,2016
BROOK LANE PSYCHIATRIC CENTER (214003),Psychiatric,Voluntary Nonprofit-Other,16884.0,MD,118294.0,1830.0,,65.0,,,,,2017-06-30,,23725.0,2016-07-01 00:00:00,9871312.0,,20377267.0,13117049.0,388.0,1.0,,,1997.0,,,,,115930.0,21994051.0,,65.0,,2016
BROOKDALE HOSPITAL MEDICAL CENTER (330233),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,74392.0,NY,6949636.0,11822.0,12483481.0,288.0,197051768.0,59591826.0,372531578.0,,2016-12-31,29.0,105408.0,2016-01-01 00:00:00,660552749.0,156467099.0,288586234.0,397322420.0,3210.5,1.0,-177031.0,225.21,12154.0,3218937.0,52599913.0,,0.430552,6611221.0,922820784.0,11125021.0,223.0,512740.0,2016
BROOKE GLEN BEHAVIORAL HOSPITAL (394049),Psychiatric,Proprietary-Partnership,47983.0,PA,,5305.0,2541.0,146.0,,,,,2017-02-28,,53290.0,2016-03-01 00:00:00,7979971.0,,15470046.0,24062116.0,256.7,1.0,,,3370.0,,,,0.330591,,72785200.0,,146.0,,2016
BROOKHAVEN HOSPITAL (374012),Psychiatric,Proprietary-Other,19109.0,OK,72264.0,4443.0,,64.0,,,,,2016-12-31,,23424.0,2016-01-01 00:00:00,872201.0,,6710853.0,11835458.0,167.8,1.0,,,955.0,,,,,70814.0,50308392.0,,64.0,,2016
BROOKHAVEN MEMORIAL HOSPITAL (330141),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,74342.0,NY,12138657.0,36748.0,8657177.0,216.0,112790086.0,74874555.0,265888888.0,,2016-12-31,10.0,80886.0,2016-01-01 00:00:00,137639744.0,28433071.0,124638320.0,249363198.0,1663.8,1.0,-297630.0,19.14,11678.0,6869475.0,66726100.0,,0.184674,11899828.0,1350291441.0,7356017.0,192.0,187237.0,2016
BROOKINGS HOSPITAL (430008),General Short Term (Acute Care Hospitals),Governmental-City,4796.0,SD,5832953.0,2917.0,2098022.0,49.0,16109368.0,3386424.0,4460985.0,,2016-12-31,,17934.0,2016-01-01 00:00:00,38577811.0,1222512.0,27435083.0,44997797.0,372.43,2.0,43549.0,,1130.0,3560612.0,3314924.0,,0.454895,5671023.0,98919040.0,479432.0,49.0,27273.0,2016
BROOKS COUNTY HOSPITAL (111332),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,5082.0,GA,426255.0,2283.0,2276979.0,25.0,,,3453983.0,,2016-09-30,,9150.0,2015-10-01 00:00:00,17146542.0,859578.0,5096806.0,11107779.0,77.95,2.0,,,158.0,1360535.0,,,0.377532,505600.0,29422048.0,1766889.0,25.0,,2016
BROOKS MEMORIAL HOSPITAL (330229),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,8501.0,NY,2320197.0,2579.0,1781489.0,65.0,16955400.0,5446482.0,21837038.0,,2016-12-31,9.0,23790.0,2016-01-01 00:00:00,13502795.0,5219293.0,16788826.0,43276131.0,336.5,2.0,-40196.0,,2197.0,2174928.0,4688068.0,,0.406036,2396580.0,106581903.0,920366.0,56.0,,2016
BROOKS REHABILITATION (103039),Rehabilitation,Voluntary Nonprofit-Other,48172.0,FL,321.0,21958.0,-312.0,157.0,34902612.0,,,,2016-12-31,,57462.0,2016-01-01 00:00:00,56610087.0,,36379779.0,81388402.0,577.89,1.0,,,2940.0,,,,0.361705,314.0,225013389.0,,157.0,,2016
BROOKSVILLE REGIONAL HOSPITAL (100071),General Short Term (Acute Care Hospitals),Proprietary-Corporation,42259.0,FL,4895441.0,11633.0,9255531.0,244.0,43126862.0,22269111.0,333108846.0,,2016-09-30,30.0,89304.0,2015-10-01 00:00:00,46696446.0,14745504.0,40526058.0,104113993.0,712.06,1.0,-194836.0,,10402.0,125775355.0,18735489.0,,0.069288,4883850.0,1502618602.0,319985.0,214.0,,2016
BROOKVILLE HOSPITAL (391312),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,3745.0,PA,1979476.0,2336.0,631339.0,24.0,,,8908520.0,,2017-06-30,,8760.0,2016-07-01 00:00:00,6864307.0,3366628.0,10551747.0,25763907.0,160.15,2.0,,,587.0,1439285.0,,61707.0,0.368309,2021484.0,69951929.0,108193.0,24.0,,2016
BROOKWOOD BAPTIST MEDICAL CENTER (010139),General Short Term (Acute Care Hospitals),Proprietary-Corporation,21401.0,AL,5151685.0,5573.0,3151922.0,406.0,24014449.0,11485319.0,53847063.0,,2015-12-31,20.0,36540.0,2015-10-03 00:00:00,145803651.0,5174826.0,25678945.0,83405131.0,1345.99,1.0,-39472.0,,4782.0,4375338.0,9968715.0,,0.098925,5021321.0,843110573.0,2633510.0,327.0,107313.0,2016
BROOKWOOD BAPTIST MEDICAL CENTER (010139),General Short Term (Acute Care Hospitals),Proprietary-Corporation,88854.0,AL,21733515.0,25368.0,14397579.0,422.0,101216965.0,52600986.0,268557511.0,,2016-12-31,20.0,154452.0,2016-01-01 00:00:00,28885061.0,19891091.0,108640311.0,342891364.0,1372.67,1.0,-167059.0,,19062.0,17200957.0,45824981.0,,0.094862,21212735.0,3614615959.0,12450942.0,348.0,394387.0,2016
BROUGHTON HOSPITAL (344025),Psychiatric,Governmental-State,100056.0,NC,,2561.0,-500282.0,431.0,58507791.0,,,,2017-06-30,,157315.0,2016-07-01 00:00:00,,,58531727.0,91133449.0,1268.5,1.0,,,367.0,,,,0.791619,,115122816.0,,431.0,,2016
BROWARD HEALTH CORAL SPRINGS (100276),General Short Term (Acute Care Hospitals),Governmental-Hospital District,49358.0,FL,3567790.0,7364.0,16955225.0,196.0,63167699.0,17374796.0,129158188.0,,2017-06-30,16.0,71540.0,2016-07-01 00:00:00,63903407.0,21720135.0,62864967.0,151418719.0,934.91,1.0,-27318.0,1.48,12596.0,62961389.0,14801690.0,,0.227858,3611252.0,664531458.0,2563425.0,130.0,43210.0,2016
BROWARD HEALTH IMPERIAL POINT (100200),General Short Term (Acute Care Hospitals),Governmental-Hospital District,26764.0,FL,5658970.0,6707.0,14743292.0,129.0,41587338.0,13468851.0,50433707.0,,2017-06-30,57.0,47085.0,2016-07-01 00:00:00,50852812.0,9659617.0,45864722.0,115411203.0,652.91,1.0,-43367.0,,6114.0,51343593.0,11819296.0,,0.235799,5663359.0,489446514.0,2578801.0,72.0,,2016
BROWARD HEALTH MEDICAL CENTER (100039),General Short Term (Acute Care Hospitals),Governmental-Hospital District,147273.0,FL,10224024.0,23104.0,60307002.0,548.0,170429456.0,66638374.0,452750395.0,,2017-06-30,57.0,200020.0,2016-07-01 00:00:00,283346311.0,104957018.0,185404864.0,452617994.0,2864.88,1.0,-141761.0,113.84,24938.0,174182790.0,61160447.0,,0.23205,10227197.0,1950522029.0,19706185.0,315.0,,2016
BROWARD HEALTH NORTH (100086),General Short Term (Acute Care Hospitals),Governmental-Hospital District,69999.0,FL,7174054.0,16026.0,37594618.0,304.0,81068421.0,34041354.0,122402026.0,,2017-06-30,29.0,110960.0,2016-07-01 00:00:00,77879096.0,21386363.0,89171656.0,230899256.0,1238.23,1.0,102522.0,,13812.0,122206848.0,30635635.0,,0.238222,7289551.0,969262162.0,8381096.0,251.0,,2016
BROWN COUNTY COMMUNITY TREATMENT CTR (524014),Psychiatric,Governmental-County,4419.0,WI,190.0,812.0,,16.0,3698376.0,,,,2016-12-31,,5856.0,2016-01-01 00:00:00,8511520.0,,7183663.0,12838021.0,48.34,1.0,,,837.0,,,,0.899416,187.0,14273737.0,,16.0,,2016
BROWN COUNTY HOSPITAL (281325),General Short Term (Critical Access Hospitals),Governmental-County,978.0,NE,2146423.0,731.0,584675.0,23.0,,,732331.0,,2017-06-30,,8395.0,2016-07-01 00:00:00,4550070.0,415231.0,4595503.0,9242341.0,64.89,2.0,,,81.0,145273.0,,,0.957063,2257138.0,9656978.0,445640.0,23.0,,2016
BROWNFIELD REGIONAL MEDICAL CENTER (450399),General Short Term (Acute Care Hospitals),Governmental-Hospital District,2167.0,TX,476017.0,684.0,2469521.0,26.0,5925568.0,1423270.0,5232794.0,,2016-09-30,,9516.0,2015-10-01 00:00:00,2113776.0,1763730.0,8150625.0,16054733.0,181.24,2.0,,,552.0,3202183.0,1727613.0,,0.593247,466322.0,27062492.0,588778.0,26.0,,2016
BROWNWOOD REGIONAL MEDICAL CENTER (450587),General Short Term (Acute Care Hospitals),Proprietary-Corporation,12389.0,TX,8829822.0,5567.0,4959280.0,83.0,21466917.0,10819879.0,40744815.0,,2016-09-30,12.0,30378.0,2015-10-01 00:00:00,926354.0,5293503.0,32183698.0,57959669.0,482.82,2.0,10818.0,,2901.0,25896280.0,9556902.0,,0.165663,8861983.0,349864429.0,488245.0,71.0,,2016
BRUNSWICK COMMUNITY HOSPITAL (340158),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,15932.0,NC,8314955.0,7974.0,6825086.0,66.0,23771719.0,14772510.0,48377822.0,,2016-12-31,10.0,24156.0,2016-01-01 00:00:00,154380000.0,6539172.0,23778240.0,71187257.0,391.42,1.0,91229.0,,4310.0,5935938.0,12556257.0,,0.214704,8256798.0,331559724.0,5443055.0,56.0,,2016
BRUNSWICK HOSPITAL CENTER INC (334026),Psychiatric,Proprietary-Corporation,38427.0,NY,995.0,9579.0,-31895.0,124.0,14709497.0,,,,2016-12-31,,45384.0,2016-01-01 00:00:00,6553364.0,,14709497.0,27799375.0,237.6,1.0,,,2521.0,,,,0.431521,975.0,64421812.0,,124.0,,2016
