Hospital,Hospital type,Control type,IPPS Payment amount (unadjusted),Total Inpatient DaysOutpatient Visits: Total Hospital (S3_1_C8_14),S10 DATA: Cost of Uncompensated Care (S10_C1_30),"Donations, Land Improvements",REIMBURSEMENT SETTLEMENT: Payment to cost ratio,HAC reduction adjustment amount,HVBP payment adjustment amount,Total Salaries,State,REIMBURSEMENT SETTLEMENT: Subtotal,NUMBER OF BEDS: Total Hospital,"ADJUSTED SALARIES, Subtotal Salaries",IPPS Interim payment,S10 DATA: Net Revenue from Medicaid (S10_C1_2),S10 DATA: Cost of charity care (S10_C3_23),NUMBER OF BEDS: ICU,BED DAYS: Total Hospital,Total Charges,Total Costs,S10 DATA: Total Bad Debt expense (S10_C1_26),REIMBURSEMENT SETTLEMENT: Interim payments,Total Inpatient DaysOutpatient Visits: Total Facility FTEs (S3_1_C9_27),Total Inpatient DaysOutpatient Visits: Total discharges (S3_1_C15_14),Medicare Inpatient DaysOutpatient Visits: Total Hospital (S3_1_C6_14),S10 DATA: Medicaid charges (S10_C1_6),S10 DATA: Cost To Charge Ratio (S10_C1_1),Total Liabilities,Fiscal Year Begin Date,Fiscal Year End Date,Beginning FFY
DAVIS HOSPITAL & MEDICAL CENTER (460041),General Short Term (Acute Care Hospitals),Proprietary-Corporation,11429179.0,19849.0,3762830.0,,,,19998.0,32271161.0,UT,7209512.0,170.0,31043989.0,10284813.0,8883277.0,460213.0,14.0,62050.0,362912726.0,99619687.0,12103580.0,7090729.0,,5166.0,4446.0,32150245.0,0.2745,10411994.0,2013-04-01 00:00:00,2014-03-31,2013
DAVIS MEMORIAL HOSPITAL (510030),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,11219559.0,13779.0,6336681.0,,,,-28123.0,34073721.0,WV,7689297.0,90.0,21120719.0,9762144.0,7050785.0,3186130.0,,32850.0,158487310.0,58771230.0,9234284.0,7759626.0,,3727.0,6635.0,31262749.0,0.370826,38396236.0,2013-01-01 00:00:00,2013-12-31,2013
DAVIS REGIONAL MEDICAL CENTER (340144),General Short Term (Acute Care Hospitals),Proprietary-Corporation,11359272.0,16258.0,1917878.0,,,,6832.0,17447310.0,NC,3752498.0,102.0,18571238.0,10699008.0,6248262.0,,24.0,37230.0,290548764.0,50949104.0,11621964.0,3920229.0,,3689.0,6359.0,54334443.0,0.175355,22822683.0,2012-10-01 00:00:00,2013-09-30,2013
DAY KIMBALL HOSPITAL (070003),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,12436940.0,14794.0,1690755.0,,,,-13554.0,48085236.0,CT,7623511.0,98.0,40639518.0,10701258.0,9889060.0,534663.0,9.0,34411.0,214176155.0,98619515.0,2804585.0,7643861.0,,3305.0,5707.0,26576688.0,0.46046,80914496.0,2012-10-01 00:00:00,2013-09-30,2013
DAYSTAR INC (101993),Religious Non-Medical,Voluntary Nonprofit-Church,,1332.0,,,,,,852786.0,FL,,4.0,560428.0,,,,,1460.0,1299925.0,1314067.0,,,,28.0,868.0,,,249636.0,2012-10-01 00:00:00,2013-09-30,2013
DAYTON GENERAL HOSPITAL (501302),General Short Term (Critical Access Hospitals),Governmental-Hospital District,,6347.0,451274.0,,,,,5382912.0,WA,1312320.0,25.0,,,1762220.0,46240.0,,9125.0,12024877.0,10944515.0,450933.0,1173077.0,,93.0,759.0,1887146.0,0.910156,7875554.0,2013-01-01 00:00:00,2013-12-31,2013
DCH REGIONAL MEDICAL CENTER (010092),General Short Term (Acute Care Hospitals),Governmental-City-County,124332893.0,149856.0,10566478.0,,,,51198.0,195618171.0,AL,37241492.0,527.0,173381923.0,112000958.0,32061000.0,,96.0,192355.0,1719852253.0,380337021.0,49525232.0,37862530.0,40.83,31450.0,68130.0,219210568.0,0.221145,153084012.0,2012-10-01 00:00:00,2013-09-30,2013
DCHSA-D.B.A.-SETON MEDICAL CTR (450056),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,72568386.0,105416.0,27059575.0,,,,51133.0,124037224.0,TX,13640180.0,411.0,116919610.0,64711330.0,123546339.0,22505760.0,64.0,149555.0,1841362414.0,338270646.0,25715610.0,13334635.0,,20591.0,31146.0,143726478.0,0.183707,854437298.0,2013-07-01 00:00:00,2014-06-30,2013
DCHSA-D.B.A.-SETON NORTHWEST (450867),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,9456722.0,19926.0,16509589.0,,,,3090.0,29991759.0,TX,2777194.0,107.0,30225236.0,7940432.0,51772384.0,12960614.0,15.0,39055.0,418142827.0,69727039.0,21458977.0,2716413.0,,5204.0,4656.0,57183005.0,0.166754,163947652.0,2013-07-01 00:00:00,2014-06-30,2013
DCHSA-D.B.A.-SETON SOUTHWEST (450865),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,384339.0,3840.0,6295407.0,,,,91.0,10100859.0,TX,870842.0,33.0,10214312.0,280814.0,9621664.0,4368557.0,,12045.0,116464433.0,23708631.0,9490752.0,853075.0,,908.0,94.0,10862053.0,0.20357,59536164.0,2013-07-01 00:00:00,2014-06-30,2013
DE SMET MEMORIAL HOSPITAL (431332),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Church,,471.0,85063.0,,,,,1622039.0,SD,839930.0,6.0,,,52798.0,49513.0,,2190.0,6778233.0,3972946.0,62000.0,814838.0,,40.0,423.0,98903.0,0.586133,-551285.0,2013-07-01 00:00:00,2014-06-30,2013
DEACONESS HOSPITAL (150082),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,88188499.0,104716.0,26889691.0,,,,-33110.0,194152645.0,IN,28685483.0,468.0,152992191.0,78728703.0,27217059.0,17179740.0,67.0,171674.0,1526343695.0,409621175.0,37354077.0,28570670.0,18.15,21977.0,49741.0,162160293.0,0.268368,349466871.0,2012-10-01 00:00:00,2013-09-30,2013
DEACONESS HOSPITAL (370032),General Short Term (Acute Care Hospitals),Proprietary-Corporation,22323236.0,37397.0,7318912.0,,,,1702.0,45376389.0,OK,7836953.0,233.0,42423227.0,19577318.0,9643858.0,2386140.0,30.0,85045.0,619447323.0,106231239.0,29133080.0,7903948.0,,7390.0,13863.0,77035551.0,0.171494,105139099.0,2012-11-01 00:00:00,2013-10-31,2013
DEACONESS MEDICAL CENTER (500044),General Short Term (Acute Care Hospitals),Proprietary-Corporation,53292859.0,59901.0,30952476.0,,,,-134605.0,81437461.0,WA,14613037.0,288.0,83468271.0,49611294.0,36327972.0,30715651.0,68.0,105120.0,915325643.0,213093311.0,1216740.0,14570458.0,9.02,11714.0,19051.0,150650336.0,0.232806,235788395.0,2012-10-01 00:00:00,2013-09-30,2013
DEACONESS WOMENS HOSPITAL (150149),General Short Term (Acute Care Hospitals),Proprietary-Other,803574.0,22418.0,1400673.0,,,,930.0,24169212.0,IN,396828.0,74.0,21037090.0,561237.0,5256983.0,459695.0,24.0,27010.0,109510793.0,46243670.0,2234518.0,390569.0,,3687.0,110.0,39363407.0,0.422275,11769219.0,2013-01-01 00:00:00,2013-12-31,2013
DEARBORN COUNTY HOSPITAL (150086),General Short Term (Acute Care Hospitals),Governmental-County,15024813.0,16709.0,3846866.0,,,,2868.0,32377904.0,IN,4288565.0,78.0,30130937.0,13494888.0,5418445.0,630817.0,8.0,28470.0,192534954.0,68805725.0,9180365.0,4383164.0,,4129.0,8149.0,21231242.0,0.357367,40691257.0,2013-01-01 00:00:00,2013-12-31,2013
DEBORAH HEART AND LUNG CENTER (310031),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,37406201.0,16622.0,9195166.0,,,,83795.0,63121338.0,NJ,15643236.0,80.0,45938214.0,35217308.0,459703.0,9054467.0,24.0,30521.0,691577495.0,122589371.0,800165.0,15313123.0,27.53,3895.0,8317.0,24687199.0,0.17726,73888920.0,2013-01-01 00:00:00,2013-12-31,2013
DECATUR CO. MEMORIAL HOSPITAL (151332),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,,4482.0,3851353.0,,,,,23723550.0,IN,3676208.0,25.0,,,2226915.0,956101.0,3.0,9125.0,88059445.0,38972296.0,7083007.0,4504125.0,,1168.0,2072.0,20502577.0,0.442568,15763513.0,2013-01-01 00:00:00,2013-12-31,2013
DECATUR COMMUNITY HOSPITAL (450271),General Short Term (Acute Care Hospitals),Governmental-City,18200533.0,17503.0,9880546.0,,,,-2399.0,54017702.0,TX,8962090.0,138.0,50514507.0,15689348.0,7342155.0,4544952.0,21.0,50370.0,485984766.0,134201963.0,19598509.0,8826349.0,,4330.0,7719.0,30624583.0,0.276144,130810364.0,2013-01-01 00:00:00,2013-12-31,2013
DECATUR COUNTY GENERAL HOSPITAL (440070),General Short Term (Acute Care Hospitals),Governmental-County,1858396.0,2758.0,449622.0,,,,,4116970.0,TN,955973.0,40.0,3831312.0,1834006.0,551788.0,124316.0,,14600.0,15852495.0,7494717.0,830693.0,1045494.0,,558.0,2117.0,2653390.0,0.472778,2949758.0,2013-07-01 00:00:00,2014-06-30,2013
DECATUR COUNTY HOSPITAL (161340),Critical Access Hospitals,Governmental-City-County,,1587.0,474682.0,,,,,3608850.0,IA,2337897.0,25.0,,,1281933.0,50099.0,,9125.0,13677992.0,10546492.0,552268.0,2052171.0,,261.0,1324.0,1833311.0,0.771056,16459347.0,2013-07-01 00:00:00,2014-06-30,2013
DECATUR COUNTY HOSPITAL (171352),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,,1051.0,65238.0,,,,,4191213.0,KS,1421263.0,22.0,,,112928.0,1661.0,,8030.0,7544873.0,7832659.0,78752.0,1309231.0,,103.0,898.0,188296.0,1.038143,2118880.0,2013-01-01 00:00:00,2013-12-31,2013
DECATUR HOSPITAL (112006),General Long Term,Voluntary Nonprofit-Other,,10288.0,,,,,,7369045.0,GA,3659.0,38.0,,,,,4.0,13870.0,42862093.0,16800115.0,,3585.0,,391.0,4350.0,,,1007570.0,2013-07-01 00:00:00,2014-06-30,2013
DECATUR MEMORIAL HOSPITAL (140135),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,49974603.0,42734.0,10281135.0,,,,115176.0,109466276.0,IL,21481261.0,249.0,63060140.0,45179628.0,8701669.0,6355200.0,22.0,100309.0,712269998.0,158760375.0,19030999.0,21882923.0,13.05,11976.0,23333.0,98184721.0,0.222894,80148738.0,2012-10-01 00:00:00,2013-09-30,2013
DECATUR MORGAN HOSPITAL (010085),General Short Term (Acute Care Hospitals),Governmental-City-County,32328293.0,46774.0,7547872.0,,,,-7082.0,45268060.0,AL,7463107.0,216.0,39693887.0,27875244.0,7351047.0,1033412.0,14.0,78840.0,322427673.0,86104890.0,24873908.0,7700840.0,,10616.0,22428.0,33812949.0,0.267052,36833930.0,2013-04-01 00:00:00,2014-03-31,2013
DECKERVILLE COMMUNITY HOSPITAL (231311),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,,301.0,213835.0,,,,,3375552.0,MI,1335410.0,15.0,2897360.0,,349260.0,18843.0,,5475.0,10694127.0,6698139.0,429593.0,1242225.0,,129.0,211.0,1707393.0,0.626338,1676731.0,2013-07-01 00:00:00,2014-06-30,2013
DEER LODGE MEDICAL CENTER (271314),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,,1138.0,343390.0,,,,,3232506.0,MT,668668.0,16.0,,,406665.0,21272.0,,5840.0,9863282.0,7343849.0,432626.0,731241.0,,291.0,790.0,723005.0,0.744564,18116112.0,2013-07-01 00:00:00,2014-06-30,2013
DEERS HEAD CENTER (212003),General Long Term,Governmental-State,,2787.0,,,,,,10560252.0,MD,,66.0,,,,,,24090.0,19296286.0,21285299.0,,,,92.0,1611.0,,,,2013-07-01 00:00:00,2014-06-30,2013
DEFIANCE HOSPITAL INC. (361328),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,,4746.0,1577780.0,,,,,13447467.0,OH,1907742.0,25.0,,,6004220.0,721609.0,7.0,9125.0,127419985.0,37398760.0,3117563.0,1938930.0,,1379.0,1115.0,23951372.0,0.293508,46555601.0,2013-01-01 00:00:00,2013-12-31,2013
DEKALB COMMUNITY HOSPITAL (440148),General Short Term (Acute Care Hospitals),Proprietary-Corporation,2882697.0,3626.0,1300065.0,,,,3848.0,6619110.0,TN,1120776.0,52.0,6567789.0,2716457.0,1296737.0,29812.0,4.0,18980.0,48550762.0,14434908.0,4530781.0,1216357.0,,1011.0,1962.0,8277923.0,0.297316,6595264.0,2013-01-01 00:00:00,2013-12-31,2013
DEKALB MEDICAL CENTER (110076),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,57132847.0,100486.0,26318988.0,,,,-85517.0,107494472.0,GA,13959387.0,362.0,101569686.0,50899199.0,45396338.0,8637991.0,32.0,132130.0,888050851.0,293001933.0,54520463.0,14358653.0,9.71,19464.0,24869.0,163890869.0,0.329938,149274769.0,2013-07-01 00:00:00,2014-06-30,2013
DEKALB MEDICAL CENTER HILLANDALE (110226),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,10956516.0,22185.0,13870876.0,,,,-22234.0,25913736.0,GA,2738599.0,89.0,26059882.0,10114682.0,9163502.0,5004178.0,8.0,32485.0,251363461.0,68862297.0,32589670.0,3051945.0,,5040.0,6868.0,46426885.0,0.273955,86620140.0,2013-07-01 00:00:00,2014-06-30,2013
DEKALB MEMORIAL HOSPITAL (150045),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,3285635.0,6333.0,2056404.0,,,,5745.0,23349921.0,IN,1862281.0,47.0,16752338.0,3226347.0,2859496.0,433306.0,6.0,17155.0,105020324.0,39399072.0,4443148.0,1911722.0,,2011.0,1788.0,14010495.0,0.375157,16350374.0,2012-10-01 00:00:00,2013-09-30,2013
DEKALB REGIONAL MEDICAL CENTER (010012),General Short Term (Acute Care Hospitals),Proprietary-Corporation,8035715.0,11696.0,2411278.0,,,,747.0,17010312.0,AL,3988754.0,97.0,15860313.0,6979072.0,2043376.0,810250.0,12.0,35405.0,294669710.0,39824452.0,12164225.0,4177439.0,,3206.0,4899.0,33259601.0,0.135149,59181197.0,2013-04-01 00:00:00,2014-03-31,2013
DEL AMO HOSPITAL (054053),Psychiatric,Proprietary-Corporation,,44020.0,,,,,,15056062.0,CA,1783214.0,166.0,,,,,,60590.0,75720739.0,23641792.0,,1811300.0,,5780.0,11611.0,,,-63637491.0,2013-01-01 00:00:00,2013-12-31,2013
DELANO REGIONAL MED. CTR. (050608),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,11766392.0,13377.0,994154.0,,,,-32989.0,29368222.0,CA,2000172.0,105.0,24916020.0,11900033.0,57072942.0,1165039.0,10.0,39213.0,208529582.0,54764883.0,,1970288.0,,2473.0,4078.0,111857651.0,0.264608,48403242.0,2013-01-01 00:00:00,2013-12-31,2013
DELAWARE COUNTY MEMORIAL HOSPITAL (161343),General Short Term (Critical Access Hospitals),Governmental-County,,4177.0,1849218.0,,,,,20880806.0,IA,3659194.0,25.0,,,4274748.0,1069791.0,,9125.0,64403905.0,37298325.0,1345856.0,3715974.0,,863.0,2388.0,6734466.0,0.579131,29268998.0,2013-07-01 00:00:00,2014-06-30,2013
DELAWARE COUNTY MEMORIAL HOSPITAL (390081),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,24768590.0,33098.0,6185372.0,,,,-11253.0,67717192.0,PA,10012668.0,190.0,54688284.0,21709501.0,26137366.0,5485007.0,14.0,69350.0,1242429600.0,159098201.0,6114349.0,9805455.0,24.53,7580.0,10148.0,177390141.0,0.128054,115707000.0,2013-07-01 00:00:00,2014-06-30,2013
DELAWARE PSYCHIATRIC CENTER (084001),Psychiatric,Governmental-State,,20667.0,,,,,,16983917.0,DE,264826.0,115.0,12033570.0,,,,,41106.0,24150807.0,20260680.0,,70002.0,,437.0,6.0,,,,2013-07-01 00:00:00,2014-06-30,2013
DELAWARE VALLEY HOSPITAL (331312),General Long Term (Critical Access Hospitals),Voluntary Nonprofit-Other,,3668.0,457123.0,,,,,6890005.0,NY,1400378.0,25.0,,,1781907.0,-31304.0,,9125.0,31356032.0,13703146.0,1144756.0,1449213.0,,430.0,1744.0,6662516.0,0.437018,8793262.0,2013-01-01 00:00:00,2013-12-31,2013
DELL CHILDRENS MEDICAL CENTER (453310),Childrens,Voluntary Nonprofit-Other,,39960.0,,,,,,87116723.0,TX,72420.0,248.0,,,,,,90520.0,1175134841.0,219472903.0,,71089.0,49.05,8601.0,281.0,,,711302059.0,2013-07-01 00:00:00,2014-06-30,2013
DELNOR-COMMUNITY HOSPITAL (140211),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,28654157.0,32469.0,53619427.0,,,,-1112.0,61783669.0,IL,14953742.0,159.0,61688659.0,25097214.0,4488497.0,49656771.0,20.0,58035.0,857299648.0,196784413.0,17652160.0,14648516.0,,7635.0,13749.0,49900613.0,0.22954,180373986.0,2013-07-01 00:00:00,2014-06-30,2013
DELRAY MEDICAL CENTER (100258),General Short Term (Acute Care Hospitals),Proprietary-Corporation,72177453.0,73449.0,3170436.0,,,,37252.0,85690288.0,FL,14069128.0,346.0,84293599.0,63889354.0,10718275.0,372067.0,60.0,126290.0,1746114841.0,231560407.0,21363622.0,13869478.0,0.47,15377.0,39141.0,103379614.0,0.132615,27177423.0,2013-01-01 00:00:00,2013-12-31,2013
DELTA COMMUNITY HOSPITAL (461300),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,,783.0,604070.0,,,,,2815276.0,UT,891235.0,18.0,,,789893.0,217516.0,,6570.0,10152995.0,7166460.0,588979.0,847296.0,,223.0,244.0,1252126.0,0.705847,323698.0,2013-01-01 00:00:00,2013-12-31,2013
DELTA COUNTY MEMORIAL HOSPITAL (060071),General Short Term (Acute Care Hospitals),Governmental-County,6039598.0,5707.0,1002373.0,,,,471.0,23819209.0,CO,6639997.0,49.0,16206782.0,7624634.0,3499033.0,7642.0,6.0,17885.0,113643992.0,44607483.0,2737558.0,7134147.0,,1761.0,2861.0,14389672.0,0.39252,25718251.0,2013-01-01 00:00:00,2013-12-31,2013
DELTA MEDICAL CENTER MEMPHIS (440159),General Short Term (Acute Care Hospitals),Proprietary-Corporation,4675687.0,8200.0,2008044.0,,,,-10848.0,23382151.0,TN,1983697.0,151.0,17663710.0,4032927.0,9529208.0,91048.0,8.0,55115.0,125673080.0,42670648.0,6555932.0,2140579.0,,1529.0,3248.0,27903666.0,0.339537,38293445.0,2013-04-01 00:00:00,2014-03-31,2013
DELTA MEMORIAL HOSPITAL (041326),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,,2809.0,1269153.0,,,,,5563468.0,AR,1180763.0,25.0,,,1719461.0,37931.0,,9125.0,20693304.0,11930060.0,2153956.0,1275489.0,,856.0,1392.0,2848027.0,0.576518,7022252.0,2013-07-01 00:00:00,2014-06-30,2013
DELTA REGIONAL MEDICAL CENTER (250082),General Short Term (Acute Care Hospitals),Governmental-County,29620652.0,38249.0,7462159.0,,,,-99390.0,51240453.0,MS,7177655.0,177.0,38237164.0,26914295.0,19695290.0,719710.0,22.0,64605.0,316052734.0,94709933.0,23078093.0,7108001.0,,8103.0,18414.0,62965713.0,0.299665,45472530.0,2012-10-01 00:00:00,2013-09-30,2013
DENTON REGIONAL MED CENTER (450634),General Short Term (Acute Care Hospitals),Proprietary-Corporation,38077931.0,48820.0,4747002.0,,,,54496.0,52739934.0,TX,7506694.0,208.0,52776495.0,34903534.0,6003451.0,447315.0,29.0,75920.0,1171204543.0,136998644.0,37590881.0,7405872.0,,10567.0,20658.0,80713459.0,0.116972,128676470.0,2013-01-01 00:00:00,2013-12-31,2013
DENVER HEALTH MEDICAL CENTER (060011),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,35692681.0,91089.0,50780550.0,,,,-52057.0,373235791.0,CO,6902205.0,340.0,192182441.0,34075812.0,98472518.0,17979872.0,32.0,124144.0,1566767117.0,469276009.0,109300896.0,6729917.0,207.54,17708.0,9416.0,605458063.0,0.299519,397196687.0,2013-01-01 00:00:00,2013-12-31,2013
DEPT. OF VETERANS AFFAIRS HOSP SERV (072006),General Long Term,Governmental-State,,41749.0,,,,,,21652523.0,CT,,125.0,19101464.0,,,,,45625.0,100339.0,29040624.0,,,,90.0,12.0,,289.425089,,2013-07-01 00:00:00,2014-06-30,2013
DEQUEEN MEDICAL CENTER (041319),General Short Term (Critical Access Hospitals),Governmental-City-County,,3173.0,811009.0,,,,,4760007.0,AR,1072481.0,25.0,,,699518.0,,,9125.0,22651988.0,10089554.0,1898466.0,1305630.0,,556.0,2444.0,1810369.0,0.445416,3487987.0,2012-10-01 00:00:00,2013-09-30,2013
DEQUINCY MEMORIAL HOSPITAL (191307),General Short Term (Critical Access Hospitals),Proprietary-Individual,,2415.0,306231.0,,,,,4601604.0,LA,957356.0,19.0,,,1840051.0,,,6935.0,18144328.0,9367957.0,665755.0,1141317.0,,320.0,1906.0,3561856.0,0.516302,5330400.0,2013-01-01 00:00:00,2013-12-31,2013
DES PERES MEDICAL CENTER (260176),General Short Term (Acute Care Hospitals),Proprietary-Corporation,29258883.0,20003.0,939505.0,,,,-3768.0,31221880.0,MO,7111794.0,142.0,31755334.0,27126586.0,2672656.0,193953.0,15.0,52009.0,543487607.0,103712505.0,4382535.0,6658715.0,38.01,5332.0,9730.0,25282419.0,0.190828,11850962.0,2013-06-01 00:00:00,2014-05-31,2013
DESERT HOSPITAL (050243),General Short Term (Acute Care Hospitals),Proprietary-Corporation,45086105.0,78241.0,6859805.0,,,,-129116.0,136016965.0,CA,15571460.0,325.0,138009357.0,41033760.0,55307323.0,4599317.0,31.0,118625.0,2734506801.0,313882623.0,20795907.0,15452525.0,2.32,17476.0,15657.0,650752118.0,0.114786,39250417.0,2013-06-01 00:00:00,2014-05-31,2013
DESERT SPRINGS HOSPITAL MEDICAL CNTR (290022),General Short Term (Acute Care Hospitals),Proprietary-Corporation,34959239.0,53285.0,23113231.0,,,,-59629.0,65400155.0,NV,7466640.0,239.0,65962502.0,32106274.0,7587529.0,13586135.0,34.0,87235.0,1345596114.0,165266821.0,78726171.0,7588138.0,,10163.0,16399.0,109043907.0,0.122821,-66695835.0,2013-01-01 00:00:00,2013-12-31,2013
DESERT VALLEY HOSPITAL  INC. (050709),General Short Term (Acute Care Hospitals),Proprietary-Corporation,31207446.0,33535.0,5940487.0,,,,39008.0,34667363.0,CA,1740706.0,148.0,34600992.0,25613675.0,31589208.0,156200.0,18.0,54020.0,460079434.0,75253950.0,36001000.0,1715145.0,,10093.0,10048.0,125469220.0,0.163567,120137807.0,2013-01-01 00:00:00,2013-12-31,2013
DESERT VIEW REGIONAL MEDICAL CENTER (291311),General Short Term (Critical Access Hospitals),Proprietary-Corporation,,4162.0,2066736.0,,,,,8467967.0,NV,794602.0,24.0,,,1252028.0,30170.0,,8760.0,97730486.0,20205606.0,10174160.0,1841287.0,,1412.0,1756.0,10319771.0,0.206748,21319733.0,2013-01-01 00:00:00,2013-12-31,2013
DESOTO MEMORIAL HOSPITAL (100175),General Short Term (Acute Care Hospitals),Governmental-County,5370873.0,7701.0,3769096.0,,,,-23145.0,13734217.0,FL,2814441.0,49.0,11592504.0,5247925.0,5674672.0,2450410.0,8.0,17885.0,101320868.0,31228046.0,4383133.0,3015453.0,,1806.0,3514.0,17994795.0,0.308209,22612495.0,2012-10-01 00:00:00,2013-09-30,2013
DESOTO REGIONAL HEALTH SYSTEM (190118),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,2440444.0,2908.0,1295656.0,,,,,7454955.0,LA,1264977.0,38.0,5416569.0,3461975.0,3465594.0,64239.0,,13870.0,38519871.0,14963631.0,3206619.0,1252411.0,,690.0,1955.0,6920340.0,0.388465,3049098.0,2012-10-01 00:00:00,2013-09-30,2013
DETAR HEALTHCARE SYSTEMS (450147),General Short Term (Acute Care Hospitals),Proprietary-Corporation,25469663.0,34324.0,5820847.0,,,,104639.0,45452488.0,TX,6443617.0,153.0,42732307.0,24139616.0,8851642.0,1980216.0,20.0,71272.0,881909665.0,102809286.0,33724140.0,6595285.0,,7655.0,14190.0,126955271.0,0.116576,12103538.0,2012-10-01 00:00:00,2013-09-30,2013
DETROIT RECEIVING HOSPITAL (230273),General Short Term (Acute Care Hospitals),Proprietary-Corporation,71858706.0,61172.0,32806594.0,,,,55087.0,88092977.0,MI,7231313.0,230.0,69910499.0,67271445.0,45219764.0,13331882.0,25.0,83950.0,831465431.0,215933893.0,77843150.0,7621772.0,187.3,13417.0,21279.0,290429031.0,0.259703,93095319.0,2013-01-01 00:00:00,2013-12-31,2013
DEWITT HOSPITAL & NURSING HOME  INC (041314),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,,1517.0,959473.0,,,,,6200424.0,AR,1176438.0,25.0,,,135545.0,142692.0,,9125.0,9481477.0,7693234.0,1048747.0,1310431.0,,391.0,1150.0,378441.0,0.811396,1611001.0,2013-01-01 00:00:00,2013-12-31,2013
DICKENSON COMMUNITY HOSPITAL (491303),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,,9.0,311181.0,,,,,3303879.0,VA,1167987.0,2.0,,,579240.0,7537.0,,730.0,22549406.0,5574740.0,1569941.0,1004339.0,,7.0,6.0,4304652.0,0.247223,708619.0,2012-10-01 00:00:00,2013-09-30,2013
DICKINSON COUNTY HEALTHCARE SYSTEM (230055),General Short Term (Acute Care Hospitals),Governmental-County,11515470.0,11640.0,3134136.0,,,,-3002.0,39863470.0,MI,5593028.0,96.0,25814058.0,9928368.0,3306822.0,880408.0,4.0,35040.0,193556730.0,63690025.0,7189769.0,5693680.0,,3069.0,6037.0,22132414.0,0.329051,37107102.0,2013-01-01 00:00:00,2013-12-31,2013
DILEY RIDGE MEDICAL CENTER (360358),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,43507.0,13.0,1126079.0,,,,,4223993.0,OH,894112.0,10.0,4480282.0,38043.0,1526439.0,80836.0,,3650.0,64519575.0,12281464.0,5527410.0,905179.0,,11.0,7.0,14002223.0,0.190353,18421218.0,2013-07-01 00:00:00,2014-06-30,2013
DIMMIT REGIONAL HOSPITAL DISTRICT (450620),General Short Term (Acute Care Hospitals),Governmental-County,1224824.0,4571.0,2107515.0,,0.877,,,5822965.0,TX,420095.0,35.0,5606785.0,1707238.0,236253.0,1005026.0,,12775.0,25378559.0,11183318.0,2528625.0,594328.0,,1552.0,972.0,456996.0,0.44066,1739095.0,2012-10-01 00:00:00,2013-09-30,2013
DIVINE PROVIDENCE HOSPITAL (394048),Psychiatric,Voluntary Nonprofit-Other,,5526.0,,,,,,20588455.0,PA,9128359.0,31.0,,,,,,11315.0,228007239.0,65203260.0,,9098656.0,,613.0,1427.0,,,25029251.0,2013-07-01 00:00:00,2014-06-30,2013
DIVINE SAVIOR HOSPITAL (520041),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Church,6223926.0,4936.0,2732060.0,,,,-6775.0,40601312.0,WI,4062037.0,44.0,23584226.0,6017588.0,10076715.0,546497.0,6.0,16060.0,160164154.0,58982429.0,6145347.0,3969759.0,,1407.0,2631.0,31037162.0,0.368262,53867412.0,2013-07-01 00:00:00,2014-06-30,2013
DIXIE REGIONAL MEDICAL CENTER (460021),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,65379762.0,46583.0,14192174.0,,,,56991.0,93191053.0,UT,26521341.0,220.0,99270888.0,60574812.0,22289137.0,6671994.0,24.0,80300.0,672414097.0,277580784.0,18415336.0,26180609.0,,13536.0,19229.0,58605603.0,0.412812,25526359.0,2013-01-01 00:00:00,2013-12-31,2013
