Original Label,Curated Label
ENCOMPASS HEALTH REHABILITATION HOSP (103043),ENCOMPASS HEALTH REHABILITATION HOSP (103043)
ENCOMPASS HEALTH REHABILITATION HOSP (103044),ENCOMPASS HEALTH REHABILITATION HOSP (103044)
ENCOMPASS HEALTH REHABILITATION HOSP (103045),ENCOMPASS HEALTH REHABILITATION HOSP (103045)
ENCOMPASS HEALTH REHABILITATION HOSP (103047),ENCOMPASS HEALTH REHABILITATION HOSP (103047)
ENCOMPASS HEALTH REHABILITATION HOSP (113032),ENCOMPASS HEALTH REHABILITATION HOSP (113032)
ENCOMPASS HEALTH REHABILITATION HOSP (113033),ENCOMPASS HEALTH REHABILITATION HOSP (113033)
ENCOMPASS HEALTH REHABILITATION HOSP (183027),ENCOMPASS HEALTH REHABILITATION HOSP (183027)
ENCOMPASS HEALTH REHABILITATION HOSP (183028),ENCOMPASS HEALTH REHABILITATION HOSP (183028)
ENCOMPASS HEALTH REHABILITATION HOSP (193031),ENCOMPASS HEALTH REHABILITATION HOSP (193031)
ENCOMPASS HEALTH REHABILITATION HOSP (213028),ENCOMPASS HEALTH REHABILITATION HOSP (213028)
ENCOMPASS HEALTH REHABILITATION HOSP (223026),ENCOMPASS HEALTH REHABILITATION HOSP (223026)
ENCOMPASS HEALTH REHABILITATION HOSP (223027),ENCOMPASS HEALTH REHABILITATION HOSP (223027)
ENCOMPASS HEALTH REHABILITATION HOSP (223030),ENCOMPASS HEALTH REHABILITATION HOSP (223030)
ENCOMPASS HEALTH REHABILITATION HOSP (253027),ENCOMPASS HEALTH REHABILITATION HOSP (253027)
ENCOMPASS HEALTH REHABILITATION HOSP (293026),ENCOMPASS HEALTH REHABILITATION HOSP (293026)
ENCOMPASS HEALTH REHABILITATION HOSP (293032),ENCOMPASS HEALTH REHABILITATION HOSP (293032)
ENCOMPASS HEALTH REHABILITATION HOSP (293033),ENCOMPASS HEALTH REHABILITATION HOSP (293033)
ENCOMPASS HEALTH REHABILITATION HOSP (303027),ENCOMPASS HEALTH REHABILITATION HOSP (303027)
ENCOMPASS HEALTH REHABILITATION HOSP (313029),ENCOMPASS HEALTH REHABILITATION HOSP (313029)
ENCOMPASS HEALTH REHABILITATION HOSP (313035),ENCOMPASS HEALTH REHABILITATION HOSP (313035)
ENCOMPASS HEALTH REHABILITATION HOSP (313036),ENCOMPASS HEALTH REHABILITATION HOSP (313036)
ENCOMPASS HEALTH REHABILITATION HOSP (323027),ENCOMPASS HEALTH REHABILITATION HOSP (323027)
ENCOMPASS HEALTH REHABILITATION HOSP (363033),ENCOMPASS HEALTH REHABILITATION HOSP (363033)
ENCOMPASS HEALTH REHABILITATION HOSP (363034),ENCOMPASS HEALTH REHABILITATION HOSP (363034)
ENCOMPASS HEALTH REHABILITATION HOSP (393026),ENCOMPASS HEALTH REHABILITATION HOSP (393026)
ENCOMPASS HEALTH REHABILITATION HOSP (393027),ENCOMPASS HEALTH REHABILITATION HOSP (393027)
ENCOMPASS HEALTH REHABILITATION HOSP (393031),ENCOMPASS HEALTH REHABILITATION HOSP (393031)
ENCOMPASS HEALTH REHABILITATION HOSP (393037),ENCOMPASS HEALTH REHABILITATION HOSP (393037)
ENCOMPASS HEALTH REHABILITATION HOSP (393039),ENCOMPASS HEALTH REHABILITATION HOSP (393039)
ENCOMPASS HEALTH REHABILITATION HOSP (393040),ENCOMPASS HEALTH REHABILITATION HOSP (393040)
ENCOMPASS HEALTH REHABILITATION HOSP (393045),ENCOMPASS HEALTH REHABILITATION HOSP (393045)
ENCOMPASS HEALTH REHABILITATION HOSP (393046),ENCOMPASS HEALTH REHABILITATION HOSP (393046)
ENCOMPASS HEALTH REHABILITATION HOSP (403025),ENCOMPASS HEALTH REHABILITATION HOSP (403025)
ENCOMPASS HEALTH REHABILITATION HOSP (403026),ENCOMPASS HEALTH REHABILITATION HOSP (403026)
ENCOMPASS HEALTH REHABILITATION HOSP (423025),ENCOMPASS HEALTH REHABILITATION HOSP (423025)
ENCOMPASS HEALTH REHABILITATION HOSP (423026),ENCOMPASS HEALTH REHABILITATION HOSP (423026)
ENCOMPASS HEALTH REHABILITATION HOSP (423027),ENCOMPASS HEALTH REHABILITATION HOSP (423027)
ENCOMPASS HEALTH REHABILITATION HOSP (423028),ENCOMPASS HEALTH REHABILITATION HOSP (423028)
ENCOMPASS HEALTH REHABILITATION HOSP (423032),ENCOMPASS HEALTH REHABILITATION HOSP (423032)
ENCOMPASS HEALTH REHABILITATION HOSP (433027),ENCOMPASS HEALTH REHABILITATION HOSP (433027)
ENCOMPASS HEALTH REHABILITATION HOSP (443027),ENCOMPASS HEALTH REHABILITATION HOSP (443027)
ENCOMPASS HEALTH REHABILITATION HOSP (443029),ENCOMPASS HEALTH REHABILITATION HOSP (443029)
ENCOMPASS HEALTH REHABILITATION HOSP (443031),ENCOMPASS HEALTH REHABILITATION HOSP (443031)
ENCOMPASS HEALTH REHABILITATION HOSP (443032),ENCOMPASS HEALTH REHABILITATION HOSP (443031)
ENCOMPASS HEALTH REHABILITATION HOSP (443035),ENCOMPASS HEALTH REHABILITATION HOSP (443035)
ENCOMPASS HEALTH REHABILITATION HOSP (453029),ENCOMPASS HEALTH REHABILITATION HOSP (453029)
ENCOMPASS HEALTH REHABILITATION HOSP (453031),ENCOMPASS HEALTH REHABILITATION HOSP (453031)
ENCOMPASS HEALTH REHABILITATION HOSP (453040),ENCOMPASS HEALTH REHABILITATION HOSP (453040)
ENCOMPASS HEALTH REHABILITATION HOSP (453042),ENCOMPASS HEALTH REHABILITATION HOSP (453042)
ENCOMPASS HEALTH REHABILITATION HOSP (453047),ENCOMPASS HEALTH REHABILITATION HOSP (453047)
ENCOMPASS HEALTH REHABILITATION HOSP (453053),ENCOMPASS HEALTH REHABILITATION HOSP (453053)
ENCOMPASS HEALTH REHABILITATION HOSP (453054),ENCOMPASS HEALTH REHABILITATION HOSP (453054)
ENCOMPASS HEALTH REHABILITATION HOSP (453057),ENCOMPASS HEALTH REHABILITATION HOSP (453057)
ENCOMPASS HEALTH REHABILITATION HOSP (453059),ENCOMPASS HEALTH REHABILITATION HOSP (453059)
ENCOMPASS HEALTH REHABILITATION HOSP (463025),ENCOMPASS HEALTH REHABILITATION HOSP (463025)
ENCOMPASS HEALTH REHABILITATION HOSP (493028),ENCOMPASS HEALTH REHABILITATION HOSP (493028)
ENCOMPASS HEALTH REHABILITATION HOSP (493031),ENCOMPASS HEALTH REHABILITATION HOSP (493031)
ENCOMPASS HEALTH REHABILITATION HOSP (493032),ENCOMPASS HEALTH REHABILITATION HOSP (493032)
ENCOMPASS HEALTH REHABILITATION HOSP (493033),ENCOMPASS HEALTH REHABILITATION HOSP (493033)
ENCOMPASS HEALTH REHABILITATION HOSP (513026),ENCOMPASS HEALTH REHABILITATION HOSP (513026)
ENCOMPASS HEALTH REHABILITATION HOSP (513027),ENCOMPASS HEALTH REHABILITATION HOSP (513027)
ENCOMPASS HEALTH REHABILITATION HOSP (513028),ENCOMPASS HEALTH REHABILITATION HOSP (513028)
ENCOMPASS HEALTH REHABILITATION HOSP (513030),ENCOMPASS HEALTH REHABILITATION HOSP (513030)
ENCOMPASS HEALTH REHABILITATION HOSP (673029),ENCOMPASS HEALTH REHABILITATION HOSP (673029)
ENCOMPASS HEALTH REHABILITATION HOSP (673032),ENCOMPASS HEALTH REHABILITATION HOSP (673032)
ENCOMPASS HEALTH REHABILITATION HOSP (673034),ENCOMPASS HEALTH REHABILITATION HOSP (673034)
ENCOMPASS HEALTH REHABILITATION HOSP (673039),ENCOMPASS HEALTH REHABILITATION HOSP (673039)
ENCOMPASS HEALTH REHABILITATION HOSP (673042),ENCOMPASS HEALTH REHABILITATION HOSP (673042)
ENCOMPASS HEALTH REHABILITATION HOSP (673043),ENCOMPASS HEALTH REHABILITATION HOSP (673043)
ENCOMPASS HEALTH REHABILITATION HOSP (673044),ENCOMPASS HEALTH REHABILITATION HOSP (673044)
ENCOMPASS HEALTH REHABILITATION HOSP (673050),ENCOMPASS HEALTH REHABILITATION HOSP (673050)
ENCOMPASS HEALTH REHABILITATION HOSP (673052),ENCOMPASS HEALTH REHABILITATION HOSP (673052)
ENCOMPASS HEALTH REHABILITATION HOSP (673054),ENCOMPASS HEALTH REHABILITATION HOSP (673054)
ENCOMPASS HEALTH REHABILITATION HOSP (673066),ENCOMPASS HEALTH REHABILITATION HOSP (673066)
ENCOMPASS HEALTH REHABILITATION HOSP (673071),ENCOMPASS HEALTH REHABILITATION HOSP (673071)
ENCOMPASS HEALTH REHABILITATION INST (033028),ENCOMPASS HEALTH REHABILITATION INST (033028)
ENCOMPASS HEALTH REHABILITATION OF M (053042),ENCOMPASS HEALTH REHABILITATION OF M (053042)
ENCOMPASS HEALTH REHABILITATION OF P (103048),ENCOMPASS HEALTH REHABILITATION OF P (103048)
ENCOMPASS HEALTH VALLEY OF THE SUN R (033032),ENCOMPASS HEALTH VALLEY OF THE SUN R (033032)
ENCOMPASS REHABILITATION HOSPITAL OF (673043),ENCOMPASS REHABILITATION HOSPITAL OF (673043)
ENCORE MEDICAL CENTER (040161),ENCORE MEDICAL CENTER (040161)
ENDLESS MOUNTAINS HEALTH SYSTEMS (391306),ENDLESS MOUNTAINS HEALTH SYSTEMS (391306)
ENGLEWOOD COMMUNITY HOSPITAL (100267),ENGLEWOOD COMMUNITY HOSPITAL (100267)
ENGLEWOOD HOSPITAL & MED CTR (310045),ENGLEWOOD HOSPITAL & MED CTR (310045)
ENLOE MEDICAL CENTER (050039),ENLOE MEDICAL CENTER (050039)
ENNIS REGIONAL MEDICAL CENTER (450833),ENNIS REGIONAL MEDICAL CENTER (450833)
ENUMCLAW REGIONAL HOSPITAL DBA SEH (501335),ENUMCLAW REGIONAL HOSPITAL DBA SEH (501335)
EPHRAIM MCDOWELL REG MED CTR (180048),EPHRAIM MCDOWELL REG MED CTR (180048)
EPHRATA COMMUNITY HOSPITAL (390225),EPHRATA COMMUNITY HOSPITAL (390225)
EPIC MEDICAL CENTER (370169),EPIC MEDICAL CENTER (370169)
EPISCOPAL HEALTH SERVICES (330395),EPISCOPAL HEALTH SERVICES (330395)
EPISCOPAL HEALTH SERVICE   INC (330395),EPISCOPAL HEALTH SERVICES (330395)
EPISCOPAL HEALTH SERVICE  INC (330395),EPISCOPAL HEALTH SERVICES (330395)
ERIE COUNTY MEDICAL CENTER (330219),ERIE COUNTY MEDICAL CENTER (330219)
ERLANGER BEHAVIORAL HEALTH (444026),ERLANGER BEHAVIORAL HEALTH (444026)
ERLANGER BLEDSOE HOSPITAL (441306),ERLANGER BLEDSOE HOSPITAL (441306)
ERLANGER MEDICAL CENTER (440104),ERLANGER MEDICAL CENTER (440104)
ESKENAZI HEALTH (150024),ESKENAZI HEALTH (150024)
ESPANOLA HOSPITAL (320011),ESPANOLA HOSPITAL (320011)
ESPLANADE REHAB HOSPITAL (673053),ESPLANADE REHAB HOSPITAL (673053)
ESSENTIA HEALTH - NORTHERN PINES (241340),ESSENTIA HEALTH - NORTHERN PINES (241340)
ESSENTIA HEALTH - SANDSTONE (241309),ESSENTIA HEALTH - SANDSTONE (241309)
ESSENTIA HEALTH DEER RIVER (241360),ESSENTIA HEALTH DEER RIVER (241360)
ESSENTIA HEALTH FOSSTON (241357),ESSENTIA HEALTH FOSSTON (241357)
ESSENTIA HEALTH MOOSE LAKE (241350),ESSENTIA HEALTH MOOSE LAKE (241350)
ESSENTIA HEALTH VIRGINIA (240084),ESSENTIA HEALTH VIRGINIA (240084)
ESSEX COUNTY HOSPITAL CENTER (314020),ESSEX COUNTY HOSPITAL CENTER (314020)
ESTES PARK MEDICAL CENTER (061312),ESTES PARK MEDICAL CENTER (061312)
ETHICUS HOSPITAL - GRAPEVINE (452110),ETHICUS HOSPITAL - GRAPEVINE (452110)
ETMC ATHENS (450389),ETMC ATHENS (450389)
ETMC CARTHAGE (450210),ETMC CARTHAGE (450210)
ETMC CLARKSVILLE (450188),ETMC CLARKSVILLE (450188)
ETMC CROCKETT (450580),ETMC CROCKETT (450580)
ETMC FAIRFIELD (450658),ETMC FAIRFIELD (450658)
ETMC GILMER (450884),ETMC GILMER (450884)
ETMC HENDERSON (450475),ETMC HENDERSON (450475)
ETMC JACKSONVILLE (450194),ETMC JACKSONVILLE (450194)
ETMC MOUNT VERNON (450373),ETMC MOUNT VERNON (450373)
ETMC PITTSBURG (451367),ETMC PITTSBURG (451367)
ETMC QUITMAN (451380),ETMC QUITMAN (451380)
ETMC QUTIMAN (451380),ETMC QUITMAN (451380)
ETMC REHABILITATION (453072),ETMC REHABILITATION (453072)
ETMC SPECIALTY (452051),ETMC SPECIALTY (452051)
ETMC TRINITY (450749),ETMC TRINITY (450749)
EUCLID HOSPITAL (360082),EUCLID HOSPITAL (360082)
EUREKA COMMUNITY HEALTH SERVICES (431308),EUREKA COMMUNITY HEALTH SERVICES (431308)
EUREKA SPRINGS HOSPITAL (041304),EUREKA SPRINGS HOSPITAL (041304)
EVANGELICAL COMMUNITY HOSPITAL (390013),EVANGELICAL COMMUNITY HOSPITAL (390013)
EVANS MEMORIAL HOSPITAL (110142),EVANS MEMORIAL HOSPITAL (110142)
EVANSTON REGIONAL (530032),EVANSTON REGIONAL (530032)
EVANSVILLE STATE HOSPITAL (154056),EVANSVILLE STATE HOSPITAL (154056)
EVENDALE MEDICAL CENTER (360350),EVENDALE MEDICAL CENTER (360350)
EVEREST REHABILITATION HOSPITAL BENT (043036),EVEREST REHABILITATION HOSPITAL BENT (043036)
EVEREST REHABILITATION HOSPITAL LONG (673073),EVEREST REHABILITATION HOSPITAL LONG (673073)
EVEREST REHABILITATION HOSPITAL TEMP (673074),EVEREST REHABILITATION HOSPITAL TEMP (673074)
EVERGREEN HEALTH MONROE (500084),EVERGREEN HEALTH MONROE (500084)
EVERGREEN HEALTHCARE (500124),EVERGREEN HEALTHCARE (500124)
EVERGREEN MEDICAL CENTER (010148),EVERGREEN MEDICAL CENTER (010148)
EVERGREEN SOUTHWEST BEHAVIORAL (364046),EVERGREEN SOUTHWEST BEHAVIORAL (364046)
EXCELSIOR SPRINGS HOSPITAL (261322),EXCELSIOR SPRINGS HOSPITAL (261322)
EXEMPLA GOOD SAMARITAN MEDICAL CTR (060116),EXEMPLA GOOD SAMARITAN MEDICAL CTR (060116)
EXEMPLA SAINT JOSEPH HOSPITAL (060028),EXEMPLA SAINT JOSEPH HOSPITAL (060028)
EXETER HOSPITAL  INC. (300023),EXETER HOSPITAL  INC. (300023)
EXTENDED CARE OF SOUTHWEST LOUISIANA (192019),EXTENDED CARE OF SOUTHWEST LOUISIANA (192019)
EXTENDED CARE OF AOUTHWEST LOUISIANA (192019),EXTENDED CARE OF SOUTHWEST LOUISIANA (192019)
EYE AND EAR CLINIC (510059),EYE AND EAR CLINIC (510059)
FAIRBANKS (150179),FAIRBANKS (150179)
FAIRBANKS (154034),FAIRBANKS (154034)
FAIRBANKS MEMORIAL (020012),FAIRBANKS MEMORIAL (020012)
FAIRCHILD MEDICAL CENTER (051316),FAIRCHILD MEDICAL CENTER (051316)
CAH No.12 - FAIRFAX (371318),FAIRFAX COMMUNITY HOSPITAL (371318)
FAIRFAX COMMUNITY HOSPITAL (371318),FAIRFAX COMMUNITY HOSPITAL (371318)
FAIRFIELD MEDICAL CENTER (360072),FAIRFIELD MEDICAL CENTER (360072)
FAIRFIELD MEMORIAL HOSPITAL (141311),FAIRFIELD MEMORIAL HOSPITAL (141311)
FAIRFIELD MEMORIAL HOSPITAL (421302),FAIRFIELD MEMORIAL HOSPITAL (421302)
FAIRLAWN REHABILITATION HOSPITAL  AN (223029),FAIRLAWN REHABILITATION HOSPITAL (223029)
FAIRLAWN REHABILITATION HOSPITAL (223029),FAIRLAWN REHABILITATION HOSPITAL (223029)
FAIRMONT GENERAL HOSPITAL INC. (510047),FAIRMONT GENERAL HOSPITAL INC. (510047)
FAIRMONT REGIONAL MEDICAL CENTER (510047),FAIRMONT REGIONAL MEDICAL CENTER (510047)
FAIRMOUNT HOSPITAL (394027),FAIRMOUNT HOSPITAL (394027)
FAIRVIEW DEVELOPMENTAL CENTER (050548),FAIRVIEW DEVELOPMENTAL CENTER (050548)
FAIRVIEW HOSPITAL (221302),FAIRVIEW HOSPITAL (221302)
FAIRVIEW HOSPITAL (360077),FAIRVIEW HOSPITAL (360077)
FAIRVIEW HOSPITAL (371329),FAIRVIEW HOSPITAL (371329)
FAIRVIEW LAKES REGIONAL MEDICAL CTR (240050),FAIRVIEW LAKES REGIONAL MEDICAL CTR (240050)
FAIRVIEW NORTHLAND REG (240141),FAIRVIEW NORTHLAND REG (240141)
FAIRVIEW PARK HOSPITAL (110125),FAIRVIEW PARK HOSPITAL (110125)
FAIRVIEW RED WING MEDICAL CENTER (240018),FAIRVIEW RED WING MEDICAL CENTER (240018)
FAIRVIEW RIDGES HOSPITAL (240207),FAIRVIEW RIDGES HOSPITAL (240207)
FAIRVIEW SOUTHDALE HOSPITAL (240078),FAIRVIEW SOUTHDALE HOSPITAL (240078)
FAIRVIEW ST JOSEPHS HOSPITAL (240063),FAIRVIEW ST JOSEPHS HOSPITAL (240063)
M HEALTH FAIRVIEW WOODWINDS HOSPITAL (240213),FAIRVIEW WOODWINDS HOSPITAL (240213)
FAIRVIEW WOODWINDS HOSPITAL (240213),FAIRVIEW WOODWINDS HOSPITAL (240213)
FAIRWAY MEDICAL CENTER (190267),FAIRWAY MEDICAL CENTER (190267)
FAITH COMMUNITY HOSPITAL (450241),FAITH COMMUNITY HOSPITAL (450241)
FAITH REGIONAL HEALTH SERVICES (280125),FAITH REGIONAL HEALTH SERVICES (280125)
FALL RIVER HOSPITAL (431322),FALL RIVER HOSPITAL (431322)
FALLBROOK DISTRICT HOSPITAL (050435),FALLBROOK HOSPITAL (050435)
FALLBROOK HOSPITAL (050435),FALLBROOK HOSPITAL (050435)
FALLON MEDICAL COMPLEX (271301),FALLON MEDICAL COMPLEX (271301)
FALLS COMMUNITY HOSPITAL AND CLINIC (450348),FALLS COMMUNITY HOSPITAL AND CLINIC (450348)
FALMOUTH HOSPITAL (220135),FALMOUTH HOSPITAL (220135)
FAMILY HEALTH WEST (061302),FAMILY HEALTH WEST (061302)
FANNIN REGIONAL HOSPITAL (110189),FANNIN REGIONAL HOSPITAL (110189)
FAULKNER HOSPITAL (220119),FAULKNER HOSPITAL (220119)
FAULKTON AREA MEDICAL CENTER (431301),FAULKTON AREA MEDICAL CENTER (431301)
FAUQUIER HOSPITAL (490023),FAUQUIER HOSPITAL (490023)
FAWCETT MEMORIAL HOSPITAL (100236),FAWCETT MEMORIAL HOSPITAL (100236)
FAXTON-ST. LUKES HEALTHCARE (330044),FAXTON-ST. LUKES HEALTHCARE (330044)
FAYETTE COUNTY HOSPITAL (141346),FAYETTE COUNTY HOSPITAL (141346)
FAYETTE COUNTY MEMORIAL HOSP (361331),FAYETTE COUNTY MEMORIAL HOSP (361331)
FAYETTE MEDICAL CENTER (010045),FAYETTE MEDICAL CENTER (010045)
FAYETTE MEDICAL CENTER DCH (010045),FAYETTE MEDICAL CENTER (010045)
FAYETTE REGIONAL HEALTH SYSTEM (150064),FAYETTE REGIONAL HEALTH SYSTEM (150064)
FEATHER RIVER HOSPITAL (050225),FEATHER RIVER HOSPITAL (050225)
FELICIANA - AMG SPECIALTY HOSPITAL (192041),FELICIANA - AMG SPECIALTY HOSPITAL (192041)
FERGUS FALLS CBHH (244013),FERGUS FALLS CBHH (244013)
FERN LODGE  INC. (051994),FERN LODGE  INC. (051994)
FERN LODGE INC (051994),FERN LODGE INC (051994)
FERRELL HOSPITAL (141324),FERRELL HOSPITAL (141324)
FERRY COUNTY MEMORIAL HOSPITAL (501322),FERRY COUNTY MEMORIAL HOSPITAL (501322)
FH DELAND (100045),FH DELAND (100045)
FHN MEMORIAL HOSPITAL (140160),FHN MEMORIAL HOSPITAL (140160)
FIELD MEMORIAL COMMUNITY HOSPITAL (251309),FIELD MEMORIAL COMMUNITY HOSPITAL (251309)
FILLMORE COMMUNITY HOSPITAL (461301),FILLMORE COMMUNITY HOSPITAL (461301)
FILLMORE COMMUNITY MEDICAL CENTER (461301),FILLMORE COMMUNITY MEDICAL CENTER (461301)
FILLMORE COUNTY HOSPITAL (281301),FILLMORE COUNTY HOSPITAL (281301)
FIRELANDS REGIONAL MEDICAL CENTER (360025),FIRELANDS REGIONAL MEDICAL CENTER (360025)
FIRST CARE HEALTH CENTER (351326),FIRST CARE HEALTH CENTER (351326)
FIRST CARE MEDICAL SERVICES (241357),FIRST CARE MEDICAL SERVICES (241357)
FIRST HOSPITAL (394039),FIRST HOSPITAL (394039)
FIRST HOSPITAL HOPKINSVILLE (184014),FIRST HOSPITAL HOPKINSVILLE (184014)
FIRST HOSPITAL PANAMERICANO (404004),FIRST HOSPITAL PANAMERICANO (404004)
FIRST LIGHT HEALTH SYSTEM (241367),FIRST LIGHT HEALTH SYSTEM (241367)
FIRST STREET HOSPITAL (670029),FIRST STREET HOSPITAL (670029)
FIRST TEXAS HOSPITAL CARROLLTON (670110),FIRST TEXAS HOSPITAL CARROLLTON (670110)
FIRST TEXAS HOSPITAL CARROLLTON LLC (670110),FIRST TEXAS HOSPITAL CARROLLTON LLC (670110)
FIRST TEXAS HOSPITAL CY FAIR  LLC (670118),FIRST TEXAS HOSPITAL CY FAIR  LLC (670118)
FIRSTHEALTH MONTGOMERY MEMORIAL CAH (341303),FIRSTHEALTH MONTGOMERY MEMORIAL CAH (341303)
FIRSTHEALTH MOORE REGIONAL HOSPITAL (340115),FIRSTHEALTH MOORE REGIONAL HOSPITAL (340115)
FISHER COUNTY HOSPITAL DISTRICT (451313),FISHER COUNTY HOSPITAL DISTRICT (451313)
FISHER-TITUS MEDICAL CENTER (360065),FISHER-TITUS MEDICAL CENTER (360065)
FISHERMENS HOSPITAL (101312),FISHERMENS HOSPITAL (101312)
FIVE RIVERS MEDICAL CENTER (040047),FIVE RIVERS MEDICAL CENTER (040047)
FLA HOSPT. WAUCHULA CRITICAL ACCESS (101300),FLA HOSPT. WAUCHULA CRITICAL ACCESS (101300)
FLAGET MEMORIAL HOSPITAL (180025),FLAGET MEMORIAL HOSPITAL (180025)
FLAGLER HOSPITAL (100090),FLAGLER HOSPITAL (100090)
FLAGLER HOSPITAL  INC. (100090),FLAGLER HOSPITAL (100090)
FLAGSTAFF MEDICAL CENTER (030023),FLAGSTAFF MEDICAL CENTER (030023)
FLAMBEAU HOSPITAL  INC. (521325),FLAMBEAU HOSPITAL MCHS (521325)
FLAMBEAU HOSPITAL MCHS (521325),FLAMBEAU HOSPITAL MCHS (521325)
FLEMING COUNTY HOSPITAL (180053),FLEMING COUNTY HOSPITAL (180053)
FLEMING COUNTY HOSPITAL (181332),FLEMING COUNTY HOSPITAL (181332)
FLETCHER ALLEN HEALTH CARE (470003),FLETCHER ALLEN HEALTH CARE (470003)
FLINT RIVER COMMUNITY HOSPITAL (110190),FLINT RIVER COMMUNITY HOSPITAL (110190)
FLORALA COMMUNITY HOSPITAL (010066),FLORALA COMMUNITY HOSPITAL (010066)
FLORENCE COMM. HEALTHCARE (030129),FLORENCE COMM. HEALTHCARE (030129)
FLORENCE COMM. HEALTHCARE (031316),FLORENCE COMM. HEALTHCARE (031316)
FLORENCE HOSPITAL AT ANTHEM (030132),FLORENCE HOSPITAL AT ANTHEM (030132)
FLORIDA HOSPITAL - NORTH PINELLAS (100055),FLORIDA HOSPITAL - NORTH PINELLAS (100055)
FLORIDA HOSPITAL (100007),FLORIDA HOSPITAL (100007)
FLORIDA HOSPITAL AT CONNERTON LONG T (102026),FLORIDA HOSPITAL AT CONNERTON (102026)
FLORIDA HOSPITAL AT CONNERTON (102026),FLORIDA HOSPITAL AT CONNERTON (102026)
FLORIDA HOSPITAL-CARROLLWOOD (100069),FLORIDA HOSPITAL CARROLLWOOD (100069)
FLORIDA HOSPITAL CARROLLWOOD (100069),FLORIDA HOSPITAL CARROLLWOOD (100069)
FLORIDA HOSPITAL FISH MEMORIAL (100072),FLORIDA HOSPITAL FISH MEMORIAL (100072)
FLORIDA HOSPITAL HEARTLAND (100109),FLORIDA HOSPITAL HEARTLAND (100109)
FLORIDA HOSPITAL MEMORIAL MEDICAL CE (100068),FLORIDA HOSPITAL MEMORIAL MEDICAL CE (100068)
FLORIDA HOSPITAL NEW SMYRNA (100014),FLORIDA HOSPITAL NEW SMYRNA (100014)
FLORIDA HOSPITAL TAMPA (100173),FLORIDA HOSPITAL TAMPA (100173)
FLORIDA HOSPITAL WESLEY CHAPEL (100319),FLORIDA HOSPITAL WESLEY CHAPEL (100319)
FLORIDA HOSPITAL ZEPHYRHILLS (100046),FLORIDA HOSPITAL ZEPHYRHILLS (100046)
FLORIDA HOSPTIAL WATERMAN (100057),FLORIDA HOSPITAL WATERMAN (100057)
FLORIDA STATE HOSPITAL (100298),FLORIDA STATE HOSPITAL (100298)
FLOWER HOSPITAL (360074),FLOWER HOSPITAL (360074)
FLOWERS HOSPITAL (010055),FLOWERS HOSPITAL (010055)
FLOYD COUNTY HOSPITAL (161347),FLOYD COUNTY HOSPITAL (161347)
FLOYD MEDICAL CENTER (110054),FLOYD MEDICAL CENTER (110054)
FLOYD MEMORIAL HOSPITAL & HEALTH SVS (150044),FLOYD MEMORIAL HOSPITAL & HEALTH SVS (150044)
FLOYD MEMORIAL HOSPITAL & HEALTH SER (150044),FLOYD MEMORIAL HOSPITAL & HEALTH SVS (150044)
FLOYD MEMORIAL HOSPITAL & HLTH SVCS (150044),FLOYD MEMORIAL HOSPITAL & HEALTH SVS (150044)
FLOYD VALLEY HOSPITAL (161368),FLOYD VALLEY HOSPITAL (161368)
FLUSHING HOSPITAL MEDICAL CENTER (330193),FLUSHING HOSPITAL MEDICAL CENTER (330193)
FOCUS HEALTHCARE OF DELEWARE (084003),FOCUS HEALTHCARE OF DELAWARE (084003)
FOCUS HEALTHCARE OF DELAWARE (084003),FOCUS HEALTHCARE OF DELAWARE (084003)
FOND DU LAC COUNTY HEALTH CARE CTR. (524025),FOND DU LAC COUNTY HEALTH CARE CTR (524025)
FOND DU LAC COUNTY HEALTH CARE CTR (524025),FOND DU LAC COUNTY HEALTH CARE CTR (524025)
FOOTHILL PRESBTYERIAN HOSPITAL (050597),FOOTHILL PRESBTYERIAN HOSPITAL (050597)
FOOTHILL REG MEDICAL CENTER (050780),FOOTHILL REG MEDICAL CENTER (050780)
FORBES REGIONAL HOSPITAL (390267),FORBES REGIONAL HOSPITAL (390267)
FOREST HEALTH MEDICAL CENTER (230144),FOREST HEALTH MEDICAL CENTER (230144)
FOREST HEALTH MEDICAL CENTER  LLC (230144),FOREST HEALTH MEDICAL CENTER (230144)
FOREST HILLS HOSPITAL (330353),FOREST HILLS HOSPITAL (330353)
FOREST PARK MEDICAL CENTER (670057),FOREST PARK MEDICAL CENTER (670057)
FOREST VIEW HOSPITAL (234030),FOREST VIEW HOSPITAL (234030)
FORKS COMMUNITY HOSPITAL (501325),FORKS COMMUNITY HOSPITAL (501325)
FORREST CITY MEDICAL CENTER (040019),FORREST CITY MEDICAL CENTER (040019)
FORREST GENERAL HOSPITAL (250078),FORREST GENERAL HOSPITAL (250078)
FORSYTH MEMORIAL HOSPITAL  INC (340014),FORSYTH MEMORIAL HOSPITAL  INC (340014)
FORT ATKINSON MEMORIAL HOSPITAL (520071),FORT ATKINSON MEMORIAL HOSPITAL (520071)
FORT BELKNAP HEALTH CENTER (271315),FORT BELKNAP HEALTH CENTER (271315)
FORT DEFIANCE INDIAN HOSPITAL (030071),FORT DEFIANCE INDIAN HOSPITAL (030071)
FORT DUNCAN MEDICAL CENTER (450092),FORT DUNCAN MEDICAL CENTER (450092)
FORT HAMILTON HOSPITAL (360132),FORT HAMILTON HOSPITAL (360132)
