FY 2019 IPPS Impact File -  Correction Notice (September 2018)																																																									
Provider Number	Name	Geographic Labor Market Area	Pre-Reclass Labor Market Area	Post Reclass Labor Market Area	Payment Labor Market Area (for purposes of Capital and DSH)	SSA County Code	FIPS County Code	Region	URGEO	URSPA	RECLASS	FY 2019 Wage Index	LUGAR	Section 401 Hospital	Section 401 or LUGAR Hospitals with a MGCRB Wage Index Reclass	Section 505 Eligible	Section 505 Adjustment	Cost of Living Adjustment	Resident to Bed Ratio	RDAY	Beds	Average Daily Census	TCHOP	TCHCP	DSHPCT	DSHOPP	DSHCPP	DSH_LY	UCP_ADJ	UCP Per Claim Amount	UCP_ADJ_LY	UCP Per Claim Amount LY	Operating CCR	Capital CCR	Provider Type	HSP Rate	Bills	CASETA35	CMIV35	TACMIV35	IME_CASETA35	IME_TACMIV35	CASETA36	CMIV36	TACMIV36	IME_CASETA36	IME_TACMIV36	GAF	Capital Cost of Living Adjustment	OUT19F	COUT19F	Medicare Percentage	Low Volume Hospital Adjustment	Proxy Value Based Purchasing Adjustment Factor	Proxy Readmission Adjustment Factor	Proxy Quality Reduction	Proxy EHR Reduction
050736	Monterey Park Hospital	31084	31084	31084	31084	5200	06037	9	lurban	lurban	N	1.2827						1	0	0	101	54	0	0	0.9282	0.16448	0.20679	0.16448	0.000138	1796.2	0.000253	2796.08	0.103	0.006	0		655	644.13	1.424	1.415			644.97	1.4242	1.4174			1.1859	1	0.08563	0.05029	0.138	1	0.99189	1.00	0	0
050737	Garfield Medical Center	31084	31084	31084	31084	5200	06037	9	lurban	lurban	N	1.2827						1	0	0	182	135	0	0	0.9256	0.16394	0.20615	0.16394	0.000334	1189.53	0.000623	1748.34	0.114	0.008	0		2303	2276.93	1.788	1.7748			2279.53	1.8039	1.7909			1.1859	1	0.07739	0.06207	0.263	1	1.00398	1.00	0	0
050738	Greater El Monte Community Hospital	31084	31084	31084	31084	5200	06037	9	lurban	lurban	N	1.2827						1	0	0	104	41	0	0	0.991	0.17743	0.22223	0.17743	0.000128	2074.07	0.00018	2489.24	0.161	0.008	0		564	547.21	1.7375	1.6642			547.88	1.7726	1.6972			1.1859	1	0.03737	0.01476	0.164	1	1	1.00	1	0
050739	Centinela Hospital Medical Center	31084	31084	31084	31084	5200	06037	9	lurban	lurban	N	1.2827						1	0	0	313	179	0	0	0.7072	0.1189	0.15397	0.1189	0.000409	666.35	0.000705	896.9	0.141	0.017	0		4934	4842.54	1.795	1.7819			4851.03	1.7881	1.7747			1.1859	1	0.00605	0.01563	0.319	1	1.00154	0.99	0	0
050740	Marina Del Rey Hospital	31084	31084	31084	31084	5200	06037	9	lurban	lurban	N	1.2827						1	0	0	90	42	0	0	0.2321	0.02091	0	0.02091	0.000057	318.37	0.000061	260.87	0.278	0.019	0		1398	1366.53	1.8882	1.868			1369.91	1.8854	1.8652			1.1859	1	0.07594	0.05166	0.441	1	1.00494	1.00	0	0
050742	Olympia Medical Center	31084	31084	31084	31084	5200	06037	9	lurban	lurban	N	1.2827						1	0	0	204	77	0	0	0.567	0.08998	0.12167	0.08998	0.000245	779.54	0.00025	602.67	0.128	0.008	0		2364	2325.77	1.6621	1.6501			2330.62	1.6492	1.637			1.1859	1	0.01808	0.00803	0.445	1	0.9968	0.98	0	0
050744	Anaheim Global Medical Center	11244	11244	31084	11244	5400	06059	9	lurban	lurban	W	1.2603						1	0	0	103	38	0	0	0.7449	0.12667	0.16281	0.12667	0.000159	4734.12	0.000257	6496.6	0.228	0.019	0		288	283.77	1.8831	1.8648			283.97	1.9043	1.8868			1.1717	1	0.1213	0.13241	0.05	1	0.99098	1.00	0	0
050745	Chapman Global Medical Center	11244	11244	31084	11244	5400	06059	9	lurban	lurban	W	1.2603						1	0	0	75	22	0	0	0.2916	0.03	0	0.03	0.000037	863.57	0.000058	1088.37	0.212	0.025	0		363	356.53	1.4519	1.4572			356.68	1.4493	1.4543			1.1717	1	0.035	0.06532	0.117	1	1	1.00	0	0
050746	Orange County Global Medical Center	11244	11244	31084	11244	5400	06059	9	lurban	lurban	W	1.2603						1	0.0082	0.0378	228	98	0.00447	0.01072	0.7185	0.12123	0.15661	0.12123	0.000279	2091.44	0.000416	3011.57	0.184	0.015	0		1258	1220.94	2.1544	2.1403	447.47	2.0251	1223.12	2.1676	2.1529	449.19	2.0392	1.1717	1	0.04708	0.05181	0.078	1	0.99635	1.00	0	0
050747	South Coast Global Medical Center	11244	11244	31084	11244	5400	06059	9	lurban	lurban	W	1.2603						1	0	0	109	31	0	0	0.9279	0.16442	0.20671	0.16442	0.000112	2965.5	0.000211	4601.31	0.229	0.019	0		322	315.07	1.52	1.5083			315.37	1.5253	1.5134			1.1717	1	0.16171	0.16514	0.061	1	0.98655	1.00	0	0
050748	Kaiser Foundation Hospital Manteca	44700	44700	44700	44700	5490	06077	9	ourban	ourban	N	1.4493				YES	0.0478	1	0	0.0005	213	95	0	0.00014	0.0487	0	0.00991	0		0		0	0.366	0.012	0		285	273.76	1.6426	1.6417			274.51	1.636	1.6361			1.2893	1	0.2172	0.04867	0.019	1	1.01367	1.00	0	0
050751	Miracle Mile Medical Center	31084	31084	31084	31084	5200	06037	9	lurban	lurban	N	1.2827						1	0	0	17	1	0	0	0.2302	0.02052	0	0.02052	0	0	0.000001	100.84	0.221	0.046	0		40	40	3.4508	3.4508			40	3.4543	3.4543			1.1859	1	0.14097	0.83479	0.155	1	1	1.00	0	0
050754	Menlo Park Surgical Hospital	41884	41884	41884	41884	5510	06081	9	lurban	lurban	N	1.7301				YES	0.005	1	0	0	16	1	0	0	0.05153	0	0	0		0		0	0.385	0.026	0		33	32.85	2.0436	2.0452			32.86	2.0242	2.0256			1.4556	1	0	0	0.167	1	1	1.00	0	0
050755	Sherman Oaks Hospital	31084	31084	31084	31084	5200	06037	9	lurban	lurban	N	1.2827						1	0	0	112	62	0	0	0.5698	0.09056	0.1223	0.09056	0.000104	333.8	0.000129	355.85	0.176	0.013	0		2496	2419.48	1.9088	1.8871			2427.32	1.9044	1.8821			1.1859	1	0.02233	0.0159	0.515	1	1.006	0.99	0	0
050757	Alvarado Hospital Medical Center	41740	41740	41740	41740	5470	06073	9	lurban	lurban	N	1.25						1	0	0	254	71	0	0	0.5337	0.08311	0.11413	0.08311	0.000105	480.65	0.000183	603.9	0.189	0.011	0		1661	1624.26	2.1885	2.1596			1627.13	2.2028	2.1735			1.1651	1	0.03754	0.00813	0.335	1	0.99998	1.00	0	0
050758	Montclair Hospital Medical Center	40140	40140	31084	40140	5460	06071	9	lurban	lurban	W	1.2603						1	0	0	102	27	0	0	0.5835	0.09338	0.12542	0.09338	0.000119	2054.59	0.000195	2469.33	0.251	0.016	0		425	412.23	1.8288	1.8047			413.02	1.8486	1.8255			1.1717	1	0.01079	0.00409	0.191	1	0.9983	1.00	0	0
050760	Kaiser Foundation Hospital - Antioch	36084	36084	36084	36084	5060	06013	9	lurban	lurban	N	1.69						1	0.0144	0.0221	138	70	0.00784	0.00626	0.1122	0	0.02298	0		0		0	0.443	0.019	0		351	335.43	1.735	1.7222	2378.71	1.7204	336.79	1.7412	1.7298	2408.52	1.7141	1.4324	1	0.24916	0.0834	0.049	1	1.01466	1.00	0	0
050761	Providence Tarzana Medical Center	31084	31084	31084	31084	5200	06037	9	lurban	lurban	N	1.2827						1	0	0	249	152	0	0	0.4052	0.05661	0.08551	0.05661	0.000243	429.65	0.000341	486.15	0.172	0.011	0		4531	4386.83	1.6754	1.6615			4404.43	1.663	1.6487			1.1859	1	0.07484	0.03915	0.397	1	1.00164	0.99	0	0
050763	Silver Lake Medical Center	31084	31084	31084	31084	5200	06037	9	lurban	lurban	N	1.2827						1	0.0047	0.0052	211	139	0.00257	0.00147	0.6696	0.11114	0.14522	0.11114	0.000299	823.91	0.00066	1478.59	0.308	0.051	0		3111	3076.2	1.2305	1.2265	137.33	1.2567	3079.5	1.2321	1.2287	137.4	1.2675	1.1859	1	0.05189	0.1459	0.461	1	0.99367	1.00	0	0
050764	Shasta Regional Medical Center	39820	39820	39820	39820	5550	06089	9	ourban	ourban	N	1.395						1	0	0	246	87	0	0	0.3295	0.041	0.069	0.041	0.000141	268.58	0.000201	321.88	0.128	0.016	0		4471	4393.61	1.8061	1.797			4400.25	1.8004	1.7903			1.256	1	0.00843	0.01821	0.598	1	0.99444	1.00	0	0
050765	Kaiser Foundation Hospital-Moreno Valley	40140	40140	11244	40140	5430	06065	9	lurban	lurban	W	1.25						1	0	0	100	37	0	0	0.1205	0	0.0247	0	0.000055	3152.25		0	0.401	0.016	0		127	119.59	1.6409	1.6154			119.89	1.6493	1.625			1.1651	1	0.02324	0.00269	0.032	1	1.01203	1.00	0	0
050766	Sutter Surgical Hospital - North Valley	49700	49700	49700	49700	5610	06101	9	ourban	ourban	N	1.25						1	0	0	14	4	0	0	0.1059	0	0	0		0	0.000004	102.27	0.331	0.081	0		258	255.63	2.1404	2.1334			256.24	2.0934	2.0907			1.1651	1	0.01644	0.1721	0.647	1	1	1.00	0	0
050767	Kaiser Foundation Hospital - Vacaville	46700	46700	46700	46700	5580	06095	9	ourban	ourban	N	1.703				YES	0.007	1	0.0082	0.0152	140	67	0.00447	0.0043	0.1014	0	0.02075	0		0		0	0.406	0.025	0		327	316.02	1.8752	1.8574	2253.64	1.8115	317.7	1.8938	1.8777	2272.78	1.8287	1.4399	1	0.16949	0.09906	0.058	1	1.01153	1.00	0	0
050769	Hoag Orthopedic Institute	11244	11244	31084	11244	5400	06059	9	lurban	lurban	W	1.2603						1	0	0	70	29	0	0	0.02635	0	0	0		0		0	0.203	0.026	0		1908	1823.95	2.4469	2.4392			1850.98	2.3954	2.3831			1.1717	1	0.00268	0.0088	0.426	1	1	1.00	0	0
050770	Loma Linda University Medical Center-Murrieta	40140	40140	11244	40140	5430	06065	9	lurban	lurban	W	1.25						1	0	0	106	86	0	0	0.293	0.03347	0.06113	0.03347	0.000136	565.74	0.000149	478.44	0.186	0.019	0		1894	1854.89	1.8084	1.788			1859.11	1.8046	1.7832			1.1651	1	0.04301	0.06473	0.265	1	1.00473	0.99	0	0
050771	Coast Plaza Hospital	31084	31084	31084	31084	5200	06037	9	lurban	lurban	N	1.2827						1	0	0	117	38	0	0	0.6571	0.10856	0.14232	0.10856	0.000121	1119.8	0.000171	1282.43	0.173	0.009	0		895	873.49	1.7265	1.6953			876.49	1.7127	1.6848			1.1859	1	0.0094	0.0026	0.36	1	1.0014	1.00	0	0
050772	Kaiser Foundation Hospital - Roseville	40900	40900	40900	40900	5410	06061	9	lurban	lurban	N	1.5862						1	0.0038	0.0116	336	196	0.00208	0.00328	0.1442	0	0.02963	0		0	0.000176	2238.9	0.341	0.013	0		701	669.57	1.6242	1.6121	6232.77	1.6203	674.06	1.6165	1.6074	6302.41	1.6223	1.3715	1	0.05127	0.0087	0.025	1	1.01158	1.00	0	0
050773	San Leandro Hospital	36084	36084	36084	36084	5000	06001	9	lurban	lurban	N	1.6923				YES	0.0023	1	0	0	45	35	0	0	0.5118	0.03	0	0.03	0.000084	524.54	0.000092	470.82	0.284	0.004	0		1270	1224.76	1.6081	1.5968			1227.07	1.6195	1.6068			1.4337	1	0.19203	0.00404	0.465	1	1.00142	1.00	0	1
050775	Temecula Valley Hospital	40140	40140	11244	40140	5430	06065	9	lurban	lurban	W	1.25						1	0	0	140	69	0	0	0.2522	0.02505	0.0524	0.02505	0.000102	408.13		0	0.182	0.04	0		2325	2266.34	1.7193	1.7062			2271.68	1.7121	1.6993			1.1651	1	0.012	0.08999	0.345	1	1.00504	0.99	0	0
050776	College Medical Center	31084	31084	31084	31084	5200	06037	9	lurban	lurban	N	1.2827						1	0.1124	0.2403	221	105	0.05951	0.07016	1.0524	0.1901	0.23752	0.1901	0.000113	935.94		0	0.283	0.015	0		1026	1002.79	1.4358	1.4174	120.16	1.3402	1004.72	1.4457	1.4276	120.31	1.344	1.1859	1	0.04225	0.01289	0.138	1	0.99146	1.00	0	0
050777	Kaiser Foundation Hospital - San Leandro	36084	36084	36084	36084	5000	06001	9	lurban	lurban	N	1.6923				YES	0.0023	1	0.0104	0.001	194	102	0.00567	0.00028	0.0869	0	0.01775	0		0		0	0.42	0.033	0		324	301.47	1.7628	1.7686	3215.6	1.7609	304.37	1.7735	1.782	3274.14	1.7639	1.4337	1	0.16612	0.15441	0.031	1	1.00806	1.00	0	0
050778	Loma Linda University Children'S Hospital	40140	40140	31084	40140	5460	06071	9	lurban	lurban	W	1.2603						1	0	0	385	248	0	0	1.1589	0.21206	0.2645	0.21206	0.000081	24844.56		0	0.27	0.018	0		29	29	1.3254	1.3254			29	1.3601	1.3601			1.1717	1	0.00293	0.03865	0	1	1	1.00	0	1
050779	"Martin Luther King, Jr. Community Hospital"	31084	31084	31084	31084	5200	06037	9	lurban	lurban	N	1.2827						1	0	0	133	48	0	0	0.9724	0.1736	0.21764	0.1736	0.000545	6851.18		0	0.114	0.016	0		1060	1036.68	1.4766	1.4663			1038.56	1.4789	1.4688			1.1859	1	0.09588	0.27539	0.146	1	1.00677	1.00	0	1
050780	Foothill Regional Medical Center	11244	11244	31084	11244	5400	06059	9	lurban	lurban	W	1.2603						1	0		135	6	0	0.52699	0.4526	0.06639	0.09598	0.06639	0.000002	36.47		0	0.259	0.032	0		511	498.04	1.4156	1.4016			499.94	1.3841	1.3711			1.1717	1	0.13133	0.18607	0.169	1	1	1.00	1	0
050781	Sonoma West Medical Center	42220	42220	42220	42220	5590	06097	9	ourban	ourban	N	1.628				YES	0.0195	1	0		37	9	0	0.52699	0.1491	0	0	0		0		0	0.6	0.021	0		522	518.62	1.2537	1.2513			519.34	1.2409	1.2395			1.3962	1	0.23516	0.02135	0.786	1	1	1.00	1	0
050782	Casa Colina Hospital	31084	31084	31084	31084	5200	06037	9	lurban	lurban	N	1.2827						1	0.0441		31	13	0.0238	0.52699	0.1754	0.01038	0	0.01038		0		0	0.363	0.048	0		749	728.93	1.8341	1.8138	19.92	1.7101	731.08	1.8431	1.8216	20.09	1.7083	1.1859	1	0.13263	0.23057	0.616	1	1	1.00	1	0
060001	North Colorado Medical Center	24540	24540	19740	24540	6610	08123	8	ourban	ourban	W	1.005						1	0.1389	0.2287	255	109	0.07302	0.06667	0.4045	0.05647	0.08536	0.05647	0.000364	902.35	0.000378	722.45	0.231	0.037	0		3310	3220.81	1.9496	1.9359	976.83	1.9869	3227.74	1.9473	1.9328	979.31	1.9781	1.0034	1	0.02625	0.09834	0.327	1	1.00227	1.00	0	0
060003	Longmont United Hospital	14500	14500	14500	14500	6060	08013	8	ourban	ourban	N	1.0206				YES	0.0032	1	0	0	125	70	0	0	0.2967	0.03423	0.06192	0.03423	0.000203	802.84	0.000183	586.92	0.304	0.019	0		1988	1952.86	1.4903	1.4809			1957.41	1.4893	1.4807			1.0141	1	0.15975	0.09398	0.359	1	1.00046	0.98	0	0
060004	Platte Valley Medical Center	19740	19740	19740	19740	6000	08001	8	lurban	lurban	N	1.005						1	0	0	89	24	0	0	0.396	0.03	0	0.03	0.000103	1148.72	0.000116	1117.14	0.362	0.058	0		808	777.76	1.7987	1.781			779.97	1.7947	1.7781			1.0034	1	0.06922	0.23963	0.243	1.06182	1.00629	1.00	0	0
060006	Montrose Memorial Hospital	6	6	6	6	6420	08085	8	rural	rural	N	0.9937						1	0	0	50	22	0	0	0.3308	0.03	0	0.03		0		0	0.369	0.035	16	6128.68	1126	1098.39	1.5027	1.4964			1099.97	1.5049	1.4974			0.9957	1	0.01598	0.02043	0.458	1.08121	1.00629	1.00	0	0
060008	San Luis Valley Health	6	6	6	6	6010	08003	8	rural	rural	N	0.9937						1	0	0	49	16	0	0	0.4318	0.03	0	0.03	0.000054	731.46	0.000118	1377.92	0.362	0.024	16	5640.01	658	640.3	1.5357	1.5299			641.16	1.5351	1.5291			0.9957	1	0.00602	0.00326	0.344	1.13841	1.0086	1.00	0	0
060009	Lutheran Medical Center	19740	19740	19740	19740	6290	08059	8	lurban	lurban	N	1.005						1	0	0	268	117	0	0	0.3142	0.03784	0.06569	0.03784	0.000308	867.21	0.000376	863.07	0.21	0.025	0		2914	2807.06	1.8481	1.8366			2816.88	1.8572	1.8454			1.0034	1	0.0841	0.15812	0.248	1	1.00383	1.00	0	0
060010	Poudre Valley Hospital	22660	22660	22660	22660	6340	08069	8	ourban	ourban	N	0.9937						1	0.0739	0.1367	190	112	0.03955	0.03933	0.2621	0.0271	0.05451	0.0271	0.000331	543.7	0.000279	385.56	0.281	0.021	0		5188	5088.17	1.8148	1.8074	850.47	1.8065	5095.88	1.7999	1.7923	851.99	1.8013	0.9957	1	0.04447	0.03606	0.334	1	1.00562	1.00	0	0
060011	Denver Health Medical Center	19740	19740	19740	19740	6150	08031	8	lurban	lurban	N	1.005						1	0.4159	0.6172	342	244	0.20418	0.19026	0.762	0.1302	0.16685	0.1302	0.001356	7958.27	0.001429	6759.11	0.303	0.021	0		1382	1359.77	1.9851	1.9568	941.7	1.821	1361.5	1.9849	1.957	943.75	1.8066	1.0034	1	0.04769	0.04029	0.091	1	0.99686	1.00	0	0
060012	Centura Health-St Mary Corwin Medical Center	39380	39380	39380	39380	6500	08101	8	ourban	ourban	N	0.9937						1	0.1138	0.2546	128	62	0.06023	0.07449	0.4105	0.0577	0.08668	0.0577	0.000139	537.49	0.000167	527.22	0.218	0.011	0		2179	2136.69	1.7374	1.728	711.48	1.7157	2140.6	1.7264	1.7177	713.19	1.7133	0.9957	1	0.03779	0.01155	0.378	1	1.00036	1.00	0	0
060013	Mercy Regional Medical Center	6	6	6	6	6330	08067	8	rural	rural	N	0.9937						1	0	0	82	37	0	0	0.323	0.03	0	0.03		0		0	0.256	0.031	16	8029.28	1602	1562.14	2.0426	2.0369			1563.55	2.045	2.0381			0.9957	1	0.12645	0.24666	0.39	1	1.00754	1.00	0	0
060014	Presbyterian St Lukes Medical Center	19740	19740	19740	19740	6150	08031	8	lurban	lurban	N	1.005						1	0.0909	0.1563	354	182	0.04842	0.0451	0.5027	0.07672	0.10716	0.07672	0.000405	1766.25	0.0006	2146.42	0.134	0.02	0		1992	1952.51	2.5316	2.5318	509.78	2.4204	1954.78	2.5398	2.5401	510.58	2.4115	1.0034	1	0.16863	0.44464	0.148	1	0.99819	1.00	0	0
060015	Centura Health-St Anthony Hospital	19740	19740	19740	19740	6150	08031	8	lurban	lurban	N	1.005						1	0.0209	0.0138	205	157	0.01136	0.0039	0.2575	0.02615	0.05353	0.02615	0.000288	694.98	0.000222	452.65	0.189	0.016	0		3468	3380.97	2.019	2.0004	1723.32	1.9408	3390.11	2.0206	2.0032	1729.3	1.9464	1.0034	1	0.08271	0.08272	0.28	1	0.99565	1.00	0	0
060020	Parkview Medical Center Inc	39380	39380	39380	39380	6500	08101	8	ourban	ourban	N	0.9937						1	0.16	0.1024	260	189	0.08364	0.02932	0.3887	0.05321	0.08189	0.05321	0.000249	400.62	0.000371	493.82	0.152	0.012	0		5135	5058.36	1.7375	1.7326	1340.27	1.8016	5063.61	1.7459	1.7415	1340.07	1.8096	0.9957	1	0.01372	0.01096	0.404	1	1.00322	1.00	0	0
060022	University Colo Health Memorial Hospital Central	17820	17820	17820	17820	6200	08041	8	ourban	ourban	N	0.9937						1	0	0	592	263	0	0	0.3949	0.05449	0.08325	0.05449	0.000705	841.22	0.000553	577.21	0.205	0.016	0		7161	7013.31	1.8107	1.8023			7023.15	1.8156	1.8072			0.9957	1	0.02939	0.02352	0.246	1	0.9973	1.00	0	0
060023	St Marys  Medical Center	24300	24300	24300	24300	6380	08077	8	ourban	ourban	N	0.9937						1	0.068	0.1249	252	155	0.03645	0.03588	0.3498	0.04518	0.0734	0.04518		0		0	0.267	0.041	17	6994.17	4947	4879.08	1.979	1.9699	268.39	2.1366	4884.97	1.9909	1.9819	268.73	2.1393	0.9957	1	0.05965	0.17917	0.399	1	0.99621	1.00	0	0
060024	University Of Colorado Hospital Authority	19740	19740	19740	19740	6150	08031	8	lurban	lurban	N	1.005						1	0.4776	0.6729	572	461	0.23126	0.20912	0.4127	0.05816	0.08716	0.05816	0.001232	1166.72	0.000981	804.66	0.158	0.011	0		9026	8909.43	2.3207	2.3139	1189.89	2.3029	8919.51	2.3208	2.314	1191.93	2.3129	1.0034	1	0.07599	0.0446	0.264	1	1.00078	1.00	0	0
060027	Foothills Hospital	14500	14500	14500	14500	6060	08013	8	ourban	ourban	N	1.0206				YES	0.0032	1	0	0	139	69	0	0	0.2159	0.01757	0.04469	0.01757	0.000295	832.48	0.000193	479.54	0.201	0.017	0		3044	2952.23	1.9944	1.995			2966.21	1.9818	1.9814			1.0141	1	0.1157	0.1161	0.359	1	1.00301	1.00	0	0
060028	Saint Joseph Hospital	19740	19740	19740	19740	6150	08031	8	lurban	lurban	N	1.005						1	0.2025	0.3356	356	223	0.10468	0.09934	0.3076	0.03648	0.06427	0.03648	0.000505	2827.42	0.000556	2920.38	0.169	0.027	0		1638	1604.53	2.1812	2.1676	3922.56	1.9678	1608.49	2.1874	2.1737	3933.11	1.9677	1.0034	1	0.07816	0.26184	0.08	1	1.00115	1.00	0	0
060030	Mckee Medical Center	22660	22660	22660	22660	6340	08069	8	ourban	ourban	N	0.9937						1	0	0	115	29	0	0	0.3445	0.04409	0.07225	0.04409	0.00011	934.53	0.000093	559.81	0.317	0.049	0		888	847.6	1.5703	1.5628			851.37	1.5525	1.5454			0.9957	1	0.04059	0.1343	0.234	1	0.99334	1.00	0	0
060031	Centura Health-Penrose St Francis Health Services	17820	17820	19740	17820	6200	08041	8	ourban	ourban	W	1.005						1	0.011	0.0194	409	232	0.00599	0.00549	0.2981	0.03452	0.06222	0.03452	0.000414	469.22	0.000398	383.17	0.199	0.013	0		7538	7376.71	1.8174	1.8118	2383.22	1.698	7394.27	1.8131	1.8072	2390.06	1.6957	1.0034	1	0.02844	0.01311	0.285	1	0.99531	1.00	0	0
060032	Rose Medical Center	19740	19740	19740	19740	6150	08031	8	lurban	lurban	N	1.005						1	0.1192	0.2209	209	115	0.063	0.06432	0.2967	0.03423	0.06192	0.03423	0.000214	675.8	0.000228	559.36	0.123	0.013	0		2545	2491.65	1.9418	1.9336	849.12	1.9064	2497	1.9364	1.9285	851.56	1.9088	1.0034	1	0.02817	0.04596	0.209	1	1.00422	1.00	0	0
060034	Swedish Medical Center	19740	19740	19740	19740	6020	08005	8	lurban	lurban	N	1.005						1	0.0511	0.0748	338	248	0.02753	0.02133	0.3161	0.03823	0.0661	0.03823	0.000438	729.49	0.000311	420.04	0.108	0.012	0		4861	4763.75	2.004	1.9942	2143.52	1.9413	4775.56	2.011	2.0027	2150.73	1.9385	1.0034	1	0.07199	0.11105	0.272	1	0.99035	1.00	0	0
060044	Colorado Plains Medical Center	6	6	6	6	6430	08087	8	rural	rural	N	0.9937						1	0	0	36	8	0	0	0.47	0.03	0	0.03		0		0	0.237	0.027	16	6621.2	344	334.77	1.3256	1.3232			335.56	1.3227	1.3198			0.9957	1	0.00077	0.00542	0.299	1.18523	1.00109	1.00	0	0
060049	Uchealth Yampa Valley Medical Center	6	6	6	6	6530	08107	8	rural	rural	N	0.9937						1	0	0	39	11	0	0	0.2208	0.01858	0	0.01858		0		0	0.501	0.038	16	9490.44	471	457.86	1.7659	1.7611			458.84	1.7537	1.7485			0.9957	1	0.10929	0.08623	0.273	1.17811	1.01823	1.00	0	1
060054	Community Hospital	24300	24300	24300	24300	6380	08077	8	ourban	ourban	N	0.9937						1	0	0	42	20	0	0	0.2696	0.02864	0	0.02864	0.000112	950.06		0	0.273	0.049	0		977	963.85	1.6519	1.6415			965.32	1.6488	1.6386			0.9957	1	0.03816	0.14622	0.545	1	0.99329	1.00	0	0
060064	Centura Health-Porter Adventist Hospital	19740	19740	19740	19740	6150	08031	8	lurban	lurban	N	1.005						1	0	0	179	88	0	0	0.2351	0.02153	0.04876	0.02153	0.000151	433.92	0.000104	249.89	0.219	0.011	0		2898	2850.58	2.3157	2.2953			2856.56	2.3114	2.2907			1.0034	1	0.0949	0.01916	0.377	1	1.00855	1.00	0	0
060065	North Suburban Medical Center	19740	19740	19740	19740	6000	08001	8	lurban	lurban	N	1.005						1	0.002	0.0036	127	72	0.00109	0.00102	0.4882	0.07373	0.10391	0.07373	0.000255	1504.3	0.000172	863.68	0.104	0.011	0		1452	1408.29	1.7431	1.7137	900.83	1.6264	1411.64	1.7405	1.7102	904.14	1.6058	1.0034	1	0.02358	0.03525	0.199	1	0.99937	1.00	0	0
060071	Delta County Memorial Hospital	6	6	6	6	6140	08029	8	rural	rural	N	0.9937						1	0	0	49	14	0	0	0.2092	0.01619	0	0.01619		0	0.000029	228.16	0.388	0.039	14	5092.53	811	795.88	1.3745	1.3666			797.33	1.3655	1.3575			0.9957	1	0.01174	0.01752	0.495	1.15432	1	0.99	1	0
060075	Valley View Hospital Association	6	6	6	6	6220	08045	8	rural	rural	N	0.9937						1	0	0	49	33	0	0	0.18	0.01113	0	0.01113		0		0	0.366	0.048	16	8299.42	984	965	1.7622	1.761			966.79	1.7569	1.7551			0.9957	1	0.15921	0.36147	0.253	1.0122	1.00157	1.00	0	0
060076	Sterling Regional Medcenter	6	6	6	6	6370	08075	8	rural	rural	N	0.9937						1	0	0	25	9	0	0	0.3223	0.03	0	0.03		0		0	0.45	0.045	16	7873.81	462	444.42	1.5056	1.4818			446.02	1.4885	1.4636			0.9957	1	0.02515	0.03882	0.457	1.19485	1.00268	1.00	0	0
060096	Vail Health Hospital	6	6	19740	6	6180	08037	8	rural	rural	W	1.005						1	0	0	56	14	0	0	0.1872	0.0123	0	0.0123		0		0	0.462	0.054	16	12152.53	560	552.91	1.9761	1.9765			553.42	1.9551	1.9553			1.0034	1	0.08826	0.16528	0.192	1.15515	1.01235	0.99	0	0
060100	"Medical Center Of Aurora, The"	19740	19740	19740	19740	6000	08001	8	lurban	lurban	N	1.005						1	0.0061	0.0018	303	190	0.00333	0.00051	0.3739	0.05015	0.07865	0.05015	0.000436	935.86	0.000295	524.25	0.132	0.014	0		4029	3962.98	1.8361	1.828	2038.86	1.7987	3973.02	1.8203	1.8131	2043.18	1.7826	1.0034	1	0.04537	0.0721	0.269	1	1.00506	0.99	0	0
060103	Centura Health-Avista Adventist Hospital	14500	14500	19740	14500	6060	08013	8	ourban	ourban	W	1.005						1	0	0	86	37	0	0	0.366	0.03	0	0.03	0.000113	1582.74	0.000132	1466.84	0.271	0.029	0		554	537.81	1.8435	1.8398			539.87	1.8163	1.8135			1.0034	1	0.09137	0.1604	0.119	1	0.99842	0.97	0	0
060104	St Anthony North Health Campus	19740	19740	19740	19740	6000	08001	8	lurban	lurban	N	1.005						1	0.2851	0.4496	98	52	0.14435	0.13528	0.3899	0.03	0	0.03	0.000196	1278.01	0.000165	814.39	0.248	0.024	0		1253	1204.99	1.6876	1.6819	644.17	1.7538	1209.25	1.6884	1.6807	645.96	1.7627	1.0034	1	0.0181	0.02886	0.21	1	1.00451	1.00	0	0
060112	Sky Ridge Medical Center	19740	19740	19740	19740	6020	08005	8	lurban	lurban	N	1.005						1	0.0009	0.0021	274	139	0.00049	0.00059	0.1287	0	0.0264	0		0		0	0.102	0.013	0		3186	3117.16	2.1235	2.1159	2711.59	1.791	3128.79	2.0965	2.0877	2720.7	1.7838	1.0034	1	0.02887	0.06683	0.202	1	1.00438	1.00	0	0
060113	Centura Health-Littleton Adventist Hospital	19740	19740	19740	19740	6020	08005	8	lurban	lurban	N	1.005						1	0	0	184	97	0	0	0.1622	0.00823	0.03339	0.00823	0.00015	473.88		0	0.182	0.016	0		2635	2581.47	1.7198	1.7093			2586.98	1.7162	1.7067			1.0034	1	0.05521	0.05853	0.285	1	0.99541	1.00	0	0
