URBAN CBSAs AND CONSTITUENT COUNTIES FOR ACUTE CARE HOSPITALS—FY 2019			
CBSA Code	Urban Area		
	"Ramsey County, MN"		
	"Scott County, MN"		
	"Sherburne County, MN"		
	"Sibley County, MN"		
	"Washington County, MN"		
	"Wright County, MN"		
	"Pierce County, WI"		
	"St. Croix County, WI"		
33540	"Missoula, MT"		
	"Missoula County, MT"		
33660	"Mobile, AL"		
	"Mobile County, AL"		
33700	"Modesto, CA"		
	"Stanislaus County, CA"		
33740	"Monroe, LA"		
	"Ouachita Parish, LA"		
	"Union Parish, LA"		
33780	"Monroe, MI"		
	"Monroe County, MI"		
33860	"Montgomery, AL"		
	"Autauga County, AL"		
	"Elmore County, AL"		
	"Lowndes County, AL"		
	"Montgomery County, AL"		
33874	"1Montgomery County-Bucks County-Chester County, PA"		
	"Bucks County, PA"		
	"Chester County, PA"		
	"Montgomery County, PA"		
34060	"Morgantown, WV"		
	"Monongalia County, WV"		
	"Preston County, WV"		
34100	"Morristown, TN"		
	"Hamblen County, TN"		
	"Jefferson County, TN"		
34580	"Mount Vernon-Anacortes, WA"		
	"Skagit County, WA"		
34620	"Muncie, IN"		
	"Delaware County, IN"		
34740	"Muskegon, MI"		
	"Muskegon County, MI"		
34820	"Myrtle Beach-Conway-North Myrtle Beach, SC-NC"		
	"Brunswick County, NC"		
	"Horry County, SC"		
34900	"Napa, CA"		
	"Napa County, CA"		
34940	"Naples-Immokalee-Marco Island, FL"		
	"Collier County, FL"		
34980	"1Nashville-Davidson--Murfreesboro--Franklin, TN"		
	"Cannon County, TN"		
	"Cheatham County, TN"		
	"Davidson County, TN"		
	"Dickson County, TN"		
	"Hickman County, TN"		
	"Macon County, TN"		
	"Maury County, TN"		
	"Robertson County, TN"		
	"Rutherford County, TN"		
	"Smith County, TN"		
	"Sumner County, TN"		
	"Trousdale County, TN"		
	"Williamson County, TN"		
	"Wilson County, TN"		
35004	"1Nassau County-Suffolk County, NY"		
	"Nassau County, NY"		
	"Suffolk County, NY"		
35084	"1Newark, NJ-PA"		
	"Essex County, NJ"		
	"Hunterdon County, NJ"		
	"Morris County, NJ"		
	"Somerset County, NJ"		
	"Sussex County, NJ"		
	"Union County, NJ"		
	"Pike County, PA"		
35100	"New Bern, NC"		
	"Craven County, NC"		
	"Jones County, NC"		
	"Pamlico County, NC"		
35300	"New Haven-Milford, CT"		
	"New Haven County, CT"		
35380	"1New Orleans-Metairie, LA"		
	"Jefferson Parish, LA"		
	"Orleans Parish, LA"		
	"Plaquemines Parish, LA"		
	"St. Bernard Parish, LA"		
	"St. Charles Parish, LA"		
	"St. James Parish, LA"		
	"St. John the Baptist Parish, LA"		
	"St. Tammany Parish, LA"		
35614	"1New York-Jersey City-White Plains, NY-NJ"		
	"Bergen County, NJ"		
	"Hudson County, NJ"		
	"Middlesex County, NJ"		
	"Monmouth County, NJ"		
	"Ocean County, NJ"		
	"Passaic County, NJ"		
	"Bronx County, NY"		
	"Kings County, NY"		
	"New York County, NY"		
	"Orange County, NY"		
	"Queens County, NY"		
	"Richmond County, NY"		
	"Rockland County, NY"		
	"Westchester County, NY"		
35660	"Niles-Benton Harbor, MI"		
	"Berrien County, MI"		
35840	"North Port-Sarasota-Bradenton, FL"		
	"Manatee County, FL"		
	"Sarasota County, FL"		
35980	"Norwich-New London, CT"		
	"New London County, CT"		
36084	"1Oakland-Hayward-Berkeley, CA"		
	"Alameda County, CA"		
	"Contra Costa County, CA"		
36100	"Ocala, FL"		
	"Marion County, FL"		
36140	"Ocean City, NJ"		
	"Cape May County, NJ"		
36220	"Odessa, TX"		
	"Ector County, TX"		
36260	"Ogden-Clearfield, UT"		
	"Box Elder County, UT"		
	"Davis County, UT"		
	"Morgan County, UT"		
	"Weber County, UT"		
36420	"1Oklahoma City, OK"		
	"Canadian County, OK"		
	"Cleveland County, OK"		
	"Grady County, OK"		
	"Lincoln County, OK"		
	"Logan County, OK"		
	"McClain County, OK"		
	"Oklahoma County, OK"		
36500	"Olympia-Tumwater, WA"		
	"Thurston County, WA"		
36540	"Omaha-Council Bluffs, NE-IA"		
	"Harrison County, IA"		
	"Mills County, IA"		
	"Pottawattamie County, IA"		
	"Cass County, NE"		
	"Douglas County, NE"		
	"Sarpy County, NE"		
	"Saunders County, NE"		
	"Washington County, NE"		
36740	"1Orlando-Kissimmee-Sanford, FL"		
	"Lake County, FL"		
	"Orange County, FL"		
	"Osceola County, FL"		
	"Seminole County, FL"		
36780	"Oshkosh-Neenah, WI"		
	"Winnebago County, WI"		
36980	"Owensboro, KY"		
	"Daviess County, KY"		
	"Hancock County, KY"		
	"McLean County, KY"		
37100	"Oxnard-Thousand Oaks-Ventura, CA"		
	"Ventura County, CA"		
37340	"Palm Bay-Melbourne-Titusville, FL"		
	"Brevard County, FL"		
37460	"Panama City, FL"		
	"Bay County, FL"		
	"Gulf County, FL"		
37620	"Parkersburg-Vienna, WV"		
	"Wirt County, WV"		
	"Wood County, WV"		
37860	"Pensacola-Ferry Pass-Brent, FL"		
	"Escambia County, FL"		
	"Santa Rosa County, FL"		
37900	"Peoria, IL"		
	"Marshall County, IL"		
	"Peoria County, IL"		
	"Stark County, IL"		
	"Tazewell County, IL"		
	"Woodford County, IL"		
37964	"1Philadelphia, PA"		
	"Delaware County, PA"		
	"Philadelphia County, PA"		
38060	"1Phoenix-Mesa-Scottsdale, AZ"		
	"Maricopa County, AZ"		
	"Pinal County, AZ"		
38220	"Pine Bluff, AR"		
	"Cleveland County, AR"		
	"Jefferson County, AR"		
	"Lincoln County, AR"		
38300	"1Pittsburgh, PA"		
	"Allegheny County, PA"		
	"Armstrong County, PA"		
	"Beaver County, PA"		
	"Butler County, PA"		
	"Fayette County, PA"		
	"Washington County, PA"		
	"Westmoreland County, PA"		
38340	"Pittsfield, MA"		
	"Berkshire County, MA"		
38540	"Pocatello, ID"		
	"Bannock County, ID"		
38660	"Ponce, PR"		
	"Guánica Municipio, PR"		
	"Guayanilla Municipio, PR"		
	"Juana Díaz Municipio, PR"		
	"Peñuelas Municipio, PR"		
	"Ponce Municipio, PR"		
	"Villalba Municipio, PR"		
	"Yauco Municipio, PR"		
38860	"Portland-South Portland, ME"		
	"Cumberland County, ME"		
	"Sagadahoc County, ME"		
	"York County, ME"		
38900	"1Portland-Vancouver-Hillsboro, OR-WA"		
	"Clackamas County, OR"		
	"Columbia County, OR"		
	"Multnomah County, OR"		
	"Washington County, OR"		
	"Yamhill County, OR"		
	"Clark County, WA"		
	"Skamania County, WA"		
38940	"Port St. Lucie, FL"		
	"Martin County, FL"		
	"St. Lucie County, FL"		
39140	"Prescott, AZ"		
	"Yavapai County, AZ"		
39300	"1Providence-Warwick, RI-MA"		
	"Bristol County, MA"		
	"Bristol County, RI"		
	"Kent County, RI"		
	"Newport County, RI"		
	"Providence County, RI"		
	"Washington County, RI"		
39340	"Provo-Orem, UT"		
	"Juab County, UT"		
	"Utah County, UT"		
39380	"Pueblo, CO"		
	"Pueblo County, CO"		
39460	"Punta Gorda, FL"		
	"Charlotte County, FL"		
39540	"Racine, WI"		
	"Racine County, WI"		
39580	"1Raleigh, NC"		
	"Franklin County, NC"		
	"Johnston County, NC"		
	"Wake County, NC"		
39660	"Rapid City, SD"		
	"Custer County, SD"		
	"Meade County, SD"		
	"Pennington County, SD"		
39740	"Reading, PA"		
	"Berks County, PA"		
39820	"Redding, CA"		
	"Shasta County, CA"		
39900	"Reno, NV"		
	"Storey County, NV"		
	"Washoe County, NV"		
40060	"1Richmond, VA"		
	"Amelia County, VA"		
	"Caroline County, VA"		
	"Charles City County, VA"		
	"Chesterfield County, VA"		
	"Dinwiddie County, VA"		
	"Goochland County, VA"		
	"Hanover County, VA"		
	"Henrico County, VA"		
	"King William County, VA"		
	"New Kent County, VA"		
	"Powhatan County, VA"		
	"Prince George County, VA"		
	"Sussex County, VA"		
	"Colonial Heights City, VA"		
	"Hopewell City, VA"		
	"Petersburg City, VA"		
	"Richmond City, VA"		
40140	"1Riverside-San Bernardino-Ontario, CA"		
	"Riverside County, CA"		
	"San Bernardino County, CA"		
40220	"Roanoke, VA"		
	"Botetourt County, VA"		
	"Craig County, VA"		
	"Franklin County, VA"		
	"Roanoke County, VA"		
	"Roanoke City, VA"		
	"Salem City, VA"		
40340	"Rochester, MN"		
	"Dodge County, MN"		
	"Fillmore County, MN"		
	"Olmsted County, MN"		
	"Wabasha County, MN"		
40380	"1Rochester, NY"		
	"Livingston County, NY"		
	"Monroe County, NY"		
	"Ontario County, NY"		
	"Orleans County, NY"		
	"Wayne County, NY"		
	"Yates County, NY"		
40420	"Rockford, IL"		
	"Boone County, IL"		
	"Winnebago County, IL"		
40484	"Rockingham County-Strafford County, NH"		
	"Rockingham County, NH"		
	"Strafford County, NH"		
40580	"Rocky Mount, NC"		
	"Edgecombe County, NC"		
	"Nash County, NC"		
40660	"Rome, GA"		
	"Floyd County, GA"		
40900	"1Sacramento--Roseville--Arden-Arcade, CA"		
	"El Dorado County, CA"		
	"Placer County, CA"		
	"Sacramento County, CA"		
	"Yolo County, CA"		
40980	"Saginaw, MI"		
	"Saginaw County, MI"		
41060	"St. Cloud, MN"		
	"Benton County, MN"		
	"Stearns County, MN"		
41100	"St. George, UT"		
	"Washington County, UT"		
41140	"St. Joseph, MO-KS"		
	"Doniphan County, KS"		
	"Andrew County, MO"		
	"Buchanan County, MO"		
	"DeKalb County, MO"		
41180	"1St. Louis, MO-IL"		
	"Bond County, IL"		
	"Calhoun County, IL"		
	"Clinton County, IL"		
	"Jersey County, IL"		
	"Macoupin County, IL"		
	"Madison County, IL"		
	"Monroe County, IL"		
	"St. Clair County, IL"		
	"Franklin County, MO"		
	"Jefferson County, MO"		
	"Lincoln County, MO"		
	"St. Charles County, MO"		
	"St. Louis County, MO"		
	"Warren County, MO"		
	"St. Louis City, MO"		
41420	"Salem, OR"		
	"Marion County, OR"		
	"Polk County, OR"		
41500	"Salinas, CA"		
	"Monterey County, CA"		
41540	"Salisbury, MD-DE"		
	"Sussex County, DE"		
	"Somerset County, MD"		
	"Wicomico County, MD"		
	"Worcester County, MD"		
41620	"1Salt Lake City, UT"		
	"Salt Lake County, UT"		
	"Tooele County, UT"		
41660	"San Angelo, TX"		
	"Irion County, TX"		
	"Tom Green County, TX"		
41700	"1San Antonio-New Braunfels, TX"		
	"Atascosa County, TX"		
	"Bandera County, TX"		
	"Bexar County, TX"		
	"Comal County, TX"		
	"Guadalupe County, TX"		
	"Kendall County, TX"		
	"Medina County, TX"		
	"Wilson County, TX"		
41740	"1San Diego-Carlsbad, CA"		
	"San Diego County, CA"		
41884	"1San Francisco-Redwood City-South San Francisco, CA"		
	"San Francisco County, CA"		
	"San Mateo County, CA"		
41900	"San Germán, PR"		
	"Cabo Rojo Municipio, PR"		
	"Lajas Municipio, PR"		
	"Sabana Grande Municipio, PR"		
	"San Germán Municipio, PR"		
41940	"1San Jose-Sunnyvale-Santa Clara, CA"		
	"San Benito County, CA"		
	"Santa Clara County, CA"		
41980	"1San Juan-Carolina-Caguas, PR"		
	"Aguas Buenas Municipio, PR"		
	"Aibonito Municipio, PR"		
	"Barceloneta Municipio, PR"		
	"Barranquitas Municipio, PR"		
	"Bayamón Municipio, PR"		
	"Caguas Municipio, PR"		
	"Canóvanas Municipio, PR"		
	"Carolina Municipio, PR"		
	"Cataño Municipio, PR"		
	"Cayey Municipio, PR"		
	"Ceiba Municipio, PR"		
	"Ciales Municipio, PR"		
	"Cidra Municipio, PR"		
	"Comerío Municipio, PR"		
	"Corozal Municipio, PR"		
	"Dorado Municipio, PR"		
	"Fajardo Municipio, PR"		
	"Florida Municipio, PR"		
	"Guaynabo Municipio, PR"		
	"Gurabo Municipio, PR"		
	"Humacao Municipio, PR"		
	"Juncos Municipio, PR"		
	"Las Piedras Municipio, PR"		
	"Loíza Municipio, PR"		
	"Luquillo Municipio, PR"		
	"Manatí Municipio, PR"		
	"Maunabo Municipio, PR"		
	"Morovis Municipio, PR"		
	"Naguabo Municipio, PR"		
	"Naranjito Municipio, PR"		
	"Orocovis Municipio, PR"		
	"Río Grande Municipio, PR"		
	"San Juan Municipio, PR"		
	"San Lorenzo Municipio, PR"		
	"Toa Alta Municipio, PR"		
	"Toa Baja Municipio, PR"		
	"Trujillo Alto Municipio, PR"		
	"Vega Alta Municipio, PR"		
	"Vega Baja Municipio, PR"		
	"Yabucoa Municipio, PR"		
42020	"San Luis Obispo-Paso Robles-Arroyo Grande, CA"		
	"San Luis Obispo County, CA"		
42034	"San Rafael, CA"		
	"Marin County, CA"		
42100	"Santa Cruz-Watsonville, CA"		
	"Santa Cruz County, CA"		
42140	"Santa Fe, NM"		
	"Santa Fe County, NM"		
42200	"Santa Maria-Santa Barbara, CA"		
	"Santa Barbara County, CA"		
42220	"Santa Rosa, CA"		
	"Sonoma County, CA"		
42340	"Savannah, GA"		
	"Bryan County, GA"		
	"Chatham County, GA"		
	"Effingham County, GA"		
42540	"Scranton--Wilkes-Barre--Hazleton, PA"		
	"Lackawanna County, PA"		
	"Luzerne County, PA"		
	"Wyoming County, PA"		
42644	"1Seattle-Bellevue-Everett, WA"		
	"King County, WA"		
	"Snohomish County, WA"		
42680	"Sebastian-Vero Beach, FL"		
	"Indian River County, FL"		
42700	"Sebring, FL"		
	"Highlands County, FL"		
43100	"Sheboygan, WI"		
	"Sheboygan County, WI"		
43300	"Sherman-Denison, TX"		
	"Grayson County, TX"		
43340	"Shreveport-Bossier City, LA"		
	"Bossier Parish, LA"		
	"Caddo Parish, LA"		
	"De Soto Parish, LA"		
	"Webster Parish, LA"		
43420	"Sierra Vista-Douglas, AZ"		
	"Cochise County, AZ"		
43524	"1Silver Spring-Frederick-Rockville, MD"		
	"Frederick County, MD"		
	"Montgomery County, MD"		
43580	"Sioux City, IA-NE-SD"		
	"Plymouth County, IA"		
	"Woodbury County, IA"		
	"Dakota County, NE"		
	"Dixon County, NE"		
	"Union County, SD"		
43620	"Sioux Falls, SD"		
	"Lincoln County, SD"		
	"McCook County, SD"		
	"Minnehaha County, SD"		
	"Turner County, SD"		
43780	"South Bend-Mishawaka, IN-MI"		
	"St. Joseph County, IN"		
	"Cass County, MI"		
43900	"Spartanburg, SC"		
	"Spartanburg County, SC"		
	"Union County, SC"		
44060	"Spokane-Spokane Valley, WA"		
	"Pend Oreille County, WA"		
	"Spokane County, WA"		
	"Stevens County, WA"		
44100	"Springfield, IL"		
	"Menard County, IL"		
	"Sangamon County, IL"		
44140	"Springfield, MA"		
	"Hampden County, MA"		
	"Hampshire County, MA"		
44180	"Springfield, MO"		
	"Christian County, MO"		
	"Dallas County, MO"		
	"Greene County, MO"		
	"Polk County, MO"		
	"Webster County, MO"		
44220	"Springfield, OH"		
	"Clark County, OH"		
44300	"State College, PA"		
	"Centre County, PA"		
44420	"Staunton-Waynesboro, VA"		
	"Augusta County, VA"		
	"Staunton City, VA"		
	"Waynesboro City, VA"		
44700	"Stockton-Lodi, CA"		
	"San Joaquin County, CA"		
44940	"Sumter, SC"		
	"Sumter County, SC"		
45060	"Syracuse, NY"		
	"Madison County, NY"		
	"Onondaga County, NY"		
	"Oswego County, NY"		
45104	"Tacoma-Lakewood, WA"		
	"Pierce County, WA"		
45220	"Tallahassee, FL"		
	"Gadsden County, FL"		
	"Jefferson County, FL"		
	"Leon County, FL"		
	"Wakulla County, FL"		
45300	"1Tampa-St. Petersburg-Clearwater, FL"		
	"Hernando County, FL"		
	"Hillsborough County, FL"		
	"Pasco County, FL"		
	"Pinellas County, FL"		
45460	"Terre Haute, IN"		
	"Clay County, IN"		
	"Sullivan County, IN"		
	"Vermillion County, IN"		
	"Vigo County, IN"		
45500	"Texarkana, TX-AR"		
	"Little River County, AR"		
	"Miller County, AR"		
	"Bowie County, TX"		
45540	"The Villages, FL"		
	"Sumter County, FL"		
45780	"Toledo, OH"		
	"Fulton County, OH"		
	"Lucas County, OH"		
	"Wood County, OH"		
45820	"Topeka, KS"		
	"Jackson County, KS"		
	"Jefferson County, KS"		
	"Osage County, KS"		
	"Shawnee County, KS"		
	"Wabaunsee County, KS"		
45940	"Trenton, NJ"		
	"Mercer County, NJ"		
46060	"Tucson, AZ"		
	"Pima County, AZ"		
46140	"Tulsa, OK"		
	"Creek County, OK"		
	"Okmulgee County, OK"		
	"Osage County, OK"		
	"Pawnee County, OK"		
	"Rogers County, OK"		
	"Tulsa County, OK"		
	"Wagoner County, OK"		
46220	"Tuscaloosa, AL"		
	"Hale County, AL"		
	"Pickens County, AL"		
	"Tuscaloosa County, AL"		
46300	"Twin Falls, ID"		
	"Jerome County, ID"		
	"Twin Falls County, ID"		
46340	"Tyler, TX"		
	"Smith County, TX"		
46520	"Urban Honolulu, HI"		
	"Honolulu County, HI"		
46540	"Utica-Rome, NY"		
	"Herkimer County, NY"		
	"Oneida County, NY"		
46660	"Valdosta, GA"		
	"Brooks County, GA"		
	"Echols County, GA"		
	"Lanier County, GA"		
	"Lowndes County, GA"		
46700	"Vallejo-Fairfield, CA"		
	"Solano County, CA"		
47020	"Victoria, TX"		
	"Goliad County, TX"		
	"Victoria County, TX"		
47220	"Vineland-Bridgeton, NJ"		
	"Cumberland County, NJ"		
47260	"1Virginia Beach-Norfolk-Newport News, VA-NC"		
	"Currituck County, NC"		
	"Gates County, NC"		
	"Gloucester County, VA"		
	"Isle of Wight County, VA"		
	"James City County, VA"		
	"Mathews County, VA"		
	"York County, VA"		
	"Chesapeake City, VA"		
	"Hampton City, VA"		
	"Newport News City, VA"		
	"Norfolk City, VA"		
	"Poquoson City, VA"		
	"Portsmouth City, VA"		
	"Suffolk City, VA"		
	"Virginia Beach City, VA"		
	"Williamsburg City, VA"		
47300	"Visalia-Porterville, CA"		
	"Tulare County, CA"		
47380	"Waco, TX"		
	"Falls County, TX"		
	"McLennan County, TX"		
47460	"Walla Walla, WA"		
	"Columbia County, WA"		
	"Walla Walla County, WA"		
47580	"Warner Robins, GA"		
	"Houston County, GA"		
	"Peach County, GA"		
	"Pulaski County, GA"		
47664	"1Warren-Troy-Farmington Hills, MI"		
	"Lapeer County, MI"		
	"Livingston County, MI"		
	"Macomb County, MI"		
	"Oakland County, MI"		
	"St. Clair County, MI"		
47894	"1Washington-Arlington-Alexandria, DC-VA-MD-WV"		
	"District of Columbia, DC"		
	"Calvert County, MD"		
	"Charles County, MD"		
	"Prince George's County, MD"		
	"Arlington County, VA"		
	"Clarke County, VA"		
	"Culpeper County, VA"		
	"Fairfax County, VA"		
	"Fauquier County, VA"		
	"Loudoun County, VA"		
	"Prince William County, VA"		
	"Rappahannock County, VA"		
	"Spotsylvania County, VA"		
	"Stafford County, VA"		
	"Warren County, VA"		
	"Alexandria City, VA"		
	"Fairfax City, VA"		
	"Falls Church City, VA"		
	"Fredericksburg City, VA"		
	"Manassas City, VA"		
	"Manassas Park City, VA"		
	"Jefferson County, WV"		
47940	"Waterloo-Cedar Falls, IA"		
	"Black Hawk County, IA"		
	"Bremer County, IA"		
	"Grundy County, IA"		
48060	"Watertown-Fort Drum, NY"		
	"Jefferson County, NY"		
48140	"Wausau, WI"		
	"Marathon County, WI"		
48260	"Weirton-Steubenville, WV-OH"		
	"Jefferson County, OH"		
	"Brooke County, WV"		
	"Hancock County, WV"		
48300	"Wenatchee, WA"		
	"Chelan County, WA"		
	"Douglas County, WA"		
48424	"1West Palm Beach-Boca Raton-Delray Beach, FL"		
	"Palm Beach County, FL"		
48540	"Wheeling, WV-OH"		
	"Belmont County, OH"		
	"Marshall County, WV"		
	"Ohio County, WV"		
48620	"Wichita, KS"		
	"Butler County, KS"		
	"Harvey County, KS"		
	"Kingman County, KS"		
	"Sedgwick County, KS"		
	"Sumner County, KS"		
48660	"Wichita Falls, TX"		
	"Archer County, TX"		
	"Clay County, TX"		
	"Wichita County, TX"		
48700	"Williamsport, PA"		
	"Lycoming County, PA"		
48864	"Wilmington, DE-MD-NJ"		
	"New Castle County, DE"		
	"Cecil County, MD"		
	"Salem County, NJ"		
48900	"Wilmington, NC"		
	"New Hanover County, NC"		
	"Pender County, NC"		
49020	"Winchester, VA-WV"		
	"Frederick County, VA"		
	"Winchester City, VA"		
	"Hampshire County, WV"		
49180	"Winston-Salem, NC"		
	"Davidson County, NC"		
	"Davie County, NC"		
	"Forsyth County, NC"		
	"Stokes County, NC"		
	"Yadkin County, NC"		
49340	"Worcester, MA-CT"		
	"Windham County, CT"		
	"Worcester County, MA"		
49420	"Yakima, WA"		
	"Yakima County, WA"		
49620	"York-Hanover, PA"		
	"York County, PA"		
49660	"Youngstown-Warren-Boardman, OH-PA"		
	"Mahoning County, OH"		
	"Trumbull County, OH"		
	"Mercer County, PA"		
49700	"Yuba City, CA"		
	"Sutter County, CA"		
	"Yuba County, CA"		
49740	"Yuma, AZ"		
	"Yuma County, AZ"		
			
1 Large urban area.			
