original label,curated label,CMS ID,CO/RN,SP
PRESENCE HOLY FAMILY MEDICAL CENTER (142011),PRESENCE HOLY FAMILY MEDICAL CENTER (142011),142011,1,
OSF HEALTHCARE TRANSITIONAL CARE HOS (142013),OSF HEALTHCARE TRANSITIONAL CARE HOS (142013),142013,1,
KINDRED HOSPITAL PEORIA (142013),KINDRED HOSPITAL PEORIA (142013),142013,1,
PERORIA SPECIALTY HOSPITAL (142013),PEORIA SPECIALTY HOSPITAL (142013),142013,1,
KINDRED HOSPITAL SPRINGFIELD (142014),KINDRED HOSPITAL SPRINGFIELD (142014),142014,1,
VIBRA HOSPITAL OF SPRINGFIELD (142014),VIBRA HOSPITAL OF SPRINGFIELD (142014),142014,1,
SCHWAB REHAB HOSP & CARE NETWORK (143025),SCHWAB REHAB HOSP & CARE NETWORK (143025),143025,,
THE REHAB. INSTITUTE OF CHICAGO (143026),THE REHAB. INSTITUTE OF CHICAGO (143026),143026,1,
SHIRLEY RYAN ABILITYLAB (143026),SHIRLEY RYAN ABILITYLAB (143026),143026,1,
MARIANJOY REHAB HOSPITAL & CLINIC (143027),MARIANJOY REHAB HOSPITAL & CLINIC (143027),143027,,1
MARIANJOY REHAB HOSPT. & CLINICS (143027),MARIANJOY REHAB HOSPITAL & CLINIC (143027),143027,,1
VAN MATRE HEALTHSOUTH REHABILITATION (143028),VAN MATRE HEALTHSOUTH REHABILITATION (143028),143028,1,
VAN MATRE ENCOMPASS HEALTH REHABILIT (143028),VAN MATRE ENCOMPASS HEALTH REHABILIT (143028),143028,1,
ANDERSON REHABILITATION HOSPITAL (143029),ANDERSON REHABILITATION HOSPITAL (143029),143029,,
ANN & ROBERT H. LURIE CHILDRENS HOS (143300),ANN & ROBERT H. LURIE CHILDRENS HOS (143300),143300,1,
CHILDRENS MEMORIAL HOSPITAL (143300),CHILDRENS MEMORIAL HOSPITAL (143300),143300,1,
LARABIDA CHILDRENS HOSPITAL (143301),LARABIDA CHILDRENS HOSPITAL (143301),143301,,
SHRINERS HOSPITALS FOR CHILDREN (143302),SHRINERS HOSPITAL FOR CHILDREN (143302),143302,,1
SHRINERS HOSPITAL FOR CHILDREN (143302),SHRINERS HOSPITAL FOR CHILDREN (143302),143302,,1
SHRINERS HOSPITAL CHILDREN-CHICAGO (143302),SHRINERS HOSPITAL FOR CHILDREN (143302),143302,,1
SHRINERS HOSPITAL CHILDREN CHICAGO (143302),SHRINERS HOSPITAL FOR CHILDREN (143302),143302,,1
AURORA CHICAGO LAKESHORE (144005),AURORA CHICAGO LAKESHORE (144005),144005,,
RIVEREDGE HOSPITAL (144009),RIVEREDGE HOSPITAL (144009),144009,,
CHICAGO REED MENTAL HEALTH CENTER (144010),CHICAGO READ MENTAL HEALTH CENTER (144010),144010,,1
CHICAGO READ MENTAL HEALTH CENTER (144010),CHICAGO READ MENTAL HEALTH CENTER (144010),144010,,1
CHICAGO REED MENTAL HEALTH CTR (144010),CHICAGO READ MENTAL HEALTH CENTER (144010),144010,,1
CHICAGO REED (144010),CHICAGO READ MENTAL HEALTH CENTER (144010),144010,,1
CHICAGO READ MENTAL HEALTH CTR (144010),CHICAGO READ MENTAL HEALTH CENTER (144010),144010,,1
CHICAGO READ (144010),CHICAGO READ MENTAL HEALTH CENTER (144010),144010,,1
ALTON MENTAL HEALTH CENTER (144016),ALTON MENTAL HEALTH CENTER (144016),144016,,
MCFARLAND MENTAL HEALTH CHENTER (144021),MCFARLAND MENTAL HEALTH CENTER (144021),144021,,1
MCFARLAND MENTAL HEALTH CENTER (144021),MCFARLAND MENTAL HEALTH CENTER (144021),144021,,1
SINGER MENTAL HEALTH CENTER (144023),SINGER MENTAL HEALTH CENTER (144023),144023,,1
H DOUGLAS SINGER MENTAL HEALTH CTR (144023),SINGER MENTAL HEALTH CENTER (144023),144023,,1
HARTGROVE HOSPITAL (144026),HARTGROVE HOSPITAL (144026),144026,,
JOHN J MADDEN MENTAL HEALTH CENTER (144028),MADDEN MENTAL HEALTH CENTER (144028),144028,,1
MADDEN MENTAL HEALTH CENTER (144028),MADDEN MENTAL HEALTH CENTER (144028),144028,,1
THE PAVILION FOUNDATION (144029),THE PAVILION FOUNDATION (144029),144029,,
ALEXIAN BROTHERS BEHAVIORAL HEALTH (144031),ALEXIAN BROTHERS BEHAVIORAL HEALTH (144031),144031,,
BHC STREAMWOOD HOSPITAL  INC (144034),BHC STREAMWOOD HOSPITAL  INC (144034),144034,1,1
STREAMWOOD HOSPITAL (144034),STREAMWOOD HOSPITAL (144034),144034,1,1
STREAMWOOD (144034),STREAMWOOD HOSPITAL (144034),144034,1,1
LINDEN OAKS HOSPITAL (144035),LINDEN OAKS HOSPITAL (144035),144035,,
ELGIN MENTAL HEALTH CENTER (144037),ELGIN MENTAL HEALTH CENTER (144037),144037,,
CHOATE MENTAL HEALTH CENTER (144038),CHOATE MENTAL HEALTH CENTER (144038),144038,,1
CHOATE MENTAL HEALTH & DEVLOPMENTAL (144038),CHOATE MENTAL HEALTH CENTER (144038),144038,,1
GARFIELD PARK HOSPITAL (144039),GARFIELD PARK HOSPITAL (144039),144039,,1
GARFIELD PARK HOSPITAL  LLC (144039),GARFIELD PARK HOSPITAL (144039),144039,,1
CHICAGO BEHAVIORAL HOSPITAL (144040),CHICAGO BEHAVIORAL HOSPITAL (144040),144040,,
SILVER OAKS BEHAVIORAL HOSPITAL (144041),SILVER OAKS BEHAVIORAL HOSPITAL (144041),144041,,
LAKE BEHAVIORAL HOSPITAL (144042),LAKE BEHAVIORAL HOSPITAL (144042),144042,,
JOHNSON MEMORIAL HOSPITAL (150001),JOHNSON MEMORIAL HOSPITAL (150001),150001,,
THE METHODIST HOSPITALS  INC. (150002),METHODIST HOSPITALS  INC (150002),150002,,1
METHODIST HOSPITALS  INC (150002),METHODIST HOSPITALS  INC (150002),150002,,1
ST. ELIZABETH CENTRAL (150003),ST. ELIZABETH CENTRAL (150003),150003,,
FRANCISCAN ST MARGARET-HAMMOND (150004),FRANCISCAN HEALTH HAMMOND (150004),150004,,1
FRANCISCAN HEALTH HAMMOND (150004),FRANCISCAN HEALTH HAMMOND (150004),150004,,1
HENDRICKS REGIONAL HEALTH (150005),HENDRICKS REGIONAL HEALTH (150005),150005,,
LAPORTE HOSPITAL (150006),LAPORTE HOSPITAL (150006),150006,,
COMMUNITY HOWARD REGIONAL HEALTH (150007),HOWARD REGIONAL HEALTH SYSTEM (150007),150007,,1
HOWARD REGIONAL HEALTH SYSTEM (150007),HOWARD REGIONAL HEALTH SYSTEM (150007),150007,,1
ST. CATHERINE HOSPITAL (150008),ST. CATHERINE HOSPITAL (150008),150008,,
CLARK MEMORIAL HOSPITAL (150009),CLARK MEMORIAL HOSPITAL (150009),150009,,
ASCENSION ST VINCENT KOKOMO (150010),ASCENSION ST VINCENT KOKOMO (150010),150010,1,1
ST. JOSEPH HOSPITAL & HEALTH CENTER (150010),ST. JOSEPH HOSPITAL & HEALTH CENTER (150010),150010,1,1
ST. JOSEPH HOSPITAL & HEALTH CENTR (150010),ST. JOSEPH HOSPITAL & HEALTH CENTER (150010),150010,1,1
ASCENSION ST. VINCENT KOKOMO (150010),ASCENSION ST. VINCENT KOKOMO (150010),150010,1,1
MARION GENERAL HOSPITAL (150011),MARION GENERAL HOSPITAL (150011),150011,,
ST. JOSEPHS REG MED CENTER S. BEND (150012),ST. JOSEPHS REG MED CENTER S. BEND (150012),150012,,
FRANCISCAN HEALTH MICHIGAN CITY (150015),FRANCISCAN HEALTH MICHIGAN CITY (150015),150015,,1
FRANCISCAN ST ANTHONY-MICHIGAN CITY (150015),FRANCISCAN HEALTH MICHIGAN CITY (150015),150015,,1
LUTHERAN HOSPITAL OF INDIANA (150017),LUTHERAN HOSPITAL OF INDIANA (150017),150017,,
ELKHART GENERAL HOSPITAL (150018),ELKHART GENERAL HOSPITAL (150018),150018,,
PARKVIEW HOSPITAL (150021),PARKVIEW HOSPITAL (150021),150021,,
FRANCISCAN HEALTH CRAWFORDSVILLE (150022),FRANCISCAN HEALTH CRAWFORDSVILLE (150022),150022,,1
FRANCISCAN ST. ELIZABETH HEALTH - CR (150022),FRANCISCAN HEALTH CRAWFORDSVILLE (150022),150022,,1
UNION HOSPITAL  INC. (150023),UNION HOSPITAL  INC. (150023),150023,,
ESKENAZI HEALTH (150024),ESKENAZI HEALTH (150024),150024,1,
WISHARD MEMORIAL HOSPITAL (150024),WISHARD MEMORIAL HOSPITAL (150024),150024,1,
IU HEALTH GOSHEN HOSPITAL (150026),IU HEALTH GOSHEN HOSPITAL (150026),150026,1,
GOSHEN HOSPITAL (150026),GOSHEN HOSPITAL (150026),150026,1,
HENRY COUNTY MEMORIAL HOSPITAL (150030),HENRY COUNTY MEMORIAL HOSPITAL (150030),150030,,
ST. FRANCIS HOSPITAL & HEALTH CENTER (150033),ST. FRANCIS HOSPITAL & HEALTH CENTER (150033),150033,,
ST. MARY MEDICAL CENTER  INC. (150034),ST. MARY MEDICAL CENTER  INC. (150034),150034,,
PORTER MEMORIAL HOSPITAL (150035),PORTER REGIONAL HOSPITAL (150035),150035,,1
PORTER REGIONAL HOSPITAL (150035),PORTER REGIONAL HOSPITAL (150035),150035,,1
HANCOCK REGIONAL HOSPITAL (150037),HANCOCK REGIONAL HOSPITAL (150037),150037,,
MORGAN COUNTY HOSPITAL (150038),MORGAN COUNTY HOSPITAL (150038),150038,,
GOOD SAMARITAN HOSPITAL (150042),GOOD SAMARITAN HOSPITAL (150042),150042,,
FLOYD MEMORIAL HOSPITAL & HLTH SVCS (150044),FLOYD MEMORIAL HOSPITAL & HEALTH SVS (150044),150044,1,1
FLOYD MEMORIAL HOSPITAL & HEALTH SER (150044),FLOYD MEMORIAL HOSPITAL & HEALTH SVS (150044),150044,1,1
FLOYD MEMORIAL HOSPITAL & HEALTH SVS (150044),FLOYD MEMORIAL HOSPITAL & HEALTH SVS (150044),150044,1,1
BAPTIST HEALTH FLOYD (150044),BAPTIST HEALTH FLOYD (150044),150044,1,1
PARKVIEW - DEKALB HEALTH (150045),PARKVIEW - DEKALB HEALTH (150045),150045,,
DEKALB MEMORIAL HOSPITAL (150045),DEKALB MEMORIAL HOSPITAL (150045),150045,,
TERRE HAUTE REGIONAL HOSPITAL (150046),TERRE HAUTE REGIONAL HOSPITAL (150046),150046,,
LUTHERAN DOWNTOWN HOSPITAL (150047),LUTHERAN DOWNTOWN HOSPITAL (150047),150047,1,
ST JOSEPH MEDICAL CENTER (150047),ST JOSEPH MEDICAL CENTER (150047),150047,1,
REID HOSPITAL & HEALTH CARE SERVICES (150048),REID HOSPITAL & HEALTH CARE SERVICES (150048),150048,,
IU HEALTH BLOOMINGTON HOSPITAL (150051),IU HEALTH BLOOMINGTON HOSPITAL (150051),150051,,
INDIANA UNIVERSITY HEALTH (150056),INDIANA UNIVERSITY HEALTH (150056),150056,,
ST. FRANCIS H&H-MOORESVILLE (150057),ST FRANCIS H&H - MOORESVILLE (150057),150057,,1
ST FRANCIS H&H - MOORESVILLE (150057),ST FRANCIS H&H - MOORESVILLE (150057),150057,,1
FRANCISCAN HEALTH MOORESVILLE (150057),FRANCISCAN HEALTH MOORESVILLE (150057),150057,,
MEMORIAL HOSPITAL OF SOUTH BEND  INC (150058),MEMORIAL HOSPITAL OF SOUTH BEND  INC (150058),150058,,
RIVERVIEW HOSPITAL (150059),RIVERVIEW HOSPITAL (150059),150059,,
DAVIESS COMMUNITY HOSPITAL (150061),DAVIESS COMMUNITY HOSPITAL (150061),150061,,
FAYETTE REGIONAL HEALTH SYSTEM (150064),FAYETTE REGIONAL HEALTH SYSTEM (150064),150064,,
SCHNECK MEDICAL CENTER (150065),SCHNECK MEDICAL CENTER (150065),150065,,
KINGS DAUGHTERS HOSPITAL (150069),KINGS DAUGHTERS HOSPITAL (150069),150069,,
MEMORIAL HOSPITAL LOGANSPORT (150072),MEMORIAL HOSPITAL LOGANSPORT (150072),150072,,
COMMUNITY HEALTH NETWORK  INC (150074),COMMUNITY HOSPITALS OF INDIANA INC (150074),150074,,1
COMMUNITY HEALTH NETWORK  INC. (150074),COMMUNITY HOSPITALS OF INDIANA INC (150074),150074,,1
COMMUNITY HOSPITAL OF INDIANA  INC. (150074),COMMUNITY HOSPITALS OF INDIANA INC (150074),150074,,1
COMMUNITY HOSPITALS OF INDIANA INC (150074),COMMUNITY HOSPITALS OF INDIANA INC (150074),150074,,1
BLUFFTON REGIONAL MEDICAL CENTER (150075),BLUFFTON REGIONAL MEDICAL CENTER (150075),150075,,
ST. JOSEPHS REG MED CENTER-PLYMOUTH (150076),ST. JOSEPHS REG MED CENTER PLYMOUTH (150076),150076,,1
ST. JOSEPHS REG MED CENTER PLYMOUTH (150076),ST. JOSEPHS REG MED CENTER PLYMOUTH (150076),150076,,1
ST. JOSEPHS REG MED CENTER PLYMOUT (150076),ST. JOSEPHS REG MED CENTER PLYMOUTH (150076),150076,,1
1 (150082),DEACONESS HOSPITAL (150082),150082,,1
DEACONESS HOSPITAL (150082),DEACONESS HOSPITAL (150082),150082,,1
ASCENSION ST. VINCENT HOSPITAL (150084),ASCENSION ST. VINCENT HOSPITAL (150084),150084,1,
ST. VINCENT HOSPITAL & HCC (150084),ST. VINCENT HOSPITAL & HCC (150084),150084,1,
ST ELIZABETH DEARBORN (150086),ST ELIZABETH DEARBORN (150086),150086,1,
DEARBORN COUNTY HOSPITAL (150086),DEARBORN COUNTY HOSPITAL (150086),150086,1,
SAINT JOHNS HEALTH SYSTEM (150088),SAINT JOHNS HEALTH SYSTEM (150088),150088,1,1
ST. VINCENT ANDERSON (150088),ST. VINCENT ANDERSON (150088),150088,1,1
ASCENSION ST. VINCENT ANDERSON (150088),ASCENSION ST. VINCENT ANDERSON (150088),150088,1,1
ST VINCENT ANDERSON REGIONAL HOSPITA (150088),ST. VINCENT ANDERSON (150088),150088,1,1
BALL MEMORIAL HOSPITAL (150089),BALL MEMORIAL HOSPITAL (150089),150089,,
FRANCISCAN ST. MARGARET HEALTH- DYER (150090),FRANCISCAN HEALTH- DYER (150090),150090,,1
FRANCISCAN HEALTH- DYER (150090),FRANCISCAN HEALTH- DYER (150090),150090,,1
HUNTINGTON MEMORIAL HOSPITAL (150091),HUNTINGTON MEMORIAL HOSPITAL (150091),150091,,
MAJOR HOSPITAL (150097),MAJOR HOSPITAL (150097),150097,,
ST. VINCENT EVANSVILLE (150100),ST. VINCENT EVANSVILLE (150100),150100,1,
ST. MARYS MEDICAL CENTER (150100),ST. MARYS MEDICAL CENTER (150100),150100,1,
ASCENSION ST. VINCENT EVANSVILLE (150100),ASCENSION ST. VINCENT EVANSVILLE (150100),150100,1,
WHITLEY MEMORIAL HOSPITAL (150101),WHITLEY MEMORIAL HOSPITAL (150101),150101,,
IU HEALTH STARKE MEMORIAL HOSPITAL (150102),IU HEALTH STARKE MEMORIAL HOSPITAL (150102),150102,1,
STARKE MEMORIAL HOSPITAL (150102),STARKE MEMORIAL HOSPITAL (150102),150102,1,
WITHAM MEMORIAL HOSPITAL (150104),WITHAM MEMORIAL HOSPITAL (150104),150104,,
FRANCISCAN HEALTH LAFAYETTE (150109),FRANCISCAN HEALTH LAFAYETTE (150109),150109,1,
ST. ELIZABETH EAST (150109),ST. ELIZABETH EAST (150109),150109,1,
COLUMBUS REGIONAL HOSPITAL (150112),COLUMBUS REGIONAL HOSPITAL (150112),150112,,
COMMUNITY HOSPITAL ANDERSON (150113),COMMUNITY HOSPITAL ANDERSON (150113),150113,,1
COMMUNITY HOSPITAL ADNDERSON (150113),COMMUNITY HOSPITAL ANDERSON (150113),150113,,1
MEMORIAL HOSP & HEALTH CARE CTR (150115),MEMORIAL HOSP & HEALTH CARE CTR (150115),150115,,
COMMUNITY HOSPITAL (150125),COMMUNITY HOSPITAL (150125),150125,,
FRANCISCAN HEALTH CROWN POINT (150126),FRANCISCAN HEALTH CROWN POINT (150126),150126,,1
FRANCISCAN ST ANTHONY HEALTH-CR PT (150126),FRANCISCAN HEALTH CROWN POINT (150126),150126,,1
COMMUNITY HOSPITAL SOUTH (150128),COMMUNITY HOSPITAL SOUTH (150128),150128,,
WESTVIEW HOSPITAL (150129),WESTVIEW HOSPITAL (150129),150129,,
KOSCIUSKO COMMUNITY HOSPITAL (150133),KOSCIUSKO COMMUNITY HOSPITAL (150133),150133,,
COMMUNITY HOSPITAL OF NOBLE CTY  INC (150146),COMMUNITY HOSPITAL OF NOBLE CTY  INC (150146),150146,,1
COMMUNITY HOSPT. OF NOBLE CTY  INC. (150146),COMMUNITY HOSPITAL OF NOBLE CTY  INC (150146),150146,,1
DEACONESS WOMENS HOSPITAL (150149),DEACONESS WOMENS HOSPITAL (150149),150149,,
DUPONT HOSPITAL (150150),DUPONT HOSPITAL (150150),150150,,
ST. VINCENT HEART CENTER (150153),ST. VINCENT HEART CENTER (150153),150153,,
INDIANA HEART HOSPITAL (150154),INDIANA HEART HOSPITAL (150154),150154,,
ASCENSION ST. VINCENT CARMEL (150157),ASCENSION ST. VINCENT CARMEL (150157),150157,1,
ST. VINCENT CARMEL HOSPITAL (150157),ST. VINCENT CARMEL HOSPITAL (150157),150157,1,
IU HEALTH WEST HOSPITAL (150158),IU HEALTH WEST HOSPITAL (150158),150158,,
INDIANA ORTHOPAEDIC HOSPITAL LLC (150160),INDIANA ORTHOPAEDIC HOSPITAL LLC (150160),150160,,
IU HEALTH NORTH HOSPITAL (150161),IU HEALTH NORTH HOSPITAL (150161),150161,1,
CLARIAN NORTH MEDICAL CENTER (150161),CLARIAN NORTH MEDICAL CENTER (150161),150161,1,
ST FRANCIS HOSPITAL & HEALTH CENTERS (150162),ST FRANCIS HOSPITAL & HEALTH CENTERS (150162),150162,,1
ST. FRANCIS HOSPITAL & HEALTH CENTER (150162),ST FRANCIS HOSPITAL & HEALTH CENTERS (150162),150162,,1
FRANCISCAN HEALTH INDIANAPOLIS (150162),ST FRANCIS HOSPITAL & HEALTH CENTERS (150162),150162,,1
ST CATHERINE HOSPIITAL IN (150163),ST. CATHERINE HOSPITAL OF IN (150163),150163,,1
ST. CATHERINE HOSPITAL OF IN (150163),ST. CATHERINE HOSPITAL OF IN (150163),150163,,1
MONROE HOSPITAL (150164),MONROE HOSPITAL (150164),150164,,
FRANCISCAN HEALTH MUNSTER (150165),FRANCISCAN HEALTH MUNSTER (150165),150165,1,
FRANCISCAN PHYSICIANS HOSPITAL (150165),FRANCISCAN PHYSICIANS HOSPITAL (150165),150165,1,
PINNACLE HOSPITAL (150166),PINNACLE HOSPITAL (150166),150166,,
ORTHOPAEDIC HOSPT.AT PARKVIEW (150167),ORTHOPAEDIC HOSPT.AT PARKVIEW (150167),150167,,
LUTHERAN MUSCULOSKELETAL CENTER (150168),LUTHERAN MUSCULOSKELETAL CENTER (150168),150168,,
COMMUNITY HOSPITAL NORTH (150169),COMMUNITY HOSPITAL NORTH (150169),150169,,1
COMMUNITY HOSPITAL OF INDIANA  INC. (150169),COMMUNITY HOSPITAL NORTH (150169),150169,,1
PHYSICIANS MEDICAL CENTER (150172),PHYSICIANS MEDICAL CENTER (150172),150172,,
IU HEALTH ARNETT HOSPITAL (150173),IU HEALTH ARNETT HOSPITAL (150173),150173,,
HEART HOSPITAL AT DEACONESS GATEWAY (150175),HEART HOSPITAL AT DEACONESS GATEWAY (150175),150175,,
KENTUCKIANA MEDICAL CENTER (150176),KENTUCKIANA MEDICAL CENTER (150176),150176,,
UNITY MEDICAL AND SURGICAL HOSPITAL (150177),UNITY MEDICAL AND SURGICAL HOSPITAL (150177),150177,1,
UNITY PHYSICIANS HOSPITAL (150177),UNITY PHYSICIANS HOSPITAL (150177),150177,1,
CANCER CARE PARTNERS (150178),CANCER CARE PARTNERS (150178),150178,,
FAIRBANKS (150179),FAIRBANKS (150179),150179,,
DOCTORS NEUROMEDICAL HOSPITAL (150180),DOCTORS NEUROMEDICAL HOSPITAL (150180),150180,,
ST. VINCENT FISHERS HOSPITAL (150181),ST. VINCENT FISHERS HOSPITAL (150181),150181,1,
ASCENSION ST. VINCENT FISHERS (150181),ASCENSION ST. VINCENT FISHERS (150181),150181,1,
ST FRANCIS CARMEL (150182),ST FRANCIS CARMEL (150182),150182,,
MONROE  HOSPITAL (150183),MONROE HOSPITAL (150183),150183,,1
MONROE HOSPITAL (150183),MONROE HOSPITAL (150183),150183,,1
INDIANA NEIGHBORHOOD HOSPITAL LLC (150184),INDIANA NEIGHBORHOOD HOSPITAL LLC (150184),150184,,
FRANCISCAN BEACON HOSPITAL (150191),FRANCISCAN BEACON HOSPITAL (150191),150191,,
FRANCISCAN HEALTH ORTHOPEDIC CARMEL (150193),FRANCISCAN HEALTH ORTHOPEDIC CARMEL (150193),150193,,
COMMUNITY HOSPITAL OF BREMEN  INC. (151300),COMMUNITY HOSPITAL OF BREMEN (151300),151300,,1
COMMUNITY HOSPITAL OF BREMEN (151300),COMMUNITY HOSPITAL OF BREMEN (151300),151300,,1
ST. VINCENT RANDOLPH HOSPITAL (151301),ST. VINCENT RANDOLPH HOSPITAL (151301),151301,1,
ASCENSION ST. VINCENT RANDOLPH (151301),ASCENSION ST. VINCENT RANDOLPH (151301),151301,1,
IU HEALTH BLACKFORD HOSPITAL (151302),IU HEALTH BLACKFORD HOSPITAL (151302),151302,,
ST. VINCENT JENNINGS HOSPITAL (151303),ST. VINCENT JENNINGS HOSPITAL (151303),151303,1,
ASCENSION ST. VINCENT JENNINGS (151303),ASCENSION ST. VINCENT JENNINGS (151303),151303,1,
RUSH MEMORIAL HOSPITAL (151304),RUSH MEMORIAL HOSPITAL (151304),151304,,
PULASKI MEMORIAL HOSPITAL (151305),PULASKI MEMORIAL HOSPITAL (151305),151305,,
IU HEALTH PAOLI HOSPITAL (151306),IU HEALTH PAOLI HOSPITAL (151306),151306,,
ASCENSION ST. VINCENT WILLIAMSPORT (151307),ASCENSION ST. VINCENT WILLIAMSPORT (151307),151307,1,
ST. VINCENT WILLIAMSPORT HOSPITAL (151307),ST. VINCENT WILLIAMSPORT HOSPITAL (151307),151307,1,
ASCENSION ST. VINCENT MERCY (151308),ASCENSION ST. VINCENT MERCY (151308),151308,1,
ST. VINCENT MERCY HOSPITAL (151308),ST. VINCENT MERCY HOSPITAL (151308),151308,1,
ASCENSION ST. VINCENT CLAY (151309),ASCENSION ST. VINCENT CLAY (151309),151309,1,
ST. VINCENT CLAY HOSPITAL (151309),ST. VINCENT CLAY HOSPITAL (151309),151309,1,
PARKVIEW WABASH HOSPITAL  INC. (151310),WABASH COUNTY HOSPITAL (151310),151310,,1
WABASH COUNTY HOSPITAL (151310),WABASH COUNTY HOSPITAL (151310),151310,,1
IU HEALTH TIPTON HOSPITAL (151311),IU HEALTH TIPTON HOSPITAL (151311),151311,,
WHITE COUNTY MEMORIAL HOSPITAL (151312),WHITE COUNTY MEMORIAL HOSPITAL (151312),151312,1,1
IU HEALTH WHITE HOSPITAL (151312),IU HEALTH WHITE MEMORIAL HOSPITAL (151312),151312,1,1
IU HEALTH WHITE MEMORIAL HOSPITAL (151312),IU HEALTH WHITE MEMORIAL HOSPITAL (151312),151312,1,1
WOODLAWN HOSPITAL (151313),WOODLAWN HOSPITAL (151313),151313,,
ASCENSION ST VINCENT SALEM (151314),ASCENSION ST VINCENT SALEM HOSPITAL (151314),151314,1,1
ASCENSION ST VINCENT SALEM HOSPITAL (151314),ASCENSION ST VINCENT SALEM HOSPITAL (151314),151314,1,1
ST VINCENT SALEM HOSPITAL (151314),ST VINCENT SALEM (151314),151314,1,1
ST VINCENT SALEM (151314),ST VINCENT SALEM (151314),151314,1,1
CAMERON MEMORIAL COMMUNITY (151315),CAMERON MEMORIAL COMMUNITY HOSPITAL (151315),151315,,1
CAMERON MEMORIAL COMMUNITY HOSPITAL (151315),CAMERON MEMORIAL COMMUNITY HOSPITAL (151315),151315,,1
ST. VINCENT FRANKFORT HOSPITAL (151316),ST. VINCENT FRANKFORT HOSPITAL (151316),151316,1,
IU HEALTH FRANKFORT HOSPITAL (151316),IU HEALTH FRANKFORT HOSPITAL (151316),151316,1,
GREENE COUNTY GENERAL HOSPITAL (151317),GREENE COUNTY GENERAL HOSPITAL (151317),151317,,
DUKES MEMORIAL HOSPITAL (151318),DUKES MEMORIAL HOSPITAL (151318),151318,,
DEACONESS GIBSON (151319),DEACONESS GIBSON (151319),151319,1,
GIBSON GENERAL HOSPITAL (151319),GIBSON GENERAL HOSPITAL (151319),151319,1,
IU HEALTH JAY HOSPITAL (151320),IU HEALTH JAY HOSPITAL (151320),151320,1,
JAY COUNTY HOSPITAL (151320),JAY COUNTY HOSPITAL (151320),151320,1,
PERRY COUNTY HOSPITAL (151322),PERRY COUNTY HOSPITAL (151322),151322,,
COMMUNITY HOSPT. OF LAGRANGE CTY IN (151323),COMMUNITY HOSPT. OF LAGRANGE CTY IN (151323),151323,1,
PARKVIEW LAGRANGE HOSPITAL (151323),PARKVIEW LAGRANGE HOSPITAL (151323),151323,1,
JASPER COUNTY HOSPITAL (151324),JASPER COUNTY HOSPITAL (151324),151324,1,
FRANCISCAN HEALTH RENSSELAER (151324),FRANCISCAN HEALTH RENSSELAER (151324),151324,1,
ST. VINCENT WARRICK HOSPITAL (151325),ST. VINCENT WARRICK HOSPITAL (151325),151325,1,1
ST. VINCENT WARRICK (151325),ST. VINCENT WARRICK HOSPITAL (151325),151325,1,1
ASCENSION ST. VINCENT WARRICK (151325),ASCENSION ST. VINCENT WARRICK (151325),151325,1,1
ST. MARYS WARRICK HOSPITAL  INC. (151325),ST. MARYS WARRICK HOSPITAL  INC. (151325),151325,1,1
UNION HOSPITAL CLINTON (151326),UNION HOSPITAL CLINTON (151326),151326,,
SULLIVAN COUNTY COMMUNITY HOSPITAL (151327),SULLIVAN COUNTY COMMUNITY HOSPITAL (151327),151327,,
INDIANA UNIVERSITY HEALTH BEDFORD (151328),INDIANA UNIVERSITY HEALTH BEDFORD (151328),151328,,
MARGARET MARY COMMUNITY HOSPITAL (151329),MARGARET MARY COMMUNITY HOSPITAL (151329),151329,,
ADAMS MEMORIAL HOSPITAL (151330),ADAMS MEMORIAL HOSPITAL (151330),151330,,
HARRISON COUNTY HOSPITAL (151331),HARRISON COUNTY HOSPITAL (151331),151331,,
DECATUR CO. MEMORIAL HOSPITAL (151332),DECATUR CO. MEMORIAL HOSPITAL (151332),151332,,
PUTNAM COUNTY HOSPITAL (151333),PUTNAM COUNTY HOSPITAL (151333),151333,,
SCOTT MEMORIAL HOSPITAL (151334),SCOTT MEMORIAL HOSPITAL (151334),151334,,
DUNN MEMORIAL HOSPITAL (151335),DUNN MEMORIAL HOSPITAL (151335),151335,1,
ASCENSION ST. VINCENT DUNN (151335),ASCENSION ST. VINCENT DUNN (151335),151335,1,
ST VINCENT DUNN (151335),ST VINCENT DUNN (151335),151335,1,
KINDRED HOSPITAL INDIANAPOLIS (152007),KINDRED HOSPITAL INDIANAPOLIS (152007),152007,,
KINDRED HOSPITAL INDIANAPOLIS SOUTH (152008),KINDRED HOSPITAL INDIANAPOLIS SOUTH (152008),152008,,
KINDRED HOSPITAL NORTHWEST INDIANA (152012),KINDRED HOSPITAL NORTHWEST INDIANA (152012),152012,,
SSH -BEECH GROVE  INC. (152013),SSH - BEECH GROVE INC. (152013),152013,1,1
SSH - BEECH GROVE INC. (152013),SSH - BEECH GROVE INC. (152013),152013,1,1
KINDRED HOSPITAL INDIANAPOLIS NORTH (152013),KINDRED HOSPITAL INDIANAPOLIS NORTH (152013),152013,1,1
SSH -EVANSVILLE (152014),SSH - EVANSVILLE (152014),152014,,1
SSH - EVANSVILLE (152014),SSH - EVANSVILLE (152014),152014,,1
SSH - EVANSVILLE  LLC. (152014),SSH - EVANSVILLE (152014),152014,,1
